learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR_EX+IN  2.47367  2.36464  0.503012  0.356793  2.37554  0.823279  0.717553  0.67713  2.34825  2.26355  
TIPS-CFR_EX+IN  4.10548  3.99714  0.543162  0.34926  2.26569  1.82326  1.15575  1.19646  2.43829  3.21697  
t = 5
CFR  2.79196  1.72356  1.76975  0.402189  1.45331  0.640843  1.41866  1.54537  1.32887  2.19427  
CFR_EX+IN  2.53224  2.54229  1.6606  0.281439  2.26333  0.936095  1.45988  1.3358  2.00957  2.96454  
CFR_IN  1.707  3.7121  0.160528  0.0782156  1.60546  0.0650222  0.341826  0.0534021  3.48546  3.20842  
A-CFR_IN  0.236726  0.172743  0.236569  0.147496  0.187093  0.14581  0.222323  0.145628  0.145534  0.129131  
BPS-CFR  2.77504  2.86833  1.71073  0.409925  2.56883  0.735688  1.43716  1.56094  1.54732  1.94273  
TIPS-CFR  0.887369  1.28174  0.242574  0.147116  0.676971  0.14503  0.210684  0.148522  1.12104  1.891  
CSPS-CFR  2.01755  1.9467  0.563457  0.117468  2.22329  0.305601  2.82749  0.547232  1.80665  1.77476  
CFPS-CFR  1.778  2.83285  0.250087  0.141883  1.58375  0.134649  0.581369  0.136934  2.8247  1.73284  
CFPS-CFR_EX+IN  3.00532  3.03496  1.60251  0.283729  2.52473  1.3302  1.53423  1.41248  2.26023  2.12589  
TIPS-CFR_EX+IN  2.31997  2.55083  1.81345  0.255051  2.15019  0.577661  1.78929  1.31732  2.56432  2.16566  
t = 6
CFR  2.90146  2.5303  2.08985  0.534098  1.58044  0.197508  2.30074  2.0568  1.48831  3.21242  
CFR_EX+IN  3.2477  2.93535  2.48205  0.209629  2.56339  0.88781  2.14913  1.92338  2.7125  3.93017  
CFR_IN  2.74798  5.03076  0.168164  0.243429  1.90582  0.223183  0.347475  0.216449  4.82313  2.59592  
A-CFR_IN  0.265258  0.478742  0.0852691  0.1638  0.119048  0.152622  0.301574  0.186388  0.303317  0.308506  
BPS-CFR  2.27036  2.88746  2.07493  0.518119  2.29806  0.524605  1.9565  2.10195  2.03209  2.4194  
TIPS-CFR  1.1223  1.28129  0.117969  0.133062  0.779567  0.12545  0.465224  0.144775  0.688524  3.55215  
CSPS-CFR  2.79849  2.88666  1.38036  0.235402  2.76256  0.979169  2.05078  1.2571  2.32736  2.50331  
CFPS-CFR  2.67693  3.43188  0.129963  0.136686  1.69755  0.132922  0.604751  0.148466  3.66469  2.01423  
CFPS-CFR_EX+IN  3.56416  3.25772  2.95955  0.200467  2.78361  1.47729  2.01522  2.0207  2.56743  2.72343  
TIPS-CFR_EX+IN  2.54298  2.1928  3.21928  0.188898  2.43438  1.87403  2.20832  1.35419  2.09257  2.47734  
t = 7
CFR  3.1068  3.35795  4.27832  0.623481  2.40078  0.315191  2.8585  4.23504  2.73375  2.67381  
CFR_EX+IN  3.41562  3.39731  4.18142  0.297405  3.00216  0.886346  3.39676  4.30164  3.27109  2.86241  
CFR_IN  4.73369  4.73634  0.189537  0.305316  3.42849  0.264162  2.35775  0.349795  5.31387  4.6795  
A-CFR_IN  0.2705  0.380341  0.260921  0.34072  0.206117  0.261372  0.197603  0.299616  0.467213  0.546423  
BPS-CFR  2.57631  1.80577  3.60233  0.445627  2.25925  0.463315  2.82898  2.88808  2.39461  1.41669  
TIPS-CFR  1.56453  2.48314  0.326593  0.399172  1.23618  0.311868  1.19066  0.359105  1.39082  2.21505  
CSPS-CFR  3.72398  3.99914  1.54825  0.50631  2.59569  0.802884  1.85304  0.893372  2.85821  3.34925  
CFPS-CFR  5.03574  5.22758  0.294262  0.376862  3.29322  0.278761  1.82232  0.311053  4.21504  2.51259  
CFPS-CFR_EX+IN  2.73197  3.71017  4.84341  0.186535  2.38739  1.81066  2.84906  4.40669  2.37497  3.59512  
TIPS-CFR_EX+IN  3.57991  3.54864  4.76129  0.200859  2.99369  2.32845  1.77649  1.95183  2.71819  2.92095  
t = 8
CFR  2.66235  3.44165  6.17292  0.479405  3.03689  0.920886  3.86157  6.14153  4.49077  3.48453  
CFR_EX+IN  3.99115  3.77443  5.60543  0.18922  2.80349  1.54084  5.02062  5.31375  4.21819  3.47528  
CFR_IN  4.23954  5.17011  0.307246  0.385165  3.17815  0.462244  1.77416  0.420552  5.70808  4.81786  
A-CFR_IN  0.445302  0.3219  0.237131  0.23244  0.361282  0.285871  0.160929  0.258168  0.301059  0.309888  
BPS-CFR  2.34417  2.2009  5.55221  0.434781  2.32179  0.970636  2.77197  4.7748  2.51899  2.1579  
TIPS-CFR  1.67749  3.1259  0.236299  0.229167  1.49449  0.336375  0.656419  0.292603  2.31296  3.52382  
CSPS-CFR  5.37554  4.55481  0.51156  0.447898  3.37639  0.691935  1.99812  0.636658  3.105  2.22892  
CFPS-CFR  5.19161  5.80666  0.274059  0.230528  2.65804  0.293038  1.42296  0.28261  4.78547  2.34921  
CFPS-CFR_EX+IN  2.4863  2.58291  4.78159  0.392204  2.43335  2.06847  3.75314  5.80134  2.44475  2.93009  
TIPS-CFR_EX+IN  3.90091  4.37779  5.1347  0.368547  3.41885  2.25386  2.18849  3.852  3.84259  2.69705  
t = 9
CFR  2.55503  3.93773  4.88421  0.332466  3.18991  1.76204  3.71154  5.59722  4.82907  3.82326  
CFR_EX+IN  2.66739  3.6107  5.28962  0.353081  2.10102  2.06317  5.75695  5.79557  4.77806  5.36871  
CFR_IN  4.5116  4.53601  0.341368  0.228187  4.29965  0.260147  1.47971  0.35345  4.97362  3.22374  
A-CFR_IN  0.592695  0.312046  0.282396  0.344349  0.581442  0.281138  0.267274  0.286433  0.265696  0.282806  
BPS-CFR  1.80968  3.09494  3.98637  0.299833  2.31169  1.52046  3.42535  3.93652  2.59613  2.41714  
TIPS-CFR  1.33045  2.8196  0.258174  0.458797  2.1136  0.393915  0.263954  0.248905  2.63374  2.96134  
CSPS-CFR  5.48356  3.72445  0.812999  0.366599  3.48163  0.930008  1.92412  0.631287  3.15541  2.34153  
CFPS-CFR  4.5845  5.29909  0.262887  0.340504  4.23011  0.345137  0.682367  0.248413  5.05724  3.90406  
CFPS-CFR_EX+IN  2.67349  2.53332  5.51632  0.292754  2.24049  2.16116  3.87408  4.87664  2.42604  3.05205  
TIPS-CFR_EX+IN  2.19216  2.2271  5.70821  0.246192  2.08256  2.99299  3.26875  3.50788  2.70801  3.08422  
t = 10
CFR  2.39675  2.80018  4.77224  0.528923  2.71833  1.16242  4.53041  4.20473  4.51523  2.90279  
CFR_EX+IN  3.40225  3.07013  4.71813  0.553874  2.36485  2.61158  5.15969  4.58811  3.05417  2.14803  
CFR_IN  4.80246  4.80647  0.353471  0.302469  4.74673  0.390177  0.692965  0.272641  3.80231  4.01378  
A-CFR_IN  0.345817  0.350612  0.253151  0.361693  0.499244  0.444118  0.559342  0.294374  0.29704  0.187  
BPS-CFR  2.03977  2.28682  3.59559  0.301786  1.96211  2.31871  3.85317  3.3513  2.19486  2.87484  
TIPS-CFR  1.67532  3.46301  0.177765  0.365997  2.72405  0.440729  0.397465  0.287094  2.62345  2.65167  
CSPS-CFR  5.67642  5.36917  0.685011  0.303771  3.68464  0.627019  1.88562  1.51319  3.88359  3.00752  
CFPS-CFR  4.86451  5.29381  0.246215  0.308759  4.81809  0.401376  0.810473  0.275334  4.88463  4.51641  
CFPS-CFR_EX+IN  2.90403  2.83698  5.25597  0.335399  2.19662  2.20868  3.45279  4.87842  2.16055  2.36952  
TIPS-CFR_EX+IN  3.03152  4.11973  4.91275  0.601383  1.89445  3.10846  3.92429  4.87148  3.01827  3.6864  
t = 11
CFR  2.23374  2.84087  5.23687  0.564524  2.59864  1.41882  5.61694  4.11897  4.07765  2.19228  
CFR_EX+IN  3.05184  2.84106  4.83724  0.672868  2.97185  3.95161  6.06783  5.1247  2.39874  2.46593  
CFR_IN  4.6465  4.70354  0.283017  0.298083  4.72291  0.285569  0.872983  0.319783  2.8408  5.24955  
A-CFR_IN  0.530354  0.258364  0.270386  0.411614  0.465861  0.493924  0.669861  0.262509  0.320595  0.474329  
BPS-CFR  2.3648  1.55637  4.22658  0.586159  1.62385  3.40103  3.72586  4.86457  1.76219  3.48801  
TIPS-CFR  1.82713  3.40759  0.3118  0.19719  2.2743  0.399299  0.324718  0.36273  2.96972  3.00977  
CSPS-CFR  4.50282  5.41316  1.0995  0.261493  3.99453  0.610697  1.60099  1.41404  4.38876  3.2572  
CFPS-CFR  4.95466  4.45765  0.282516  0.398454  3.68399  0.317144  2.12278  0.304518  4.00455  4.11352  
