learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  1.22732e-18  0.00937892  0.50384  0.0161802  0.71633  0.00142313  0.00566668  0.00142798  
CFR_EX+IN  0.010317  1.65319e-17  0.504454  0.0150598  0.716406  0.00214996  0.00573794  0.000847017  
A-CFR  0.0130986  0.00173477  -3.97699e-19  0.0102317  0.716318  0.000783614  0.00539819  0.00677953  
CFR_IN  0.00676372  0.0045156  0.504297  -1.0918e-05  0.716895  0.000646867  0.00668875  0.000305424  
A-CFR_IN  0.00729273  -0.000619321  0.508812  0.00832603  -7.8962e-06  0.000202128  0.00317485  0.00290384  
BPS-CFR  0.00792295  0.00636179  0.503294  0.0139935  0.716385  1.91741e-17  0.00489327  0.00199181  
TIPS-CFR  0.00965796  0.00488273  0.503769  0.00927323  0.716629  -9.91752e-05  -5.97632e-06  -0.000719145  
IPS-CFR  0.00721912  0.00755405  0.504232  0.0125349  0.716322  0.00320683  0.00439785  -5.02317e-06  
BR  0.644742  0.635608  0.707205  0.701852  0.810694  0.612348  0.607127  0.560176  
