learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -9.40545e-19  0.00408388  0.520975  0.68023  0.96987  0.962104  0.107414  0.0558484  0.230108  0.596441  
CFR+  0.00684395  -4.0766e-19  0.384918  0.644956  0.963154  0.958472  0.0604905  0.0250185  0.133236  0.485326  
A-CFR  0.012317  0.0083636  8.1532e-19  0.679175  0.969871  0.961871  0.107079  0.0303111  0.128573  0.60228  
A-CFR+  -0.0104361  -0.0154126  0.320475  1.00162e-19  0.963238  0.958824  0.0227756  0.0192692  0.0419737  0.436241  
PGPI(10000/U)  -0.0723893  -0.0371728  0.453592  0.692844  -5.55104e-19  0.818519  -0.0289295  -0.0828575  0.211544  0.510911  
PI  -0.0251555  -0.0225102  0.0775375  0.61181  0.96055  0  0.0038633  -0.000298742  -0.0266081  0.396739  
CFR_IN  -0.0183107  0.0179974  0.514221  0.677386  0.968275  0.958799  1.1117e-16  0.0601197  0.223049  0.595369  
CFR+_IN  -0.0126864  -0.0219539  0.34424  0.619476  0.959514  0.956384  0.0387047  1.82259e-16  0.102061  0.448701  
A-CFR_IN  0.0001748  -0.00463079  0.526292  0.680717  0.968275  0.954302  0.0702831  0.0418223  1.37618e-06  0.600842  
A-CFR+_IN  -0.0292155  -0.0349241  0.245964  0.600722  0.963711  0.948768  0.0192905  -0.0109415  0.0792113  1.30309e-09  
BR  0.906274  0.558614  0.953053  0.797395  0.99775  0.99775  0.93665  0.565617  0.914897  0.921801  
