learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  20.2038  20.1065  20.0176  20.1103  16.8341  14.8268  20.0239  20.0222  20.0199  20.0254  
CFR+  20.0026  20.307  20.0089  20.1001  16.8225  14.3934  20.0148  20.0089  20.0089  20.0098  
A-CFR  20.0123  20.1066  20.2115  20.1105  16.8343  14.8264  20.0255  20.023  20.0206  20.0261  
A-CFR+  19.9991  20.0937  20.0053  20.3113  16.8207  14.511  20.0135  20.0079  20.0078  20.0093  
PGPI(10000/U)  20.0189  20.1137  20.0221  20.1146  16.4346  13.5035  20.0047  19.9991  19.9931  19.9906  
PI  19.8812  20.0824  19.8878  20.087  16.8056  2.87481  19.956  19.9768  19.9791  19.9925  
CFR_IN  20.0756  20.1712  20.0796  20.1739  16.8841  14.89  20.242  20.0907  20.0892  20.0931  
CFR+_IN  20.0425  20.1414  20.0488  20.1454  16.8491  14.2119  20.0675  20.2388  20.0576  20.0598  
A-CFR_IN  20.0757  20.1715  20.0799  20.1741  16.8841  14.3366  20.0923  20.0905  20.2273  20.093  
A-CFR+_IN  20.041  20.1396  20.0462  20.1433  16.8479  14.2157  20.063  20.0544  20.0545  20.2281  
BR  20.384  20.4782  20.3885  20.4808  17.128  18.692  20.3923  20.3907  20.3874  20.3884  
