learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -9.40545e-19  0.0102681  0.515338  0.695747  0.96987  0.966066  0.0693288  0.0798831  0.271059  0.574897  
CFR+  0.00122133  -4.0766e-19  0.377536  0.643043  0.963095  0.964844  0.0164105  0.0456994  0.139639  0.518074  
A-CFR  0.0642351  0.024793  8.1532e-19  0.695431  0.96987  0.966066  0.0771415  0.0564073  0.272613  0.511074  
A-CFR+  -0.0250447  -0.00886174  0.290305  1.00162e-19  0.963238  0.964892  0.013382  0.0330737  0.0413363  0.440382  
PGPI(10000/U)  -0.165876  -0.14034  0.326745  0.693418  -5.55104e-19  0.966611  -0.129244  -0.0881863  -0.369969  0.477611  
PI  -0.119862  -0.0303733  0.0672693  0.61042  0.96055  0  -0.051802  -0.0136061  -0.000857668  0.386161  
CFR_IN  0.0136921  0.00991789  0.506913  0.699763  0.968277  0.966611  1.1117e-16  0.100119  0.256239  0.557435  
CFR+_IN  0.011013  -0.0259043  0.352383  0.624123  0.959419  0.965877  0.0232805  1.82259e-16  0.102452  0.489356  
A-CFR_IN  0.0134544  -0.00753981  0.416357  0.696667  0.968277  0.966611  0.0776365  0.0764292  1.37618e-06  0.518023  
A-CFR+_IN  -0.0448945  -0.029593  0.236712  0.591238  0.963714  0.965108  0.00122759  0.00786032  0.0256043  1.30309e-09  
BR  0.906274  0.558614  0.953053  0.797395  0.99775  0.99775  0.93665  0.565617  0.914897  0.921801  
