learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  -8.8891e-19  0.0443525  0.656698  0.0453803  0.569903  -0.00422112  0.0275115  0.0083414  
CFR_EX+IN  0.042373  2.53985e-17  0.656038  0.0406002  0.564978  -0.00263739  0.0248655  0.00515093  
A-CFR  -0.0164783  0.0525669  2.52402e-18  0.0613963  0.5696  -0.0180456  0.023129  -0.00544673  
CFR_IN  0.0365957  0.0466409  0.640452  2.15537e-17  0.549403  0.00546081  0.0269524  0.00232435  
A-CFR_IN  -0.0475542  0.0584937  0.520749  -0.0120369  6.88091e-07  -0.00657119  0.0218393  -0.00180062  
BPS-CFR  0.0906431  0.056742  0.655873  0.0281792  0.567506  3.02114e-17  0.0317632  0.00470936  
TIPS-CFR  0.0973671  0.0494694  0.639942  0.0255712  0.558654  -0.0158732  -0.000236596  -0.00474908  
IPS-CFR  0.0716764  0.0575655  0.656096  0.0375301  0.564399  -0.022865  0.0285931  -0.000410066  
BR  0.914164  0.882343  0.972155  0.905157  0.954048  0.843916  0.812343  0.775631  
