learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFR_IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
A-CFR_IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
BPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
TIPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CSPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFPS-CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
TIPS-CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
t = 1
CFR  0.0331238  0.0269957  -0.0309922  -0.0309922  0.0331238  -0.0309922  -0.0309922  -0.0309922  0.0269957  0.0269957  
CFR_EX+IN  0.0385746  0.0324522  -0.0256361  -0.0256361  0.0385746  -0.0256361  -0.0256361  -0.0256361  0.0324522  0.0324522  
CFR_IN  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
A-CFR_IN  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
BPS-CFR  0.0331238  0.0269957  -0.0309922  -0.0309922  0.0331238  -0.0309922  -0.0309922  -0.0309922  0.0269957  0.0269957  
TIPS-CFR  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
CSPS-CFR  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
CFPS-CFR  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
CFPS-CFR_EX+IN  0.0385746  0.0324522  -0.0256361  -0.0256361  0.0385746  -0.0256361  -0.0256361  -0.0256361  0.0324522  0.0324522  
TIPS-CFR_EX+IN  0.0385746  0.0324522  -0.0256361  -0.0256361  0.0385746  -0.0256361  -0.0256361  -0.0256361  0.0324522  0.0324522  
t = 2
CFR  0.0411241  0.0423061  0.0468207  0.0440334  0.0413613  0.0732491  0.0636998  0.0482633  0.042865  0.046738  
CFR_EX+IN  0.0434635  0.0447615  0.052682  0.0475506  0.0439926  0.0845534  0.0766974  0.0605532  0.0459315  0.0523163  
CFR_IN  0.05659  0.0630999  0.0805031  0.0883465  0.0587382  0.0883465  0.0908322  0.0841813  0.0667888  0.0729975  
A-CFR_IN  0.0665742  0.0708971  0.095184  0.103027  0.0682663  0.103027  0.106015  0.0988621  0.0736828  0.0783727  
BPS-CFR  0.0421915  0.0437275  0.0499069  0.0471828  0.042435  0.0759891  0.0665853  0.0513557  0.0443205  0.0482108  
TIPS-CFR  0.0758265  0.0808577  0.095184  0.103027  0.0785361  0.103027  0.106015  0.0988621  0.0854605  0.0931234  
CSPS-CFR  0.075226  0.0801692  0.0980296  0.107104  0.0778124  0.107104  0.109952  0.102307  0.0845774  0.091921  
CFPS-CFR  0.0659456  0.0717729  0.0878436  0.0956869  0.0683119  0.0956869  0.0984235  0.0915217  0.0758601  0.0826999  
CFPS-CFR_EX+IN  0.04552  0.047419  0.0573954  0.0523808  0.0460721  0.0888449  0.0811123  0.0651817  0.0486714  0.0551824  
TIPS-CFR_EX+IN  0.0501117  0.0536756  0.0646059  0.0597396  0.0508502  0.0955969  0.0880066  0.0723083  0.0553998  0.0632623  
t = 3
CFR  0.0857178  0.103151  0.230819  0.0912713  0.112393  0.32563  0.369788  0.406619  0.131383  0.196841  
CFR_EX+IN  0.0933344  0.11181  0.438491  0.108536  0.121405  0.372658  0.352542  0.523447  0.151595  0.217135  
CFR_IN  0.0973065  0.0673674  0.223955  0.233265  0.109029  0.233265  0.319819  0.232182  0.0887521  0.151895  
A-CFR_IN  0.119544  0.1392  0.231443  0.239872  0.12264  0.239872  0.221054  0.239258  0.138357  0.166981  
BPS-CFR  0.0845634  0.101369  0.272636  0.095966  0.1109  0.371595  0.408433  0.458145  0.130936  0.199364  
TIPS-CFR  0.0896252  0.108855  0.231443  0.239872  0.100996  0.239872  0.322517  0.239258  0.132538  0.188322  
CSPS-CFR  0.0917928  0.14821  0.512036  0.226896  0.112926  0.498765  1.55145  0.542571  0.188974  0.27828  
CFPS-CFR  0.0640218  0.0599127  0.230182  0.239052  0.0762724  0.239052  0.328207  0.238206  0.0805149  0.135213  
CFPS-CFR_EX+IN  0.0945337  0.113684  0.494171  0.123496  0.122576  0.425715  0.398944  0.580775  0.152462  0.219883  
TIPS-CFR_EX+IN  0.0917128  0.110282  0.588954  0.143218  0.119213  0.507263  0.470972  0.670222  0.152326  0.222975  
t = 4
CFR  0.0636225  0.059516  0.211725  0.0131087  0.0622273  0.012556  -0.0305633  0.293852  0.0583817  0.0542542  
CFR_EX+IN  0.0631792  0.0553813  0.258203  0.0907815  0.0619323  0.149926  0.0470947  0.259732  0.0550102  0.0398444  
CFR_IN  0.303656  0.693918  0.133967  0.13299  0.32443  0.133003  0.0510725  0.133005  0.618083  0.605327  
A-CFR_IN  0.312427  0.0975351  0.133518  0.132957  0.392616  0.132972  0.126788  0.133005  0.550839  0.397063  
BPS-CFR  0.0658586  0.0617067  0.176515  -0.086643  0.0635488  0.0533427  0.0318694  0.275027  0.060622  0.0611013  
TIPS-CFR  0.46769  0.426772  0.133509  0.132946  0.486916  0.132961  0.0958248  0.132995  0.428484  0.429171  
CSPS-CFR  -0.142978  0.487369  0.550904  0.132014  0.322191  0.0348802  0.269445  0.549827  0.493875  0.497439  
CFPS-CFR  0.691818  0.728477  0.133955  0.13308  0.684113  0.133093  0.050713  0.133165  0.648154  0.632203  
CFPS-CFR_EX+IN  0.0653502  0.0590166  0.0113022  -0.171433  0.0640909  0.16313  0.0653131  -0.0108723  0.0593122  0.0534518  
TIPS-CFR_EX+IN  0.0683479  0.0727965  -0.0316797  -0.104085  0.0690133  0.172609  0.0801627  -0.0325582  0.0750944  0.0691235  
t = 5
CFR  0.0800937  0.0778453  0.132786  0.34025  0.0799824  0.245169  0.287078  0.31476  0.0798482  0.0757276  
CFR_EX+IN  0.0821982  0.0758419  0.305077  0.0536705  0.0847045  0.369072  0.255863  0.256833  0.0773222  0.080352  
CFR_IN  0.503863  0.769547  0.0340285  0.0147258  0.328279  0.0147601  0.435723  0.0334183  0.539567  0.631393  
A-CFR_IN  -0.148307  0.0406262  0.048925  0.0343046  -0.132056  0.0351287  0.0422455  0.0352591  -0.197919  -0.220495  
BPS-CFR  0.084068  0.0802407  0.128746  0.244778  0.0828314  0.142112  0.201713  0.291874  0.0825539  0.0880602  
TIPS-CFR  0.401784  0.374477  0.048898  0.0333786  0.271235  0.0342041  0.0725033  0.0349041  0.401622  0.428528  
CSPS-CFR  0.0114094  0.452985  -0.0488209  0.0260157  0.16083  -0.0475912  0.335934  -0.0438566  0.351769  0.518926  
CFPS-CFR  0.797844  0.840445  0.034464  0.0318217  0.783864  0.0318472  0.432759  0.0338658  0.543927  0.531209  
CFPS-CFR_EX+IN  0.0850805  0.0815129  0.0819101  0.356468  0.0870196  0.35097  0.206197  0.021838  0.0840456  0.0976111  
TIPS-CFR_EX+IN  0.0991003  0.10014  -0.038026  0.225822  0.102751  0.297695  0.180697  -0.0125647  0.106634  0.103227  
t = 6
CFR  0.110435  0.105955  -0.00420455  0.142403  0.110792  -0.201813  -0.0669687  0.678708  0.108629  0.0973679  
CFR_EX+IN  0.106969  0.101872  0.613679  0.0723772  0.11487  -0.115608  -0.179191  0.694116  0.101954  0.106106  
CFR_IN  0.56602  0.42409  0.0287359  0.0472085  0.179956  0.0472971  0.118172  0.0310799  0.272683  0.0193656  
A-CFR_IN  -0.32703  0.031832  0.00725656  0.0283312  -0.254361  0.0417234  0.0420573  0.0128259  -0.11188  -0.10794  
BPS-CFR  0.112284  0.107256  0.125376  0.140458  0.112464  0.00145571  -0.0858354  0.668339  0.109705  0.10822  
TIPS-CFR  0.666054  0.607108  0.00713866  0.0135828  0.390249  0.0269785  -0.0751496  -0.000546935  0.590586  0.551321  
CSPS-CFR  0.508287  0.753472  0.0526917  0.00943858  0.36324  0.134149  0.265468  0.0605399  0.577605  0.651606  
CFPS-CFR  0.397623  0.403032  0.0246866  0.0421997  0.381179  0.0543401  0.0977658  0.027596  0.130589  0.197124  
CFPS-CFR_EX+IN  0.107778  0.11099  0.455128  0.213081  0.116357  -0.0979072  -0.135658  0.350573  0.115198  0.14582  
TIPS-CFR_EX+IN  0.13203  0.136858  0.201147  0.026502  0.143523  -0.0606578  -0.0744677  0.142762  0.148028  0.124428  
t = 7
CFR  0.150801  0.144727  0.0503785  -0.127909  0.152693  -0.117691  -0.0125399  0.132973  0.14907  0.126041  
CFR_EX+IN  0.137841  0.12862  0.188327  0.143693  0.148725  -0.151226  -0.138041  0.371061  0.142845  0.10662  
CFR_IN  0.772698  0.386001  0.0127981  -0.0611285  0.357622  -0.0627868  0.0634421  -0.0450633  0.0419516  0.211358  
A-CFR_IN  0.151684  -0.00788085  0.0206989  -0.0490018  -0.046009  -0.0534233  -0.0254229  -0.025557  0.186042  0.102451  
BPS-CFR  0.153207  0.140696  0.0463951  0.0323675  0.155476  -0.0861558  -0.0839712  0.0466517  0.148381  0.138062  
TIPS-CFR  0.433334  0.605621  0.0217569  -0.049855  0.22779  -0.0542453  -0.151871  -0.0273908  0.633998  0.646879  
CSPS-CFR  0.554148  0.811969  -0.192936  -0.0743486  0.145116  0.145406  0.150878  -0.0121675  0.615109  0.771568  
CFPS-CFR  0.141913  0.480643  0.0341768  -0.0498352  0.158574  -0.051143  -0.0432367  -0.0236075  0.200296  0.114043  
CFPS-CFR_EX+IN  0.142543  0.139978  0.397441  0.0484113  0.156017  -0.122485  -0.0928742  0.174554  0.163968  0.14359  
TIPS-CFR_EX+IN  0.169592  0.18986  -0.00824431  -0.102691  0.197904  -0.0836731  -0.10616  0.0516792  0.247541  0.166574  
t = 8
CFR  0.234977  0.223502  0.252302  -0.0709759  0.227662  -0.0339337  0.0364661  -0.146102  0.372015  0.536535  
CFR_EX+IN  0.197681  0.175725  -0.150559  -0.0968372  0.216797  -0.0776065  -0.0742647  -0.0239028  0.188658  0.545096  
CFR_IN  -0.0224621  0.332667  0.05  -0.0641386  0.637753  -0.0642263  -0.148527  -0.0444264  0.101064  0.170786  
A-CFR_IN  0.393133  0.621878  0.146009  0.0317239  0.439598  0.0289564  0.0439872  0.0439217  0.447958  0.0723321  
BPS-CFR  0.230928  0.207444  -0.0552057  -0.0402263  0.225705  -0.0828196  0.0950809  -0.116079  0.214872  0.588243  
TIPS-CFR  0.30287  0.660664  0.146089  0.0340469  -0.0568994  0.0312816  -0.0731397  0.0428643  0.669525  0.68853  
CSPS-CFR  0.571129  0.679738  0.272481  0.0168018  0.421439  0.153997  0.153503  0.16894  0.53343  0.537607  
CFPS-CFR  0.506162  0.740637  0.129593  0.0217806  0.492056  0.0222624  -0.247723  0.0346248  0.233865  0.15311  
CFPS-CFR_EX+IN  0.0224315  0.187901  0.00796975  0.0216901  0.216106  -0.0388527  -0.050599  -0.0172962  0.216638  0.360188  
TIPS-CFR_EX+IN  -0.197207  -0.254157  -0.050757  0.00559777  -0.229583  -0.0378591  -0.0494358  -0.0432627  -0.0146913  0.113721  
t = 9
CFR  0.175464  0.0868325  -0.103624  0.0770231  0.138069  -0.00729419  0.103063  -0.0927719  0.0577435  -0.123711  
CFR_EX+IN  0.239302  0.228493  -0.068894  -0.105404  0.0316325  -0.0601586  0.0300729  -0.0317663  0.618017  0.0460619  
