learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFPS-EFR_EX+IN  (-0.0117649, 2)  (2.31296e-18, 3)  (0.0670391, 22)  (0.0670391, 19)  (-0.0117649, 3)  (0.0670391, 23)  (0.0670391, 29)  (0.0670391, 20)  (-2.31296e-18, 4)  (-2.31296e-18, 5)  (0.0670391, 14)  
TIPS-EFR_EX+IN  (-0.0117649, 2)  (2.31296e-18, 4)  (0.0670391, 22)  (0.0670391, 19)  (-0.0117649, 3)  (0.0670391, 22)  (0.0670391, 30)  (0.0670391, 19)  (0, 4)  (-2.31296e-18, 5)  (0.0670391, 14)  
BEHAV-EFR  (-0.0679328, 2)  (-0.0580506, 3)  (2.02384e-17, 22)  (-7.39557e-32, 19)  (-0.0679328, 3)  (-6.07153e-17, 22)  (-9.25186e-18, 30)  (3.98986e-17, 20)  (-0.0580506, 4)  (-0.0580506, 5)  (7.39557e-32, 14)  
BR  (0.813733, 1)  (0.843638, 2)  (1, 15)  (1, 13)  (0.813733, 2)  (1, 16)  (1, 21)  (1, 14)  (0.843638, 2)  (0.843638, 3)  (1, 9)  
t = 2
CFR  (2.31296e-17, 20)  (0.0219396, 36)  (0.130709, 42)  (0.130702, 42)  (4.56929e-06, 26)  (0.130711, 46)  (0.127709, 58)  (0.130709, 41)  (0.0219398, 43)  (0.0214167, 30)  (0.130757, 25)  
CFR_EX+IN  (-0.0186406, 19)  (6.93889e-18, 36)  (0.0991827, 44)  (0.0991781, 43)  (-0.0186365, 27)  (0.0991838, 46)  (0.0986359, 57)  (0.0991825, 44)  (4.08003e-07, 43)  (-0.000570743, 30)  (0.0992146, 25)  
CFR_IN  (-0.0156155, 19)  (-0.00156722, 36)  (1.04083e-17, 43)  (-4.63338e-07, 42)  (-0.0156094, 27)  (1.26977e-07, 44)  (0.00124669, 58)  (-1.86415e-08, 42)  (-0.00156594, 39)  (-0.00249608, 30)  (5.24906e-06, 25)  
A-EFR_IN  (-0.0207672, 18)  (-0.00398389, 35)  (5.26386e-07, 43)  (-3.46945e-18, 42)  (-0.0207613, 27)  (6.72019e-07, 45)  (0.00113997, 60)  (5.05502e-07, 44)  (-0.00398264, 41)  (-0.00491268, 30)  (6.23268e-06, 25)  
BPS-EFR  (-4.46787e-06, 18)  (0.0219385, 34)  (0.130709, 43)  (0.130702, 41)  (1.96602e-17, 26)  (0.130711, 45)  (0.12771, 58)  (0.130709, 42)  (0.0219387, 41)  (0.0214157, 30)  (0.130757, 25)  
TIPS-EFR  (-0.0146106, 17)  (-0.00101234, 34)  (-1.23202e-07, 44)  (-5.7439e-07, 43)  (-0.0146045, 27)  (-1.61908e-17, 45)  (0.00124639, 59)  (-1.41412e-07, 43)  (-0.00101106, 42)  (-0.00195227, 30)  (5.03338e-06, 25)  
CSPS-EFR  (-0.0212419, 18)  (-0.00508605, 34)  (2.77008e-06, 44)  (1.3384e-06, 43)  (-0.0212364, 27)  (3.13979e-06, 47)  (-7.51714e-18, 58)  (2.71699e-06, 43)  (-0.00508503, 43)  (-0.00602549, 30)  (1.39705e-05, 25)  
CFPS-EFR  (-0.0156158, 18)  (-0.0015673, 33)  (1.87213e-08, 42)  (-4.46859e-07, 43)  (-0.0156098, 26)  (1.46362e-07, 46)  (0.00124673, 58)  (-3.46945e-18, 42)  (-0.00156603, 42)  (-0.00249617, 30)  (5.28404e-06, 25)  
CFPS-EFR_EX+IN  (-0.0186423, 18)  (-3.97367e-07, 33)  (0.0991828, 44)  (0.0991782, 43)  (-0.0186382, 27)  (0.099184, 46)  (0.0986362, 58)  (0.0991826, 43)  (1.96602e-17, 41)  (-0.000571115, 30)  (0.0992149, 25)  
TIPS-EFR_EX+IN  (-0.0175231, 18)  (0.000582374, 34)  (0.0991823, 44)  (0.0991778, 42)  (-0.0175189, 27)  (0.0991835, 46)  (0.0986352, 59)  (0.0991821, 43)  (0.000582802, 39)  (2.54426e-17, 30)  (0.0992139, 25)  
BEHAV-EFR  (0.00215129, 18)  (0.0126588, 33)  (-3.00478e-06, 43)  (-3.17219e-06, 42)  (0.00215801, 27)  (-2.96967e-06, 45)  (0.00123945, 58)  (-3.01291e-06, 44)  (0.0126602, 41)  (0.0114463, 30)  (-1.85037e-17, 25)  
BR  (0.664901, 12)  (0.766787, 22)  (0.895309, 31)  (0.895379, 29)  (0.66509, 19)  (0.895291, 32)  (0.895184, 41)  (0.895312, 30)  (0.766833, 28)  (0.766683, 20)  (0.895912, 16)  
t = 3
CFR  (-4.62607e-18, 32)  (0.0563919, 46)  (0.250409, 52)  (0.250706, 49)  (0.0014068, 43)  (0.249863, 59)  (0.230557, 56)  (0.250276, 53)  (0.0572953, 50)  (0.0566329, 34)  (0.250379, 34)  
CFR_EX+IN  (-0.0437422, 31)  (1.15645e-17, 46)  (0.191078, 51)  (0.192599, 49)  (-0.0424051, 43)  (0.190413, 60)  (0.180998, 57)  (0.191001, 52)  (0.000871894, 50)  (0.000242318, 34)  (0.191306, 34)  
CFR_IN  (-0.0944427, 30)  (-0.0731668, 46)  (4.62593e-18, 51)  (0.00559191, 49)  (-0.093151, 44)  (-0.000942753, 60)  (0.00253216, 55)  (9.4691e-05, 53)  (-0.0722492, 46)  (-0.0729247, 34)  (0.00168154, 34)  
A-EFR_IN  (-0.095868, 29)  (-0.0706788, 46)  (0.00158368, 53)  (-1.15637e-17, 50)  (-0.0946685, 44)  (0.000780289, 60)  (-0.0265112, 57)  (0.00181748, 52)  (-0.0697846, 48)  (-0.070458, 34)  (-0.00288112, 34)  
BPS-EFR  (-0.00138878, 29)  (0.0551322, 45)  (0.250319, 52)  (0.250424, 49)  (1.38778e-17, 44)  (0.249774, 60)  (0.229852, 56)  (0.250198, 52)  (0.056023, 49)  (0.05536, 34)  (0.25003, 34)  
TIPS-EFR  (-0.0944346, 29)  (-0.0734595, 46)  (0.000988222, 52)  (0.00659752, 49)  (-0.0931245, 44)  (0, 58)  (0.00294213, 57)  (0.00107109, 52)  (-0.0725417, 50)  (-0.0732218, 34)  (0.00249191, 34)  
CSPS-EFR  (-0.093299, 29)  (-0.0696648, 46)  (0.00798531, 52)  (0.00955517, 50)  (-0.0920606, 44)  (0.00716026, 60)  (-6.93889e-18, 57)  (0.0078175, 52)  (-0.0687964, 50)  (-0.0694134, 34)  (0.00885464, 34)  
CFPS-EFR  (-0.0950079, 29)  (-0.0736584, 46)  (-7.55299e-05, 52)  (0.00564082, 49)  (-0.0937188, 44)  (-0.00101399, 60)  (0.00224796, 56)  (-1.61908e-17, 53)  (-0.0727446, 51)  (-0.0734136, 34)  (0.00189634, 34)  
CFPS-EFR_EX+IN  (-0.0446504, 29)  (-0.000863914, 46)  (0.191087, 51)  (0.192349, 51)  (-0.0433226, 44)  (0.190423, 60)  (0.180693, 56)  (0.191026, 52)  (0, 50)  (-0.000627989, 34)  (0.190964, 34)  
TIPS-EFR_EX+IN  (-0.0439401, 29)  (-0.000237431, 47)  (0.191381, 53)  (0.192589, 50)  (-0.0425912, 44)  (0.19072, 60)  (0.18136, 58)  (0.191321, 52)  (0.000633479, 48)  (-4.62596e-18, 34)  (0.191204, 34)  
BEHAV-EFR  (-0.0925325, 29)  (-0.0731592, 46)  (0.00720175, 52)  (0.00595563, 48)  (-0.0911313, 44)  (0.00612864, 59)  (0.00614959, 57)  (0.0075462, 53)  (-0.0722289, 48)  (-0.0729588, 34)  (-2.54426e-17, 34)  
BR  (0.63917, 19)  (0.717283, 31)  (0.753033, 36)  (0.751677, 34)  (0.645695, 31)  (0.752742, 41)  (0.761209, 40)  (0.752998, 36)  (0.720631, 32)  (0.719144, 22)  (0.750074, 22)  
t = 4
CFR  (-1.15468e-17, 44)  (0.0617216, 49)  (0.179992, 55)  (0.189084, 53)  (0.0078169, 42)  (0.181969, 51)  (0.169544, 66)  (0.181237, 58)  (0.0675168, 50)  (0.0648516, 38)  (0.18342, 35)  
CFR_EX+IN  (-0.0364869, 32)  (4.60786e-18, 49)  (0.0989769, 54)  (0.108124, 54)  (-0.030339, 41)  (0.100633, 52)  (0.0899067, 67)  (0.100214, 58)  (0.00460602, 50)  (0.00223835, 38)  (0.102286, 35)  
CFR_IN  (-0.077263, 27)  (-0.0780058, 49)  (-4.62596e-18, 56)  (0.00965012, 54)  (-0.0731508, 43)  (0.00104288, 51)  (-0.00540068, 67)  (0.00132879, 57)  (-0.0749948, 47)  (-0.0773953, 38)  (0.00204199, 35)  
A-EFR_IN  (-0.101213, 27)  (-0.0893163, 49)  (-0.00319043, 55)  (-1.84856e-17, 53)  (-0.0986534, 42)  (-0.000974431, 50)  (-0.0332766, 67)  (-0.0029864, 58)  (-0.0877977, 49)  (-0.0907567, 38)  (-0.00200053, 35)  
BPS-EFR  (-0.00726714, 26)  (0.0545035, 49)  (0.177364, 55)  (0.186254, 53)  (0, 42)  (0.179306, 50)  (0.166964, 66)  (0.178574, 57)  (0.0599296, 49)  (0.0574098, 38)  (0.180751, 35)  
TIPS-EFR  (-0.0789869, 27)  (-0.0791225, 50)  (-0.00104443, 54)  (0.00886721, 54)  (-0.0750848, 44)  (6.93889e-18, 51)  (-0.00600021, 67)  (0.000275597, 58)  (-0.07634, 50)  (-0.0788922, 38)  (0.00103735, 35)  
CSPS-EFR  (-0.0616861, 27)  (-0.0604357, 50)  (0.0105632, 55)  (0.0220046, 53)  (-0.0574326, 42)  (0.01205, 52)  (2.31282e-18, 67)  (0.0119284, 57)  (-0.0571859, 50)  (-0.0595209, 38)  (0.0147775, 36)  
CFPS-EFR  (-0.0800335, 27)  (-0.0803046, 50)  (-0.00128522, 54)  (0.00802766, 54)  (-0.0761172, 42)  (-0.000235747, 52)  (-0.00684809, 68)  (-6.93889e-18, 57)  (-0.0774554, 49)  (-0.0798676, 38)  (0.00069156, 35)  
