learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
BPS-CFR  0.135916  0.157103  0.244287  0.0798824  0.146104  0.241004  0.354683  0.241149  0.144341  0.147452  
TIPS-CFR  0.13218  0.138842  0.158021  0.0530125  0.184513  0.158149  0.222542  0.158067  0.142179  0.156038  
CSPS-CFR  0.135612  0.152943  0.158184  0.0496443  0.164576  0.15821  0.310622  0.158175  0.157102  0.177455  
CFPS-CFR  0.135921  0.131648  0.158425  0.0533884  0.175893  0.158456  0.263596  0.158413  0.139141  0.13527  
CFPS-CFR_EX+IN  0.137744  0.15634  0.225292  0.0802791  0.157221  0.233036  0.358995  0.233681  0.146953  0.145565  
TIPS-CFR_EX+IN  0.137322  0.162053  0.225175  0.0809303  0.162199  0.233036  0.350561  0.232959  0.159721  0.174727  
BR  0.424282  0.361408  0.761325  0.590466  0.421543  0.762677  1.30445  0.762115  0.385184  0.469789  
t = 5
CFR  0.143779  0.135143  0.0870829  0.0619298  0.130679  0.100329  0.293347  0.0878203  0.141966  0.180632  
CFR_EX+IN  0.147682  0.140495  0.0949417  0.070536  0.137987  0.11688  0.297186  0.102317  0.140417  0.17  
CFR_IN  0.193902  0.118396  0.0897478  0.0903477  0.149346  0.115183  0.325766  0.0948685  0.122329  0.248562  
A-CFR_IN  0.188713  0.117296  0.0965411  0.0850448  0.116353  0.0859162  0.335908  0.0914845  0.153016  0.209542  
BPS-CFR  0.142319  0.14  0.0812411  0.0549866  0.13173  0.0945017  0.290515  0.080457  0.144882  0.201858  
TIPS-CFR  0.191124  0.132515  0.0809479  0.0746796  0.152251  0.0873047  0.363831  0.081621  0.129817  0.254117  
CSPS-CFR  0.195499  0.170987  0.0811497  0.0713895  0.159719  0.0891708  0.254988  0.0872587  0.154017  0.284727  
CFPS-CFR  0.194249  0.118187  0.0857975  0.0834632  0.150561  0.102946  0.355858  0.089022  0.12609  0.259031  
CFPS-CFR_EX+IN  0.145547  0.15943  0.0910395  0.0666774  0.137358  0.112939  0.294816  0.0960708  0.144022  0.18592  
TIPS-CFR_EX+IN  0.146607  0.162733  0.0893504  0.0647202  0.151968  0.112685  0.338281  0.0894747  0.151389  0.190853  
BR  0.430555  0.454805  0.408868  0.423989  0.386716  0.473116  0.554462  0.430481  0.381647  0.568717  
t = 6
