learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
BPS-CFR  0.288886  0.355877  0.363534  0.33145  0.312561  0.352895  0.349215  0.352895  0.64529  0.61371  
TIPS-CFR  0.301033  0.371187  0.283573  0.269612  0.337281  0.283359  0.370588  0.283359  0.426727  0.432377  
CSPS-CFR  0.295973  0.362617  0.348297  0.33144  0.31971  0.352891  0.355369  0.352891  0.639793  0.548008  
CFPS-CFR  0.301587  0.368218  0.283573  0.269613  0.336633  0.283359  0.367721  0.283359  0.438021  0.441718  
CFPS-CFR_EX+IN  0.300205  0.368728  0.346086  0.330648  0.327102  0.351333  0.36185  0.351333  0.540779  0.527785  
TIPS-CFR_EX+IN  0.300774  0.369424  0.346084  0.330648  0.327611  0.351333  0.362841  0.351333  0.54381  0.53089  
BR  0.553314  0.755395  1.03679  0.936331  0.638309  1.03766  0.7254  1.03766  1.31429  1.28834  
t = 5
CFR  0.3391  0.370969  0.225558  0.224398  0.377629  0.223356  0.316435  0.223356  0.322077  0.322284  
CFR_EX+IN  0.37483  0.351788  0.285519  0.292353  0.408032  0.284167  0.30635  0.284166  0.361766  0.378334  
CFR_IN  0.592819  0.301679  0.182928  0.16774  0.638064  0.179896  0.286786  0.179896  0.409509  0.428032  
A-CFR_IN  0.465914  0.362875  0.240198  0.16965  0.504679  0.274225  0.379793  0.183082  0.281646  0.417992  
BPS-CFR  0.345423  0.379422  0.186019  0.187783  0.381184  0.182925  0.335019  0.182925  0.52856  0.520046  
TIPS-CFR  0.593023  0.298624  0.183285  0.16535  0.639312  0.180322  0.282219  0.180322  0.387867  0.409179  
CSPS-CFR  0.357438  0.36916  0.248947  0.255909  0.389113  0.24609  0.329598  0.24609  0.523763  0.405253  
CFPS-CFR  0.592749  0.298027  0.183285  0.165352  0.637682  0.180322  0.281575  0.180323  0.38783  0.409228  
CFPS-CFR_EX+IN  0.37356  0.365491  0.256415  0.26305  0.401154  0.254449  0.322356  0.254448  0.359699  0.379286  
TIPS-CFR_EX+IN  0.37388  0.363633  0.256475  0.263058  0.401793  0.254483  0.318882  0.254483  0.346412  0.366294  
BR  0.746894  0.834744  0.959551  0.906438  0.831606  0.974397  0.779524  0.974399  0.984255  0.989849  
t = 6
CFR  0.331247  0.257454  0.199899  0.185917  0.311941  0.195793  0.251546  0.195996  0.408143  0.220698  
CFR_EX+IN  0.329364  0.262318  0.155809  0.151102  0.312967  0.157407  0.253329  0.155858  0.481363  0.498165  
CFR_IN  0.351211  0.283236  0.122799  0.123246  0.239974  0.135102  0.273733  0.1308  0.462181  0.500869  
A-CFR_IN  0.454967  0.172949  0.124993  0.112132  0.321662  0.135973  0.205524  0.121758  -0.007871  0.12794  
BPS-CFR  0.367516  0.281682  0.19453  0.183488  0.313521  0.18935  0.271481  0.189123  0.439204  0.399045  
TIPS-CFR  0.345354  0.307396  0.111649  0.116007  0.256784  0.122561  0.300378  0.117998  0.469197  0.528809  
