CFRTest 64 0.0655505596 0.3213528190 0.0655857384 0.3216275763 0.396 0.587
CFRTest 65 0.0618397090 0.3262000313 0.0618743547 0.3264706256 0.393 0.591
CFRTest 66 0.0603215974 0.3243173554 0.0603557260 0.3245839110 0.393 0.591
CFRTest 67 0.0660083837 0.3179898375 0.0660420104 0.3182524731 0.396 0.589
CFRTest 68 0.0693048598 0.3073947742 0.0693379992 0.3076536036 0.400 0.584
CFRTest 69 0.0696033946 0.3031803137 0.0696360606 0.3034354454 0.407 0.577
CFRTest 70 0.0686230651 0.2989101684 0.0686552710 0.2991617068 0.416 0.569
CFRTest 71 0.0676699670 0.2947586383 0.0677017256 0.2950066831 0.424 0.561
CFRTest 72 0.0667429812 0.2907208487 0.0667743047 0.2909654956 0.432 0.553
CFRTest 73 0.0658410490 0.2867921886 0.0658719492 0.2870335295 0.440 0.546
CFRTest 74 0.0649631683 0.2829682928 0.0649936566 0.2832064157 0.447 0.539
CFRTest 75 0.0641083898 0.2792450257 0.0641384769 0.2794800155 0.454 0.532
CFRTest 76 0.0632758133 0.2756184670 0.0633055096 0.2758504049 0.462 0.525
CFRTest 77 0.0624645849 0.2720848969 0.0624939005 0.2723138613 0.469 0.518
CFRTest 78 0.0616738940 0.2686407843 0.0617028385 0.2688668504 0.475 0.511
CFRTest 79 0.0609029703 0.2652827745 0.0609315530 0.2655060148 0.482 0.505
CFRTest 80 0.0601510818 0.2620076785 0.0601793116 0.2622281627 0.488 0.499
CFRTest 81 0.0594175320 0.2588124629 0.0594454176 0.2590302583 0.495 0.493
CFRTest 82 0.0587016581 0.2556942404 0.0587292077 0.2559094118 0.501 0.487
CFRTest 83 0.0580028289 0.2526502614 0.0580300505 0.2528628712 0.507 0.481
CFRTest 84 0.0573204426 0.2496779054 0.0573473440 0.2498880139 0.513 0.475
CFRTest 85 0.0566539259 0.2467746739 0.0566805144 0.2469823393 0.518 0.470
CFRTest 86 0.0560027313 0.2439381834 0.0560290143 0.2441434618 0.524 0.464
CFRTest 87 0.0553663366 0.2411661586 0.0553923209 0.2413691043 0.529 0.459
CFRTest 88 0.0547442430 0.2384564265 0.0547699353 0.2386570919 0.535 0.454
CFRTest 89 0.0541359736 0.2358069106 0.0541613805 0.2360053464 0.540 0.449
CFRTest 90 0.0535410728 0.2399118455 0.0535662005 0.2401081007 0.545 0.444
CFRTest 91 0.0529591046 0.2481736733 0.0529839591 0.2483677953 0.550 0.439
CFRTest 92 0.0523896519 0.2562578274 0.0524142392 0.2564498620 0.555 0.434
CFRTest 93 0.0518323152 0.2641699781 0.0518566409 0.2643599699 0.559 0.430
CFRTest 94 0.0512867118 0.2719155573 0.0513107815 0.2721035491 0.564 0.425
CFRTest 95 0.0507524753 0.2794997702 0.0507762942 0.2796858038 0.569 0.421
CFRTest 96 0.0502292539 0.2869276077 0.0502528272 0.2871117234 0.573 0.417
CFRTest 97 0.0497167105 0.2942038566 0.0497400433 0.2943860935 0.578 0.412
CFRTest 98 0.0492145215 0.3013331105 0.0492376186 0.3015135067 0.582 0.408
CFRTest 99 0.0487223762 0.3083197794 0.0487452424 0.3084983717 0.586 0.404
CFRTest 100 0.0482399765 0.3151680985 0.0482626163 0.3153449225 0.590 0.400
CFRTest 101 0.0464240474 0.3191961604 0.0464464652 0.3193712508 0.593 0.397
CFRTest 102 0.0441066302 0.3185578129 0.0441288303 0.3187312035 0.593 0.397
CFRTest 103 0.0482405051 0.3149953267 0.0482624918 0.3151670500 0.592 0.398
CFRTest 104 0.0509047723 0.3087189628 0.0509265496 0.3088890507 0.590 0.401
CFRTest 105 0.0518109682 0.3020735850 0.0518325401 0.3022420682 0.585 0.405
CFRTest 106 0.0513267536 0.2992504673 0.0513481238 0.2994173760 0.580 0.411
CFRTest 107 0.0508515058 0.2964796297 0.0508726782 0.2966449929 0.575 0.416
CFRTest 108 0.0503849783 0.2937596331 0.0504059564 0.2939234792 0.569 0.422
CFRTest 109 0.0499269330 0.2910890910 0.0499477204 0.2912514475 0.564 0.427
CFRTest 110 0.0494771408 0.2884666667 0.0494977410 0.2886275606 0.559 0.432
CFRTest 111 0.0490353806 0.2858910715 0.0490557968 0.2860505288 0.554 0.437
CFRTest 112 0.0486014392 0.2833610620 0.0486216748 0.2835191082 0.549 0.442
CFRTest 113 0.0481751108 0.2808754386 0.0481951688 0.2810320985 0.544 0.447
CFRTest 114 0.0477561968 0.2784330435 0.0477760804 0.2785883411 0.540 0.452
CFRTest 115 0.0473445054 0.2760327587 0.0473642176 0.2761867175 0.535 0.457
CFRTest 116 0.0469398515 0.2736735043 0.0469593953 0.2738261473 0.530 0.461
CFRTest 117 0.0465420562 0.2713542373 0.0465614343 0.2715055867 0.526 0.466
CFRTest 118 0.0461509465 0.2690739496 0.0461701617 0.2692240271 0.521 0.470
CFRTest 119 0.0457663552 0.2668316667 0.0457854104 0.2669804936 0.517 0.475
CFRTest 120 0.0453881209 0.2646264463 0.0454070186 0.2647740432 0.513 0.479
CFRTest 121 0.0450160871 0.2624573771 0.0450348299 0.2626037642 0.509 0.483
CFRTest 122 0.0446501027 0.2603235773 0.0446686931 0.2604687742 0.505 0.488
CFRTest 123 0.0442900212 0.2582241936 0.0443084617 0.2583682196 0.500 0.492
CFRTest 124 0.0439357010 0.2561584000 0.0439539940 0.2563012738 0.496 0.496
CFRTest 125 0.0435870050 0.2541253969 0.0436051528 0.2542671367 0.493 0.500
CFRTest 126 0.0432438002 0.2521244095 0.0432618051 0.2522650333 0.489 0.504
CFRTest 127 0.0429059580 0.2501546875 0.0429238222 0.2502942127 0.485 0.508
CFRTest 128 0.0425733537 0.2482155039 0.0425910794 0.2483539475 0.481 0.511
CFRTest 129 0.0422458664 0.2463061539 0.0422634557 0.2464435325 0.477 0.515
CFRTest 130 0.0419233789 0.2444259542 0.0419408339 0.2445622842 0.474 0.519
CFRTest 131 0.0416057775 0.2425742425 0.0416231004 0.2427095396 0.470 0.522
CFRTest 132 0.0412929521 0.2407503760 0.0413101447 0.2408846559 0.467 0.526
CFRTest 133 0.0409847957 0.2389537314 0.0410018601 0.2390870092 0.463 0.530
CFRTest 134 0.0406812047 0.2371837037 0.0406981426 0.2373159943 0.460 0.533
CFRTest 135 0.0403820782 0.2354397059 0.0403988915 0.2355710237 0.456 0.537
CFRTest 136 0.0400873185 0.2337211679 0.0401040091 0.2338515272 0.453 0.540
CFRTest 137 0.0397968307 0.2341332306 0.0398134003 0.2342626453 0.450 0.543
CFRTest 138 0.0395105225 0.2396430635 0.0395269730 0.2397715471 0.446 0.547
CFRTest 139 0.0392283045 0.2450741845 0.0392446375 0.2452017503 0.443 0.550
CFRTest 140 0.0389500896 0.2504282683 0.0389663067 0.2505549294 0.440 0.553
CFRTest 141 0.0386757932 0.2557069424 0.0386918961 0.2558327116 0.437 0.556
CFRTest 142 0.0384053331 0.2609117890 0.0384213234 0.2610366787 0.434 0.559
CFRTest 143 0.0381386294 0.2660443460 0.0381545087 0.2661683684 0.431 0.562
CFRTest 144 0.0378756043 0.2711061091 0.0378913741 0.2712292762 0.428 0.565
CFRTest 145 0.0376161824 0.2760985330 0.0376318442 0.2762208565 0.425 0.568
CFRTest 146 0.0373602900 0.2810230328 0.0373758452 0.2811445241 0.422 0.571
CFRTest 147 0.0371078556 0.2858809853 0.0371233057 0.2860016557 0.419 0.574
CFRTest 148 0.0368588096 0.2906737304 0.0368741560 0.2907935909 0.416 0.577
CFRTest 149 0.0366130842 0.2954025722 0.0366283283 0.2955216337 0.414 0.580
CFRTest 150 0.0363706134 0.3000687803 0.0363857566 0.3001870533 0.411 0.583
CFRTest 151 0.0361313331 0.3046735909 0.0361463766 0.3047910858 0.408 0.585
CFRTest 152 0.0358951806 0.3092182080 0.0359101258 0.3093349350 0.406 0.588
CFRTest 153 0.0356620950 0.3137038041 0.0356769432 0.3138197730 0.403 0.591
CFRTest 154 0.0354320170 0.3181315214 0.0354467693 0.3182467422 0.400 0.593
CFRTest 155 0.0337738063 0.3196403084 0.0337884641 0.3197562217 0.399 0.595
CFRTest 156 0.0315461400 0.3190715204 0.0315607045 0.3191891465 0.399 0.595
CFRTest 157 0.0344600381 0.3169500809 0.0344745104 0.3170701781 0.400 0.594
CFRTest 158 0.0365983331 0.3133774254 0.0366127143 0.3135007016 0.401 0.593
CFRTest 159 0.0378805449 0.3081907193 0.0378948363 0.3083179641 0.403 0.590
CFRTest 160 0.0380192920 0.3008133712 0.0380334946 0.3009456627 0.407 0.587
CFRTest 161 0.0377846051 0.2949541503 0.0377987200 0.2950270124 0.410 0.584
CFRTest 162 0.0375527977 0.2931507506 0.0375668260 0.2932231657 0.414 0.580
CFRTest 163 0.0373238172 0.2913693436 0.0373377600 0.2914413172 0.418 0.576
CFRTest 164 0.0370976122 0.2896095294 0.0371114705 0.2896810668 0.421 0.573
CFRTest 165 0.0368741326 0.2878709178 0.0368879074 0.2879420242 0.425 0.569
CFRTest 166 0.0366533295 0.2861531278 0.0366670218 0.2862238085 0.428 0.566
CFRTest 167 0.0364351549 0.2844557878 0.0364487657 0.2845260477 0.432 0.563
CFRTest 168 0.0362195622 0.2827785346 0.0362330925 0.2828483788 0.435 0.559
CFRTest 169 0.0360065060 0.2811210138 0.0360199567 0.2811904471 0.438 0.556
CFRTest 170 0.0357959416 0.2794828792 0.0358093137 0.2795519065 0.442 0.553
CFRTest 171 0.0355878257 0.2778637927 0.0356011200 0.2779324187 0.445 0.550
CFRTest 172 0.0353821157 0.2762634240 0.0353953332 0.2763316533 0.448 0.546
CFRTest 173 0.0351787702 0.2746814503 0.0351919117 0.2747492874 0.451 0.543
CFRTest 174 0.0349777487 0.2731175563 0.0349908151 0.2731850058 0.454 0.540
CFRTest 175 0.0347790115 0.2715714338 0.0347920036 0.2716385001 0.457 0.537
CFRTest 176 0.0345825199 0.2700427816 0.0345954386 0.2701094690 0.460 0.534
CFRTest 177 0.0343882361 0.2685313053 0.0344010822 0.2685976181 0.463 0.531
CFRTest 178 0.0341961230 0.2670367170 0.0342088974 0.2671026593 0.466 0.528
CFRTest 179 0.0340061445 0.2655587353 0.0340188480 0.2656243112 0.469 0.525
CFRTest 180 0.0338182653 0.2640970848 0.0338308985 0.2641622984 0.472 0.522
CFRTest 181 0.0336324507 0.2626514964 0.0336450145 0.2627163517 0.475 0.519
CFRTest 182 0.0334486668 0.2612217068 0.0334611619 0.2612862077 0.478 0.517
CFRTest 183 0.0332668805 0.2598074584 0.0332793078 0.2598716088 0.481 0.514
CFRTest 184 0.0330870596 0.2584084992 0.0330994197 0.2584723028 0.484 0.511
CFRTest 185 0.0329091721 0.2570245825 0.0329214658 0.2570880431 0.487 0.508
CFRTest 186 0.0327331873 0.2556554671 0.0327454152 0.2557185883 0.489 0.505
CFRTest 187 0.0325590746 0.2543009167 0.0325712374 0.2543637022 0.492 0.503
CFRTest 188 0.0323868043 0.2529607003 0.0323989028 0.2530231535 0.495 0.500
CFRTest 189 0.0322163475 0.2516345913 0.0322283823 0.2516967159 0.497 0.498
CFRTest 190 0.0320476755 0.2503223683 0.0320596473 0.2503841676 0.500 0.495
CFRTest 191 0.0318807605 0.2490238143 0.0318926700 0.2490852917 0.503 0.492
CFRTest 192 0.0317155752 0.2477387168 0.0317274230 0.2477998757 0.505 0.490
CFRTest 193 0.0315520929 0.2464668678 0.0315638796 0.2465277114 0.508 0.487
CFRTest 194 0.0313902873 0.2452080633 0.0314020135 0.2452685950 0.510 0.485
CFRTest 195 0.0312301327 0.2439621038 0.0312417992 0.2440223266 0.513 0.482
CFRTest 196 0.0310716042 0.2427287936 0.0310832113 0.2427887107 0.515 0.480
CFRTest 197 0.0309146769 0.2415079411 0.0309262254 0.2415675556 0.518 0.477
CFRTest 198 0.0307593267 0.2402993585 0.0307708173 0.2403586734 0.520 0.475
CFRTest 199 0.0306055301 0.2391028617 0.0306169632 0.2391618801 0.522 0.473
CFRTest 200 0.0304532638 0.2379182704 0.0304646400 0.2379769951 0.525 0.470
CFRTest 201 0.0303025050 0.2367454077 0.0303138249 0.2368038417 0.527 0.468
CFRTest 202 0.0301532316 0.2355841002 0.0301644957 0.2356422464 0.530 0.466
CFRTest 203 0.0300054217 0.2344341782 0.0300166306 0.2344920393 0.532 0.463
CFRTest 204 0.0298590537 0.2332954749 0.0298702080 0.2333530537 0.534 0.461
CFRTest 205 0.0297141069 0.2321678269 0.0297252070 0.2322251263 0.536 0.459
CFRTest 206 0.0295705605 0.2310510741 0.0295816069 0.2311080967 0.539 0.457
CFRTest 207 0.0294283943 0.2299450594 0.0294393877 0.2300018078 0.541 0.454
CFRTest 208 0.0292875886 0.2288496285 0.0292985294 0.2289061053 0.543 0.452
CFRTest 209 0.0291481239 0.2304743790 0.0291590126 0.2305305869 0.545 0.450
CFRTest 210 0.0290099811 0.2341261592 0.0290208182 0.2341821007 0.547 0.448
CFRTest 211 0.0288731416 0.2377434886 0.0288839275 0.2377991663 0.550 0.446
CFRTest 212 0.0287375869 0.2413268525 0.0287483222 0.2413822688 0.552 0.444
CFRTest 213 0.0286032992 0.2448767270 0.0286139843 0.2449318844 0.554 0.442
CFRTest 214 0.0284702606 0.2483935795 0.0284808960 0.2484484802 0.556 0.440
CFRTest 215 0.0283384538 0.2518778684 0.0283490400 0.2519325151 0.558 0.438
CFRTest 216 0.0282078618 0.2553300442 0.0282183992 0.2553844390 0.560 0.436
CFRTest 217 0.0280784680 0.2587505486 0.0280889570 0.2588046938 0.562 0.434
CFRTest 218 0.0279502558 0.2621398155 0.0279606970 0.2621937135 0.564 0.432
CFRTest 219 0.0278232092 0.2654982708 0.0278336029 0.2655519239 0.566 0.430
CFRTest 220 0.0276973123 0.2688263330 0.0277076590 0.2688797432 0.568 0.428
CFRTest 221 0.0275725496 0.2721244125 0.0275828497 0.2721775822 0.570 0.426
