learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.4917e-17  0.000173821  0.000146176  0.00018604  0.305453  0.393795  0.000221326  0.000170154  -1.34291e-05  0.00017541  
CFR+  -0.00143398  -1.71805e-17  -0.00138392  -5.68294e-06  0.305437  0.387005  -0.00154184  -1.5546e-05  -0.00169539  -9.50324e-07  
A-CFR  -0.00118938  0.000174025  -3.41552e-17  0.00019766  0.305453  0.355749  0.00022165  0.000169249  -3.744e-07  0.000175445  
A-CFR+  -0.00145016  -4.23638e-05  -0.00140414  -2.37197e-17  0.305433  0.357558  -0.00154715  -2.57261e-05  -0.00171024  -2.72097e-05  
PGPI(10000/U)  -0.0240763  -0.00881341  -0.0122762  -0.0108032  1.15219e-16  0.116247  -0.0249084  -0.00741132  -0.0188282  -0.0106194  
PI  -0.0498755  -0.00205421  -0.0429685  -0.00203666  0.305456  2.42215e-17  -0.0169156  -0.00138313  -0.0190024  -0.00120141  
CFR_IN  2.14162e-05  0.000173821  0.000146176  0.00018604  0.305453  0.393795  1.93497e-16  0.000170154  -1.4294e-05  0.00017541  
CFR+_IN  -0.00143398  -6.28247e-06  -0.00138392  -5.68294e-06  0.305437  0.387005  -0.00154184  9.86327e-17  -0.00169539  -9.50324e-07  
A-CFR_IN  2.05576e-05  0.00017387  0.000146823  0.000186056  0.305453  0.393802  0.00022165  0.000169243  2.03093e-16  0.000175445  
A-CFR+_IN  -0.00144613  -4.23642e-05  -0.00140388  -1.48537e-05  0.305433  0.386958  -0.00154715  -2.57317e-05  -0.00171024  1.08747e-16  
BR  0.117483  0.0080749  0.118115  0.00741964  0.305591  0.692444  0.126599  0.00912043  0.15093  0.00798368  
