learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  -8.8891e-19  0.016012  0.679173  0.0280063  0.558019  0.0050528  0.0589735  -0.00568776  
CFR_EX+IN  0.0409285  2.53985e-17  0.680433  0.0217129  0.556986  -0.000865505  0.0583582  -0.0056864  
A-CFR  0.0176443  0.0246443  2.52402e-18  -0.0303511  0.49034  -0.0215785  0.0530354  -0.0101403  
CFR_IN  0.0239772  0.0129203  0.669601  2.15537e-17  0.54788  0.00601612  0.0521817  -0.0103142  
A-CFR_IN  0.0289856  0.0117206  0.603875  0.056439  6.88091e-07  0.00217782  0.00675729  -0.00380433  
BPS-CFR  0.045548  0.0144821  0.677692  0.0393178  0.557215  3.02114e-17  0.0612023  -0.00454106  
TIPS-CFR  0.00413433  0.0131902  0.667899  0.0255571  0.539418  -0.00275918  -0.000236596  0.00298687  
IPS-CFR  0.0421666  0.0126904  0.676026  0.0353254  0.560621  0.00207639  0.0655904  -0.000410066  
BR  0.914164  0.882343  0.972155  0.905157  0.954048  0.843916  0.812343  0.775631  
