learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
CFPS-CFR_EX+IN  1.80503e-16  -5.76148e-17  4.94971e-16  7.23867e-16  2.86053e-16  4.9066e-16  5.87984e-16  -7.49593e-17  1.51104e-16  -3.55842e-17  1.43239e-16  
TIPS-CFR_EX+IN  2.45441e-16  -8.29519e-17  1.76853e-17  6.14537e-16  2.80929e-16  8.34623e-17  4.46642e-16  1.05917e-16  1.67728e-16  2.64654e-16  -2.51784e-16  
BEHAV-CFR  -5.65407e-16  -1.42041e-15  8.27964e-16  1.37719e-15  -5.65407e-16  8.48344e-16  8.94038e-16  6.30789e-16  -1.02942e-15  -1.34962e-15  5.41565e-16  
BR  1  1  1  1  1  1  1  1  1  1  1  
t = 3
CFR  -1.38778e-17  -0.0516178  0.818415  0.818415  -0.00441438  0.818415  -0.104931  0.818415  -0.0621839  -0.0802697  0.818415  
CFR_EX+IN  0.07459  -3.2223e-16  0.80513  0.80513  0.0710334  0.80513  -0.115459  0.80513  -0.0041421  -0.022988  0.80513  
CFR_IN  0.257587  0.21076  -5.04709e-16  6.34955e-16  0.255709  7.21383e-17  -0.9323  -1.92567e-16  0.203392  0.171659  1.67128e-16  
A-CFR_IN  -0.891773  -0.818687  -5.8449e-16  4.88061e-16  -0.900244  -3.8171e-17  -0.9323  -3.39461e-16  -0.876286  -0.818006  3.24105e-17  
BPS-CFR  0.00441438  -0.0445761  0.831172  0.832806  1.38778e-17  0.831172  -0.0992832  0.831172  -0.0568763  -0.0767352  0.831172  
TIPS-CFR  0.236612  0.187755  -2.12795e-15  -1.0554e-15  0.235793  -1.69834e-15  -0.9323  -1.88292e-15  0.182533  0.156232  -1.66727e-15  
CSPS-CFR  0.238336  0.204738  0.9323  0.9323  0.23755  0.9323  6.38378e-16  0.9323  0.203544  0.179869  0.9323  
CFPS-CFR  0.254377  0.207534  -6.97046e-16  3.75505e-16  0.252497  -1.87311e-16  -0.9323  -4.52016e-16  0.200144  0.168712  4.04785e-16  
