learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  20.2038  20.1055  20.02  20.1095  16.833  14.9669  20.0241  20.0256  20.0229  20.0223  
CFR+  20.0051  20.307  20.0115  20.0996  16.8217  14.4007  20.0097  20.0102  20.0058  20.0067  
A-CFR  20.0144  20.1055  20.2115  20.1096  16.8334  14.944  20.0257  20.0263  20.0235  20.0231  
A-CFR+  20.0016  20.0927  20.0079  20.3113  16.8197  14.4761  20.0091  20.0084  20.0052  20.0059  
PGPI(10000/U)  20.0159  20.1109  20.0184  20.1136  16.4346  12.7715  20.0011  19.996  19.993  19.991  
PI  19.877  20.0826  19.884  20.0872  16.8104  2.87481  19.9561  19.9737  19.9791  19.9918  
CFR_IN  20.0801  20.1715  20.0843  20.1738  16.8845  14.9768  20.242  20.0926  20.0902  20.0888  
CFR+_IN  20.0477  20.1403  20.0531  20.1449  16.8487  14.2042  20.0614  20.2388  20.0535  20.0548  
A-CFR_IN  20.08  20.1714  20.0843  20.1738  16.8845  14.9385  20.0918  20.0924  20.2273  20.0888  
A-CFR+_IN  20.0459  20.1368  20.051  20.142  16.8451  14.3171  20.0538  20.0493  20.0485  20.2281  
BR  20.384  20.4782  20.3885  20.4808  17.128  18.692  20.3923  20.3907  20.3874  20.3884  
