learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
TIPS-EFR_EX+IN  (-0.0077521, 5)  (-1.61908e-17, 14)  (0.338877, 9)  (0.338877, 9)  (-0.0077521, 7)  (0.338877, 11)  (0.233345, 15)  (0.338877, 9)  (-7.97973e-17, 12)  (-1.15648e-18, 11)  (0.338877, 9)  
BEHAV-EFR  (-0.0709352, 7)  (-0.0890381, 14)  (-2.84061e-17, 9)  (7.2497e-17, 9)  (-0.0709352, 7)  (-1.38272e-16, 12)  (-3.02157e-16, 15)  (-9.32414e-18, 9)  (-0.0890381, 12)  (-0.0890381, 11)  (4.93038e-32, 9)  
t = 2
CFR  (-5.77338e-18, 33.5)  (0.00511923, 46)  (0.335022, 38)  (-0.0689472, 41)  (0.000198956, 38)  (0.335186, 43)  (0.20081, 49)  (0.335168, 41)  (0.00542135, 42)  (0.00464728, 49)  (0.326851, 58)  
CFR_EX+IN  (-0.00293699, 34)  (-1.43115e-17, 61.5)  (0.394104, 57)  (-0.0588927, 55)  (-0.00237599, 52)  (0.402876, 62)  (0.270197, 65)  (0.401132, 59)  (0.000373478, 62)  (0.00052421, 60)  (0.374759, 58)  
CFR_IN  (0.163396, 10)  (0.149497, 48)  (-4.62593e-18, 37.5)  (0.0156697, 40)  (0.163396, 16)  (-2.07217e-10, 38)  (-0.00495868, 43)  (1.4587e-11, 37)  (0.149496, 48)  (0.149063, 48)  (-3.54415e-08, 36)  
A-EFR_IN  (0.131775, 11)  (0.115446, 49)  (0.0458577, 38)  (-1.04083e-17, 41)  (0.131775, 16)  (0.045849, 37)  (0.0342998, 43)  (0.0471204, 38)  (0.115446, 45)  (0.115468, 51)  (0.0471555, 32)  
BPS-EFR  (-0.000205588, 33)  (0.00457388, 60)  (0.335022, 57)  (-0.0689472, 51)  (-1.19262e-18, 50.5)  (0.335186, 58)  (0.200839, 60)  (0.335168, 55)  (0.00491362, 59)  (0.00421691, 57)  (0.326851, 54)  
TIPS-EFR  (0.163847, 11)  (0.147782, 48)  (2.0957e-10, 38)  (0.0155378, 38)  (0.163847, 16)  (9.8301e-18, 35)  (-0.00496816, 47)  (2.24172e-10, 39)  (0.148719, 44)  (0.148624, 47)  (-3.53941e-08, 38)  
CSPS-EFR  (0.160034, 12)  (0.156506, 51)  (0.00669394, 42)  (0.0225281, 43)  (0.160123, 16)  (0.00672891, 41)  (-1.04083e-17, 46.5)  (0.00669853, 40)  (0.158239, 49)  (0.157754, 47)  (0.00801411, 40)  
CFPS-EFR  (0.162846, 11)  (0.148112, 48)  (-1.45845e-11, 38)  (0.0159945, 41)  (0.162846, 16)  (-2.21661e-10, 36)  (-0.00495989, 50)  (-1.15648e-18, 42)  (0.148864, 45)  (0.14844, 48)  (-3.54472e-08, 36)  
CFPS-EFR_EX+IN  (-0.00325371, 30)  (-0.000376265, 61)  (0.395125, 56)  (-0.0588239, 52)  (-0.00272918, 51)  (0.395002, 61)  (0.259244, 62)  (0.395009, 56)  (-8.67362e-18, 59.5)  (-0.000441522, 60)  (0.36942, 56)  
TIPS-EFR_EX+IN  (-0.00237327, 36)  (-0.000521615, 60)  (0.396981, 55)  (-0.058315, 54)  (-0.00194431, 52)  (0.396654, 59)  (0.261674, 61)  (0.396745, 57)  (0.000445348, 61)  (6.50521e-19, 58.5)  (0.368585, 56)  
BEHAV-EFR  (0.154343, 17)  (0.134156, 50)  (6.455e-08, 38)  (0.0158572, 42)  (0.154343, 16)  (6.39628e-08, 36)  (-0.00548321, 44)  (6.45719e-08, 36)  (0.13487, 46)  (0.1349, 47)  (-6.36065e-18, 39)  
t = 3
CFR  (4.06576e-18, 33)  (0.0140935, 52)  (0.0428839, 46)  (-0.00385939, 34)  (0.00537505, 36)  (0.0621356, 54)  (0.0605105, 52)  (0.0494255, 51)  (0.0165489, 47)  (0.0152791, 55)  (-0.0224777, 74)  
CFR_EX+IN  (-0.0064863, 34)  (6.50521e-19, 56)  (0.0189705, 66)  (0.116345, 50)  (-0.00236715, 51)  (0.044599, 75)  (0.0338703, 61)  (0.0312709, 68)  (0.00173096, 64)  (0.000605517, 66)  (-0.0424527, 73)  
CFR_IN  (0.19969, 13)  (0.186351, 60)  (1.19262e-18, 51)  (0.160217, 52)  (0.199878, 22)  (-0.007485, 60)  (0.128376, 54)  (-0.0049936, 58)  (0.183494, 54)  (0.17763, 58)  (-0.0560266, 53)  
A-EFR_IN  (0.132002, 20)  (0.162726, 43)  (0.130965, 44)  (0, 42)  (0.128334, 34)  (0.132202, 51)  (-0.0575793, 51)  (0.0991772, 51)  (0.149703, 48)  (0.15225, 50)  (0.101915, 52)  
BPS-EFR  (-0.00509352, 33)  (0.0106149, 56)  (0.0425337, 67)  (-0.009203, 50)  (3.75405e-18, 49.5)  (0.0617126, 71)  (0.0610242, 58)  (0.0490713, 69)  (0.0129535, 64)  (0.0117652, 58)  (-0.0188458, 73)  
TIPS-EFR  (0.204032, 14)  (0.178694, 54)  (0.00767553, 55)  (0.164283, 46)  (0.204962, 21)  (1.21431e-17, 51)  (0.123343, 51)  (0.00258491, 52)  (0.177929, 58)  (0.174809, 56)  (-0.0502607, 58)  
CSPS-EFR  (0.162237, 15)  (0.187482, 62)  (-0.0780042, 55)  (0.134443, 49)  (0.16825, 21)  (-0.0834565, 63)  (-2.55872e-17, 53.5)  (-0.0828084, 55)  (0.177332, 56)  (0.172644, 56)  (-0.0692978, 63)  
CFPS-EFR  (0.200313, 14)  (0.185919, 58)  (0.00507147, 51)  (0.161069, 43)  (0.200458, 21)  (-0.00255824, 57)  (0.122642, 49)  (1.04083e-17, 50)  (0.183665, 54)  (0.17771, 57)  (-0.052406, 57)  
CFPS-EFR_EX+IN  (-0.00939224, 30)  (-0.00165661, 56)  (0.0182813, 64)  (0.111161, 47)  (-0.00539592, 48)  (0.0309929, 71)  (0.0336373, 57)  (0.0194361, 62)  (5.85469e-18, 63)  (-0.00105799, 64)  (-0.0405393, 71)  
