learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
CFPS-CFR_EX+IN  0.563635  0.598679  0.50765  0.546952  0.58731  0.735014  1.86328  0.614028  0.436063  0.42749  0.735014  
TIPS-CFR_EX+IN  0.531128  0.591917  0.529322  0.57259  0.58367  0.765608  1.95148  0.648843  0.431722  0.426797  0.765608  
BEHAV-CFR  0.571949  0.491583  0.510605  0.446255  0.481697  0.511726  1.84078  0.51119  0.36787  0.362106  0.511726  
BR  1.51369  1.64466  1.17996  0.992976  1.63442  1.19439  3.35339  1.18744  1.43184  1.42334  1.19439  
t = 4
CFR  0.248738  0.344626  0.36457  0.271149  0.293166  0.353044  0.560143  0.352895  0.280691  0.286152  0.353044  
CFR_EX+IN  0.260568  0.342822  0.346564  0.252889  0.298992  0.351481  0.543996  0.351333  0.278212  0.278857  0.351481  
CFR_IN  0.271023  0.316212  0.284208  0.187388  0.301023  0.283685  0.697722  0.283878  0.247638  0.230786  0.283685  
A-CFR_IN  0.194975  0.199127  0.30808  0.210841  0.176481  0.307058  0.641287  0.269886  0.135461  0.0678863  0.307058  
BPS-CFR  0.253359  0.360567  0.363534  0.250092  0.316191  0.353044  0.549771  0.352895  0.29291  0.306017  0.353044  
TIPS-CFR  0.269463  0.337528  0.282921  0.185602  0.323885  0.282792  0.697738  0.282819  0.287072  0.280759  0.282792  
CSPS-CFR  0.270652  0.350371  0.283194  0.18571  0.33023  0.282937  0.697735  0.28302  0.29871  0.296929  0.286782  
CFPS-CFR  0.277283  0.330756  0.283573  0.186504  0.315052  0.283252  0.697728  0.283359  0.265635  0.262756  0.283252  
CFPS-CFR_EX+IN  0.262912  0.356752  0.346086  0.237487  0.318009  0.351481  0.537178  0.351333  0.297111  0.300577  0.351481  
TIPS-CFR_EX+IN  0.26743  0.378997  0.345581  0.226317  0.341421  0.351481  0.495802  0.351333  0.315215  0.345591  0.351481  
BEHAV-CFR  0.269432  0.341512  0.282921  0.185602  0.324906  0.282792  0.697739  0.282819  0.285966  0.281552  0.282792  
BR  0.524774  0.550499  1.03679  0.93347  0.531748  1.03827  1.72227  1.03766  0.565344  0.733721  1.03827  
t = 5
CFR  0.301952  0.329924  0.225558  0.171803  0.319001  0.219548  0.848092  0.223355  0.336776  0.428851  0.219548  
CFR_EX+IN  0.324715  0.330199  0.285519  0.194126  0.322019  0.281562  0.840797  0.284166  0.342189  0.408555  0.281562  
CFR_IN  0.355044  0.337867  0.182928  0.138787  0.352305  0.177291  0.813184  0.179896  0.299625  0.413022  0.177291  
A-CFR_IN  0.230843  0.273397  0.190038  0.12282  0.277777  0.186305  1.02421  0.183082  0.227563  0.308483  0.186305  
BPS-CFR  0.305914  0.343041  0.186019  0.138144  0.343856  0.17894  1.15472  0.182924  0.355861  0.451135  0.17894  
