learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  0.0032445  0.00958317  0.657  0.00599475  0.476134  0.00222366  0.00827054  0.0076472  
CFR_EX+IN  0.00308716  0.00864645  0.656865  0.00521884  0.476283  0.00266812  0.00833545  0.00564084  
A-CFR  0.0122332  0.0145367  0.558903  0.00536444  0.355928  -0.00279363  0.00483629  0.0103357  
CFR_IN  0.00373959  0.00781364  0.656677  0.00435732  0.476021  0.00390218  0.00781222  0.00504103  
A-CFR_IN  0.00796576  0.0151569  0.466498  0.00460403  0.417524  0.00311195  0.00569671  0.0105905  
BPS-CFR  0.00390145  0.0072836  0.656707  0.00494272  0.475397  0.0016122  0.00731606  0.00648278  
TIPS-CFR  0.00501189  0.00618531  0.656237  0.00131155  0.475296  0.00207221  0.00546239  0.00535018  
IPS-CFR  0.00601194  0.00684343  0.656587  0.0034134  0.475788  0.00204163  0.00797696  0.00554623  
BR  1.32942  1.35954  1.28363  1.25432  0.96327  1.10524  1.09333  1.14268  
