learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
CFR_EX+IN  19.8071  19.8813  20.1447  20.154  19.844  20.1805  20.1733  20.177  19.9172  19.933  20.1805  
CFR_IN  20.0968  20.1447  20.3555  20.3425  20.1006  20.368  20.3668  20.3646  20.149  20.1557  20.368  
A-CFR_IN  20.0755  20.154  20.3425  20.3449  20.0966  20.3472  20.3513  20.3463  20.1622  20.1904  20.3472  
BPS-CFR  19.7744  19.844  20.1006  20.0966  19.8048  20.1521  20.1381  20.1262  19.8762  19.8987  20.1521  
TIPS-CFR  20.1328  20.1805  20.368  20.3472  20.1521  20.3804  20.3841  20.377  20.1921  20.2136  20.3804  
CSPS-CFR  20.1078  20.1733  20.3668  20.3513  20.1381  20.3841  20.3909  20.3786  20.189  20.2186  20.3841  
CFPS-CFR  20.1223  20.177  20.3646  20.3463  20.1262  20.377  20.3786  20.3736  20.1816  20.1887  20.377  
CFPS-CFR_EX+IN  19.8392  19.9172  20.149  20.1622  19.8762  20.1921  20.189  20.1816  19.9531  19.9687  20.1921  
TIPS-CFR_EX+IN  19.8613  19.933  20.1557  20.1904  19.8987  20.2136  20.2186  20.1887  19.9687  19.9832  20.2136  
BEHAV-CFR  20.1328  20.1805  20.368  20.3472  20.1521  20.3804  20.3841  20.377  20.1921  20.2136  20.3804  
t = 5
CFR  20.0351  20.098  20.2997  20.3275  20.0477  20.3354  20.3417  20.3407  20.106  20.1056  20.3354  
CFR_EX+IN  20.098  20.1801  20.3536  20.3733  20.11  20.3823  20.3659  20.3804  20.1875  20.1824  20.3823  
CFR_IN  20.2997  20.3536  20.4063  20.3835  20.2997  20.4408  20.4371  20.4392  20.3536  20.355  20.4408  
A-CFR_IN  20.3275  20.3733  20.3835  20.3934  20.3287  20.402  20.4605  20.4053  20.3734  20.3721  20.3997  
BPS-CFR  20.0477  20.11  20.2997  20.3287  20.0604  20.3359  20.3423  20.3408  20.1179  20.1173  20.3359  
TIPS-CFR  20.3354  20.3823  20.4408  20.402  20.3359  20.4757  20.5108  20.4736  20.3825  20.3833  20.4757  
CSPS-CFR  20.3417  20.3659  20.4371  20.4605  20.3423  20.5108  20.5645  20.4884  20.365  20.3728  20.5108  
CFPS-CFR  20.3407  20.3804  20.4392  20.4053  20.3408  20.4736  20.4884  20.472  20.3805  20.3812  20.4736  
CFPS-CFR_EX+IN  20.106  20.1875  20.3536  20.3734  20.1179  20.3825  20.365  20.3805  20.1948  20.1896  20.3825  
TIPS-CFR_EX+IN  20.1056  20.1824  20.355  20.3721  20.1173  20.3833  20.3728  20.3812  20.1896  20.1849  20.3833  
BEHAV-CFR  20.3354  20.3823  20.4408  20.3997  20.3359  20.4757  20.5108  20.4736  20.3825  20.3833  20.4757  
t = 6
CFR  20.2608  20.3222  20.555  20.5661  20.2646  20.5591  20.5633  20.5655  20.3242  20.318  20.5591  
CFR_EX+IN  20.3222  20.3964  20.5632  20.5688  20.3248  20.5658  20.5668  20.5725  20.3989  20.3918  20.5658  
CFR_IN  20.555  20.5632  20.4731  20.4575  20.5551  20.5407  20.5192  20.5376  20.5633  20.5565  20.5407  
A-CFR_IN  20.5661  20.5688  20.4575  20.5126  20.5662  20.5248  20.5423  20.5276  20.5695  20.5628  20.5185  
BPS-CFR  20.2646  20.3248  20.5551  20.5662  20.2685  20.5601  20.5634  20.5656  20.3268  20.3208  20.5601  
TIPS-CFR  20.5591  20.5658  20.5407  20.5248  20.5601  20.6093  20.5999  20.6058  20.5664  20.5596  20.6094  
CSPS-CFR  20.5633  20.5668  20.5192  20.5423  20.5634  20.5999  20.6183  20.5993  20.568  20.5607  20.5999  
CFPS-CFR  20.5655  20.5725  20.5376  20.5276  20.5656  20.6058  20.5993  20.6022  20.5727  20.5659  20.6058  
CFPS-CFR_EX+IN  20.3242  20.3989  20.5633  20.5695  20.3268  20.5664  20.568  20.5727  20.4013  20.3942  20.5664  
TIPS-CFR_EX+IN  20.318  20.3918  20.5565  20.5628  20.3208  20.5596  20.5607  20.5659  20.3942  20.3871  20.5596  
BEHAV-CFR  20.5591  20.5658  20.5407  20.5185  20.5601  20.6106  20.5999  20.6058  20.5664  20.5596  20.6078  
t = 7
CFR  20.4372  20.4794  20.5761  20.5806  20.4391  20.5743  20.5852  20.5863  20.4806  20.4773  20.5743  
CFR_EX+IN  20.4794  20.5215  20.5766  20.5842  20.4809  20.578  20.5801  20.5923  20.5232  20.5192  20.578  
CFR_IN  20.5761  20.5766  20.5853  20.5155  20.5762  20.6033  20.6099  20.6038  20.5766  20.5734  20.6033  
A-CFR_IN  20.5806  20.5842  20.5155  20.5972  20.5806  20.6045  20.5712  20.6031  20.585  20.5799  20.6144  
BPS-CFR  20.4391  20.4809  20.5762  20.5806  20.441  20.5743  20.5853  20.5864  20.4821  20.4787  20.5743  
TIPS-CFR  20.5743  20.578  20.6033  20.6032  20.5743  20.5677  20.6219  20.623  20.5781  20.5742  20.6219  
CSPS-CFR  20.5852  20.5801  20.6099  20.5712  20.5853  20.6219  20.6221  20.622  20.5803  20.5753  20.6219  
CFPS-CFR  20.5863  20.5923  20.6038  20.6031  20.5864  20.6241  20.622  20.6222  20.5923  20.589  20.6224  
CFPS-CFR_EX+IN  20.4806  20.5232  20.5766  20.585  20.4821  20.5781  20.5803  20.5923  20.5248  20.5208  20.5781  
TIPS-CFR_EX+IN  20.4773  20.5192  20.5734  20.5799  20.4787  20.5742  20.5753  20.589  20.5208  20.5171  20.5742  
BEHAV-CFR  20.5743  20.578  20.6033  20.6094  20.5743  20.6219  20.6219  20.6222  20.5781  20.5742  20.6219  
t = 8
CFR  20.5423  20.5503  20.5871  20.5884  20.5436  20.5867  20.5964  20.5954  20.5515  20.5507  20.5867  
CFR_EX+IN  20.5503  20.5569  20.5867  20.5935  20.552  20.5863  20.5903  20.6002  20.5584  20.5578  20.5863  
CFR_IN  20.5871  20.5867  20.6216  20.5548  20.5872  20.5797  20.6354  20.6306  20.5868  20.5851  20.6268  
A-CFR_IN  20.5884  20.5935  20.5548  20.6242  20.5883  20.64  20.6202  20.6249  20.5936  20.5893  20.6371  
BPS-CFR  20.5436  20.552  20.5872  20.5883  20.5449  20.5868  20.5963  20.5955  20.5532  20.5522  20.5868  
TIPS-CFR  20.5867  20.5863  20.5797  20.64  20.5868  20.6448  20.6219  20.6412  20.5863  20.5846  20.6354  
