learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 467)  (-12.3294, 242)  (-12.3294, 259)  (-12.3294, 266)  (-12.3294, 297)  (-12.3294, 287)  (-12.3294, 287)  (-12.3294, 302)  (-12.3294, 311)  (-12.3294, 314)  (-12.3294, 327)  
CFR  (17.5415, 22)  (17.6662, 47)  (17.1727, 48)  (17.3756, 45)  (17.5659, 22)  (17.1702, 48)  (17.2882, 46)  (17.1702, 49)  (17.6941, 53)  (17.6968, 54)  (17.1677, 50)  
CFR_EX+IN  (17.673, 28)  (17.7975, 54)  (17.354, 54)  (17.5603, 52)  (17.6982, 28)  (17.3502, 54)  (17.4331, 54)  (17.3502, 57)  (17.8268, 60)  (17.8294, 61)  (17.3464, 59)  
CFR_IN  (18.2302, 27)  (18.3665, 54)  (18.3814, 54)  (18.5697, 51)  (18.257, 28)  (18.3777, 53)  (18.2875, 54)  (18.3777, 56)  (18.3984, 59)  (18.4007, 60)  (18.3739, 57)  
A-EFR_IN  (18.2447, 25)  (18.3964, 52)  (18.5697, 52)  (18.7751, 49)  (18.2711, 27)  (18.5702, 52)  (18.4497, 51)  (18.5702, 53)  (18.4278, 58)  (18.4311, 58)  (18.5707, 55)  
BPS-EFR  (17.5659, 21)  (17.6903, 46)  (17.1706, 46)  (17.376, 43)  (17.5902, 23)  (17.168, 47)  (17.2864, 46)  (17.168, 49)  (17.7182, 51)  (17.7209, 52)  (17.1655, 49)  
TIPS-EFR  (18.3052, 27)  (18.444, 54)  (18.3777, 55)  (18.5702, 51)  (18.332, 28)  (18.3739, 54)  (18.2841, 54)  (18.3739, 55)  (18.4759, 59)  (18.4781, 60)  (18.3701, 58)  
CSPS-EFR  (18.2382, 26)  (18.3729, 54)  (18.2462, 53)  (18.4703, 50)  (18.2648, 28)  (18.2425, 53)  (18.2816, 53)  (18.2425, 57)  (18.4046, 60)  (18.4068, 61)  (18.2387, 57)  
CFPS-EFR  (18.3049, 26)  (18.4435, 53)  (18.3777, 54)  (18.5702, 51)  (18.3317, 28)  (18.3739, 53)  (18.2842, 53)  (18.3739, 55)  (18.4755, 59)  (18.4777, 59)  (18.3701, 56)  
CFPS-EFR_EX+IN  (17.7027, 27)  (17.8268, 53)  (17.3521, 53)  (17.5606, 50)  (17.7279, 28)  (17.3483, 53)  (17.4316, 54)  (17.3483, 56)  (17.8562, 60)  (17.8588, 61)  (17.3446, 57)  
TIPS-EFR_EX+IN  (17.7054, 28)  (17.8294, 55)  (17.3527, 54)  (17.5612, 52)  (17.7306, 31)  (17.3489, 55)  (17.4322, 55)  (17.3489, 57)  (17.8588, 61)  (17.8614, 62)  (17.3451, 58)  
BEHAV-EFR  (18.3406, 27)  (18.4856, 55)  (18.3739, 55)  (18.5707, 52)  (18.3673, 31)  (18.3701, 55)  (18.2794, 55)  (18.3701, 58)  (18.5175, 60)  (18.5195, 61)  (18.3664, 58)  
BR  (18.826, 14)  (18.9957, 29)  (19.9766, 28)  (19.989, 27)  (18.842, 15)  (19.986, 29)  (19.7844, 29)  (19.986, 31)  (19.011, 33)  (19.0134, 33)  (19.9954, 32)  
t = 3
CFR  (19.3083, 16)  (19.3868, 49)  (19.8092, 45)  (19.9106, 41)  (19.3357, 18)  (19.815, 45)  (19.6412, 42)  (19.8134, 42)  (19.4177, 49)  (19.4192, 49)  (19.816, 45)  
CFR_EX+IN  (19.3668, 20)  (19.4464, 54)  (19.9074, 52)  (20.0066, 49)  (19.3966, 22)  (19.9131, 52)  (19.7283, 50)  (19.9114, 49)  (19.4808, 55)  (19.4821, 57)  (19.9144, 52)  
CFR_IN  (19.4996, 20)  (19.5677, 53)  (20.1059, 51)  (20.1807, 49)  (19.5358, 22)  (20.1141, 51)  (19.9118, 49)  (20.1103, 50)  (19.6175, 54)  (19.6196, 56)  (20.1203, 54)  
