learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  2.14162e-05  -0.000108628  0.000146176  0.000221326  -1.34291e-05  0.000412451  2.26707e-05  0.00024536  
CFR_EX+IN  2.14162e-05  -0.000108628  0.000146176  0.000221326  -1.4294e-05  0.000413651  2.26707e-05  0.00024536  
A-CFR  -0.00118938  -3.97136e-05  0.000145694  0.00022165  -3.744e-07  0.000428403  -0.000210026  0.000249008  
CFR_IN  2.14162e-05  -0.000108628  0.000146176  0.000221326  -1.4294e-05  0.000413651  2.26707e-05  0.00024536  
A-CFR_IN  2.05576e-05  -3.97136e-05  0.000146823  0.00022165  -1.2393e-06  0.000427648  -0.000210026  0.000241924  
BPS-CFR  2.09269e-05  -0.000110335  0.0001467  0.000221699  -1.11037e-05  0.000420314  1.16664e-05  0.000238859  
TIPS-CFR  2.09269e-05  -0.000109763  0.0001467  0.000221651  -1.16418e-05  0.000422507  1.13251e-05  0.000238208  
IPS-CFR  2.09269e-05  -0.000109763  0.0001467  0.000221651  -1.16418e-05  0.000422507  1.13251e-05  0.000238208  
BR  0.117483  0.135999  0.118115  0.126599  0.15093  0.147746  0.152243  0.151754  
