learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  20.5007  20.4541  20.4078  20.3416  20.3352  20.4135  20.3422  20.4364  
CFR_EX+IN  20.4079  20.5455  20.4107  20.3447  20.3384  20.4163  20.3453  20.4393  
A-CFR  20.4052  20.4544  20.5045  20.342  20.3356  20.4137  20.3426  20.4367  
CFR_IN  20.4368  20.485  20.4386  20.4504  20.3694  20.4444  20.3774  20.4675  
A-CFR_IN  20.4368  20.4855  20.4386  20.3756  20.4351  20.4445  20.3774  20.4675  
BPS-CFR  20.4049  20.4541  20.4079  20.3416  20.3353  20.5019  20.3422  20.4364  
TIPS-CFR  20.4368  20.4854  20.4386  20.3756  20.3694  20.4445  20.4518  20.4678  
IPS-CFR  20.4077  20.4567  20.4106  20.3446  20.3383  20.4162  20.3451  20.5274  
BR  20.5908  20.6324  20.5931  20.5255  20.5191  20.5914  20.5269  20.6142  
