learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  
CFR  1.22732e-18  0.00388312  0.509551  0.0146432  0.711705  0.00439044  0.00545877  0.00190375  
CFR_EX+IN  0.00457745  1.65319e-17  0.509158  0.0137995  0.71182  0.00448196  0.00601333  0.0020604  
A-CFR  0.0120635  0.00570627  -3.97699e-19  0.0167174  0.704627  0.00422631  0.00596784  0.00208016  
CFR_IN  0.00565246  0.00172049  0.509994  -1.0918e-05  0.712714  0.00477358  0.00303434  0.00211138  
A-CFR_IN  0.00821872  0.00588575  0.510738  0.0104053  -7.8962e-06  -0.00354821  0.00305672  0.000144721  
BPS-CFR  0.00434886  0.00309463  0.509488  0.0148029  0.711567  1.91741e-17  0.00395412  0.00108262  
TIPS-CFR  0.0038205  0.00135226  0.508666  0.0164312  0.712276  0.00261945  -5.97632e-06  0.00286555  
IPS-CFR  0.00336963  0.00279416  0.509142  0.0136024  0.711748  0.0027724  0.00500617  -5.02317e-06  
BR  0.644742  0.635608  0.707205  0.701852  0.810694  0.612348  0.607127  0.560176  
