learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.4917e-17  0.000210774  0.0581513  0.0546393  0.199151  0.39379  0.000222964  0.000197286  0.060054  0.0554006  
CFR+  -0.00145609  -1.71805e-17  0.0568064  0.05427  0.197842  0.386845  -0.00148125  -1.28152e-05  0.0583275  0.0548729  
A-CFR  -0.0220058  -0.00869743  1.96268e-17  -0.000889477  0.152267  0.337982  -0.0244834  -0.00740057  -0.0163785  -0.000806646  
A-CFR+  -0.0235513  -0.00887524  0.0341832  2.40294e-17  0.15105  0.330163  -0.0261977  -0.00758301  -0.0176289  -0.00115423  
PGPI(0.1/U)  -0.0645371  -0.0562055  -0.0779429  -0.0751466  2.95826e-17  0.222855  -0.0652602  -0.0558102  -0.0804114  -0.0749345  
PI  -0.0503354  -0.00221672  -0.0134225  0.0444325  0.174892  2.42215e-17  -0.0150987  -0.00132917  0.0313226  0.0507501  
CFR_IN  0.000140368  0.000210774  0.0581513  0.0546393  0.199151  0.39379  1.93497e-16  0.000197286  0.060054  0.0554006  
CFR+_IN  -0.00145609  2.25453e-05  0.0568064  0.05427  0.197842  0.386845  -0.00148136  9.86327e-17  0.0583275  0.0548729  
A-CFR_IN  -0.0220058  -0.00869743  -0.00544643  -0.000889477  0.152267  0.337986  -0.0244834  -0.00740057  1.89801e-16  -0.000806646  
A-CFR+_IN  -0.0235513  -0.00887524  0.0341832  -0.00111213  0.15105  0.330164  -0.0261977  -0.00758301  -0.0176289  9.06367e-17  
BR  0.117483  0.0080749  0.196108  0.107031  0.232868  0.692444  0.126599  0.00912043  0.19917  0.107251  
