learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -9.40545e-19  0.0385648  0.520184  0.520184  0.770765  0.96546  0.0815844  0.0647662  0.522087  0.740347  
CFR+  0.000149221  -4.0766e-19  0.510747  0.510747  0.770765  0.962039  0.0236322  0.0275982  0.512491  0.732292  
A-CFR  -0.203533  -0.0188478  6.93889e-20  0.509943  0.756844  0.942893  -0.101931  -0.157306  0.511445  0.511324  
A-CFR+  -0.289593  -0.114441  0.489267  6.93889e-20  0.762011  0.947295  -0.236542  -0.259132  0.49411  0.493986  
PGPI(0.1/U)  -0.416918  -0.430894  -0.490617  -0.490617  -1.11022e-18  0.431277  -0.38505  -0.415303  -0.49649  -0.502851  
PI  -0.0279171  -0.0445553  0.510806  0.510806  0.772033  0  -0.0696539  -0.0545931  0.518155  0.736558  
CFR_IN  0.0282917  0.0371678  0.521647  0.521647  0.771771  0.957224  1.1117e-16  0.0712794  0.523572  0.742128  
CFR+_IN  -0.0325847  -0.0161986  0.507166  0.507166  0.771851  0.951471  0.0028509  1.82259e-16  0.509247  0.728472  
A-CFR_IN  -0.222525  -0.0293278  0.507407  0.507407  0.749381  0.901909  -0.134612  -0.278432  3.75244e-18  0.509761  
A-CFR+_IN  -0.301005  -0.18109  0.476872  0.476872  0.76735  0.926188  -0.291642  -0.298367  0.477751  4.1251e-17  
BR  0.906274  0.558614  0.544248  0.544248  0.780213  0.99775  0.93665  0.565617  0.544  0.768583  
