learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -9.40545e-19  0.0127033  0.519965  0.519965  0.770886  0.963062  0.0925717  0.0682886  0.522087  0.739223  
CFR+  -0.0149556  -4.0766e-19  0.507054  0.507054  0.770886  0.960024  0.0364036  0.045715  0.512469  0.732036  
A-CFR  -0.0759143  -0.103959  6.93889e-20  0.509943  0.754491  0.943278  -0.151807  -0.00914607  0.511445  0.511324  
A-CFR+  -0.247828  -0.138417  0.489291  6.93889e-20  0.762106  0.939097  -0.242166  -0.0981885  0.494116  0.493957  
PGPI(0.1/U)  -0.416937  -0.430894  -0.490627  -0.490627  -1.11022e-18  0.431328  -0.385054  -0.415303  -0.496498  -0.502858  
PI  -0.171468  -0.0354089  0.510806  0.510806  0.772202  0  -0.0775096  -0.00237702  0.518155  0.736558  
CFR_IN  -0.0321508  0.00101969  0.521427  0.521427  0.771937  0.958629  1.1117e-16  0.0685105  0.523572  0.742462  
CFR+_IN  -0.0450552  -0.01901  0.501535  0.501535  0.772015  0.956841  0.0175611  1.82259e-16  0.509041  0.729352  
A-CFR_IN  -0.166114  -0.120644  0.507407  0.507407  0.751414  0.900771  -0.144377  -0.2166  3.75244e-18  0.509761  
A-CFR+_IN  -0.298047  -0.227396  0.476712  0.476712  0.767637  0.936173  -0.288485  -0.281569  0.477765  4.1251e-17  
BR  0.906274  0.558614  0.544248  0.544248  0.780213  0.99775  0.93665  0.565617  0.544  0.768583  
