learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -1.90993e-18  0.0164923  0.579204  0.607727  2.18419  1.74034  0.0096316  0.021612  0.499647  0.0396441  
CFR+  -0.0352371  1.83534e-18  0.513315  0.581657  2.11069  1.62945  -0.030755  0.0042288  0.442843  0.0160839  
A-CFR  0.00984745  0.0168978  -5.79398e-19  0.429637  2.18277  1.48401  0.00663221  0.0216484  0.463148  0.0268002  
A-CFR+  -0.03493  -0.00159513  0.496541  -6.07153e-20  2.09637  1.57618  -0.0343248  0.00336261  0.417876  0.013396  
PGPI(10000/U)  0.00636878  -0.00684062  0.0221022  0.244516  -2.00118e-17  1.02592  -0.0283481  0.00150443  0.17689  0.0057997  
PI  -0.394677  -0.097257  0.00550426  0.449634  1.81416  0  -0.277128  -0.0803484  0.0708261  -0.0760108  
CFR_IN  0.00317664  0.0150268  0.578884  0.607391  2.18493  1.74195  4.04923e-17  0.0200344  0.49955  0.0389246  
CFR+_IN  -0.0391129  -0.00162286  0.504754  0.576548  2.10517  1.62285  -0.0323608  3.78864e-17  0.436135  0.0149525  
A-CFR_IN  0.0148569  0.00915728  0.576605  0.428816  2.18331  1.57241  0.0014744  0.0206527  3.84762e-17  0.0296597  
A-CFR+_IN  -0.0369863  -0.00308457  0.481945  0.547471  1.79534  1.57044  -0.0353672  0.0021338  0.412894  3.3501e-17  
BR  1.32557  0.347403  1.30758  0.853666  2.48966  3.14389  1.29646  0.378623  1.02976  0.477513  
