learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFR_IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
A-CFR_IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
TIPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CSPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFPS-CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
TIPS-CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BR  1.14788  1.14788  1.14788  1.14788  1.14788  1.14788  1.14788  1.14788  1.14788  1.14788  
t = 1
CFR  0.085297  0.0811796  0.0518386  0.0518386  0.085297  0.0518386  0.0831959  0.0518386  0.0811796  0.0811796  
CFR_EX+IN  0.0882907  0.0842097  0.0553866  0.0553866  0.0882907  0.0553866  0.0862069  0.0553866  0.0842097  0.0842097  
CFR_IN  0.0883456  0.0844287  0.06  0.06  0.0883456  0.06  0.0863257  0.06  0.0844287  0.0844287  
A-CFR_IN  0.0883456  0.0844287  0.06  0.06  0.0883456  0.06  0.0863257  0.06  0.0844287  0.0844287  
BPS-CFR  0.085297  0.0811796  0.0518386  0.0518386  0.085297  0.0518386  0.0831959  0.0518386  0.0811796  0.0811796  
TIPS-CFR  0.0883456  0.0844287  0.06  0.06  0.0883456  0.06  0.0863257  0.06  0.0844287  0.0844287  
CSPS-CFR  0.08684  0.0827492  0.053743  0.053743  0.08684  0.053743  0.0847527  0.053743  0.0827492  0.0827492  
CFPS-CFR  0.0883456  0.0844287  0.06  0.06  0.0883456  0.06  0.0863257  0.06  0.0844287  0.0844287  
CFPS-CFR_EX+IN  0.0882907  0.0842097  0.0553866  0.0553866  0.0882907  0.0553866  0.0862069  0.0553866  0.0842097  0.0842097  
TIPS-CFR_EX+IN  0.0882907  0.0842097  0.0553866  0.0553866  0.0882907  0.0553866  0.0862069  0.0553866  0.0842097  0.0842097  
BR  0.199384  0.202024  0.24  0.24  0.199384  0.24  0.200584  0.24  0.202024  0.202024  
t = 2
CFR  0.142699  0.163871  0.118436  0.118309  0.161361  0.118342  0.165774  0.118342  0.187997  0.188701  
CFR_EX+IN  0.1426  0.162503  0.131717  0.132064  0.159924  0.131853  0.164146  0.131853  0.185552  0.18622  
CFR_IN  0.141967  0.158667  0.153964  0.155937  0.155995  0.15489  0.160521  0.15489  0.179473  0.180062  
A-CFR_IN  0.178591  0.217614  0.158013  0.159859  0.199025  0.158874  0.2158  0.158874  0.241422  0.242209  
BPS-CFR  0.141673  0.161578  0.126884  0.126801  0.158952  0.126809  0.1631  0.126809  0.184472  0.185137  
