learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR_EX+IN  0.555649  0.463423  0.265447  0.214979  0.344018  0.27534  0.38996  0.27594  0.540779  0.523732  
TIPS-CFR_EX+IN  0.560525  0.467546  0.265447  0.21491  0.342661  0.27534  0.362639  0.27594  0.547915  0.53089  
t = 5
CFR  0.3391  0.333034  0.345864  0.310491  0.0354576  0.32688  0.0135066  0.327983  0.502666  0.502232  
CFR_EX+IN  0.273443  0.351788  0.315919  0.400764  0.00920558  0.28468  0.315862  0.28743  0.359095  0.339074  
CFR_IN  1.63502  1.62485  0.182928  0.100769  1.61495  0.18021  1.62457  0.18021  1.62796  1.62811  
A-CFR_IN  0.0936234  -0.0438521  0.245201  0.16965  0.0488002  0.282041  -0.0753296  0.18553  0.49514  0.495177  
BPS-CFR  0.640342  0.755679  0.309994  0.299817  0.381184  0.269621  0.320668  0.272358  0.211983  0.199243  
TIPS-CFR  1.53967  1.53322  0.18286  0.0769805  1.55324  0.180322  1.55039  0.180322  1.56372  1.56377  
CSPS-CFR  0.690149  0.371877  0.313686  0.432158  0.301307  0.281085  0.329598  0.283777  0.184805  0.147789  
CFPS-CFR  1.54654  1.53678  0.18286  0.167298  1.55732  0.180322  1.55449  0.180323  1.56552  1.56557  
CFPS-CFR_EX+IN  0.607772  0.41977  0.29923  0.0255917  0.973983  0.26317  0.994594  0.265679  0.359699  0.381329  
TIPS-CFR_EX+IN  0.622273  0.936997  0.298857  0.0249117  0.992745  0.263072  1.03358  0.265579  0.343683  0.366294  
t = 6
CFR  0.331247  0.19681  0.229584  0.0556918  0.476114  0.245496  0.505673  0.245615  0.290737  0.262364  
CFR_EX+IN  0.259645  0.262318  0.227129  0.00285239  0.534247  0.226955  0.249348  0.227161  0.241319  0.541433  
CFR_IN  2.03421  2.00251  0.122799  0.110745  2.06374  0.132446  2.04397  0.128062  2.0387  2.0413  
A-CFR_IN  0.607253  0.65543  0.123952  0.112132  0.579643  0.12836  0.741738  0.110178  -0.00966218  -0.0145112  
BPS-CFR  0.132585  0.110305  0.224711  0.164923  0.313521  0.233035  0.244836  0.232888  0.677882  0.669754  
TIPS-CFR  1.82534  1.8635  0.112004  0.106045  1.91838  0.122561  1.9068  0.117998  1.94035  1.94058  
CSPS-CFR  0.131057  0.293692  0.226551  -0.00655963  0.268046  0.225451  0.275915  0.225628  0.655317  0.505042  
CFPS-CFR  1.84042  1.86906  0.116337  0.112492  1.92815  0.12704  1.91602  0.122477  1.94581  1.94602  
CFPS-CFR_EX+IN  0.526005  0.421627  0.212121  0.258511  0.63639  0.210001  0.696079  0.211597  0.470389  0.443313  
TIPS-CFR_EX+IN  0.569043  0.856539  0.212258  0.258798  0.645403  0.210048  0.669126  0.211643  0.477946  0.451668  
t = 7
CFR  0.234459  0.182309  0.315442  0.197594  0.373345  0.308923  0.395495  0.313244  0.312611  0.321899  
CFR_EX+IN  0.261581  0.242196  0.305837  0.0248365  0.500387  0.306062  0.32652  0.307106  0.258391  0.769226  
CFR_IN  2.56625  2.49874  0.0857783  0.0815512  2.60843  0.0812442  2.57207  0.0783178  2.57998  2.59436  
A-CFR_IN  0.392831  0.430289  0.0795314  0.0797015  0.519888  -0.0312626  0.476631  0.0925861  0.0373626  0.0383002  
BPS-CFR  0.156733  0.136293  0.301395  0.163187  0.278638  0.29889  0.119367  0.301164  0.895492  0.898467  
TIPS-CFR  2.18643  2.24301  0.0882687  0.0814921  2.32533  0.0838935  2.30321  0.0810311  2.36572  2.3669  
CSPS-CFR  0.162082  0.138215  0.307789  0.0061055  0.330727  0.306213  0.227205  0.308206  0.867617  1.13054  
CFPS-CFR  2.22016  2.24333  0.0910777  0.0701117  2.33997  0.0866718  2.3168  0.0837897  2.37477  2.3759  
CFPS-CFR_EX+IN  0.398729  0.306999  0.298936  0.209462  0.20018  0.298582  0.207059  0.300706  0.251002  0.250536  
TIPS-CFR_EX+IN  0.400529  0.29464  0.300512  0.216597  0.20431  0.298782  0.274144  0.300906  0.252804  0.251677  
t = 8
CFR  0.223911  0.361688  0.355357  0.267963  0.664747  0.33983  0.530935  0.341385  0.251817  0.341463  
CFR_EX+IN  0.0116226  0.289972  0.355982  0.176429  0.339114  0.345971  0.632412  0.351816  0.71563  0.771288  
CFR_IN  3.41399  3.44353  0.0842918  0.0340816  3.58419  0.0625737  3.54069  0.0559306  3.46793  3.52598  
A-CFR_IN  0.0484735  -0.0956669  0.0898792  0.0766175  0.146645  0.10766  -0.0529152  0.0921719  -0.360052  -0.357287  
BPS-CFR  -0.141539  0.0745657  0.346414  0.18148  0.166393  0.343682  0.168871  0.346884  0.223133  0.265036  
TIPS-CFR  3.03316  3.02932  0.0968038  0.0283822  3.1288  0.0767141  3.11973  0.0718773  3.07003  3.0762  
CSPS-CFR  -0.0897226  0.100109  0.354227  0.214381  0.148321  0.342849  0.160816  0.345195  0.227307  0.667953  
CFPS-CFR  3.05047  2.97946  0.104447  0.0627761  3.13883  0.0822585  3.12915  0.0774118  3.07718  3.08286  
CFPS-CFR_EX+IN  0.359068  -0.0147615  0.359204  0.482802  0.735322  0.356245  0.739275  0.358539  0.263184  0.254763  
TIPS-CFR_EX+IN  0.275747  0.271684  0.355889  0.479314  0.773741  0.356091  0.757354  0.358404  0.263675  0.245017  
t = 9
CFR  0.16305  0.257018  0.942335  0.143557  0.126011  0.719769  0.201085  0.730962  0.726721  0.756615  
CFR_EX+IN  0.139933  0.17742  0.937734  0.0968812  0.0927551  0.714326  0.415911  0.719075  0.651958  0.398386  
CFR_IN  1.57892  1.62197  0.1  0.0199766  1.07456  0.0882101  1.0678  0.0881376  1.32483  1.27309  
A-CFR_IN  -0.0647567  -0.224123  0.161896  0.0790867  -0.295651  0.142896  -0.235369  0.0929181  -0.401935  -0.395878  
BPS-CFR  0.226424  0.226655  0.965032  0.32081  0.140994  0.843994  0.20865  0.865303  0.23423  0.672751  
TIPS-CFR  2.40785  2.85576  0.109825  0.0323341  1.39629  0.0902424  1.30227  0.0727917  3.06863  3.06942  
CSPS-CFR  0.186842  0.412965  0.957546  0.140778  0.106465  0.873288  0.162575  0.880424  0.356832  1.02642  
CFPS-CFR  2.37065  2.86383  0.109885  0.0760772  1.38556  0.111246  1.30097  0.0937591  3.07376  3.07455  
CFPS-CFR_EX+IN  -0.156398  0.296996  0.985067  0.257381  0.731741  0.701863  0.736648  0.709749  0.260213  0.260258  
TIPS-CFR_EX+IN  -0.204594  0.854519  0.99186  0.238363  0.815745  0.701904  0.589904  0.709784  0.222986  0.217975  
t = 10
CFR  0.135422  0.146781  0.705761  0.104935  0.0680708  0.953146  0.0770113  0.959044  0.502561  0.650545  
CFR_EX+IN  0.234224  0.443754  0.737968  0.0368308  0.102907  0.826458  0.543883  0.835146  0.503806  1.51898  
CFR_IN  1.10301  1.16383  0.109444  0.109181  0.734203  0.10157  0.690046  0.106325  1.16992  1.17889  
