learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
BPS-CFR  0.469005  0.48603  0.151241  0.173179  0.494204  0.15089  0.548847  0.150881  0.296262  0.284905  
TIPS-CFR  0.575405  0.364775  0.105826  0.0905417  0.503343  0.0929109  0.528883  0.0929005  0.321043  0.318914  
CSPS-CFR  0.472632  0.490538  0.135422  0.147757  0.378406  0.128033  0.429255  0.128022  0.301987  0.290814  
CFPS-CFR  0.560396  0.333727  0.10583  0.0905435  0.676454  0.0929166  0.71609  0.0929062  0.309177  0.310509  
CFPS-CFR_EX+IN  0.485275  0.476304  0.140781  0.143956  0.488721  0.124788  0.546033  0.124775  0.303208  0.295639  
TIPS-CFR_EX+IN  0.490104  0.500924  0.140666  0.143609  0.349661  0.124737  0.40167  0.124725  0.312066  0.302106  
BR  0.974953  1.2557  0.556631  0.545471  1.41484  0.554881  1.07111  0.554901  1.12476  0.662113  
t = 5
CFR  0.3236  0.294969  0.150164  0.23317  0.201686  0.248284  0.231977  0.247661  0.124641  0.164687  
CFR_EX+IN  0.3263  0.296119  0.141441  0.207254  0.217691  0.221587  0.241157  0.221541  0.12122  0.170188  
CFR_IN  0.262037  0.242728  0.0772703  0.0644367  0.673063  0.0822165  0.216749  0.0818033  0.142668  0.196133  
A-CFR_IN  0.476487  0.404067  0.073664  0.075882  0.243682  0.0953522  0.238132  0.0923688  0.367032  0.289985  
BPS-CFR  0.337336  0.390884  0.156087  0.233043  0.330416  0.248098  0.252884  0.24746  0.230668  0.238148  
TIPS-CFR  0.465045  0.427946  0.0755396  0.0685935  0.762476  0.0829006  0.20589  0.0825628  0.528678  0.245723  
CSPS-CFR  0.32856  0.37727  0.135512  0.205891  0.415034  0.219832  0.247694  0.219814  0.29019  0.169899  
CFPS-CFR  0.401071  0.41705  0.075537  0.068733  0.670595  0.0834369  0.215056  0.083099  0.529179  0.283976  
CFPS-CFR_EX+IN  0.345578  0.393155  0.139551  0.204023  0.347862  0.21779  0.257334  0.217831  0.245824  0.249879  
TIPS-CFR_EX+IN  0.316769  0.388709  0.139444  0.20389  0.437195  0.21775  0.252601  0.217789  0.255303  0.2115  
BR  0.765307  0.674664  0.511759  0.448507  2.01993  0.548537  0.616046  0.548085  1.95237  0.855342  
t = 6
CFR  0.216573  0.193131  0.167351  0.0168877  0.321958  0.183323  0.219967  0.178032  0.286618  0.236978  
