learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
BEHAV-CFR  -0.117919  -0.141732  0.299979  0.300607  -0.143527  0.300607  0.460225  0.300288  -0.160318  -0.180826  0.300607  
t = 4
CFR  0.125573  0.110579  0.134952  -0.0246631  0.113128  0.0751459  0.133644  0.117377  0.142092  0.143056  0.0698727  
CFR_EX+IN  0.148888  0.124018  0.159796  -0.0169236  0.152605  0.0904707  0.155778  0.139719  0.12217  0.115942  0.0912555  
CFR_IN  0.53554  0.553182  0.158804  0.180789  0.547489  0.158652  0.0137857  0.158677  0.558379  0.497795  0.158652  
A-CFR_IN  0.457304  0.511249  0.132665  0.151233  0.429558  0.158184  0.158185  0.158137  0.469305  0.474736  0.158184  
BPS-CFR  0.143307  0.227113  0.150865  0.0571538  0.131817  0.091126  0.157662  0.134662  0.122099  0.11605  0.0875796  
TIPS-CFR  0.575579  0.589314  0.15815  0.158095  0.583622  0.158149  0.134661  0.158108  0.594949  0.534737  0.158149  
CSPS-CFR  0.561056  0.574598  0.371865  0.158158  0.568509  0.0889551  0.145919  0.371626  0.579978  0.519458  0.228369  
CFPS-CFR  0.551907  0.567653  0.158498  0.158374  0.562326  0.158421  0.0135305  0.158413  0.572894  0.514828  0.158421  
CFPS-CFR_EX+IN  0.237995  0.126448  0.179808  -0.0253366  0.128601  0.101824  0.171541  0.157437  0.125191  0.118986  0.103505  
TIPS-CFR_EX+IN  0.282336  0.135936  0.105137  -0.0658635  0.136314  0.101115  0.0746976  0.100132  0.134914  0.130005  0.0913532  
BEHAV-CFR  0.578295  0.588789  0.15815  0.158095  0.586222  0.158149  0.0756893  0.158108  0.594345  0.535285  0.158149  
t = 5
CFR  0.155419  0.100823  0.14083  0.31272  0.091471  0.258262  0.13288  0.138793  0.159796  0.15829  0.268402  
CFR_EX+IN  0.220933  0.121208  0.238922  0.363076  0.190227  0.251055  0.122021  0.126934  0.10698  0.108128  0.137296  
CFR_IN  0.706265  0.722926  0.0897478  0.0754821  0.713406  0.0758099  0.228572  0.0819138  0.72418  0.637819  0.075808  
A-CFR_IN  -0.105039  -0.149038  0.105948  0.0911676  -0.0647652  0.08592  0.0884927  0.0973624  -0.00660947  0.0265466  0.0859178  
BPS-CFR  0.222117  0.238678  0.128847  0.299354  0.16229  0.291945  0.121376  0.12666  0.119489  0.117414  0.295548  
TIPS-CFR  0.322267  0.632606  0.105354  0.0887906  0.37044  0.0873047  0.0221504  0.097682  0.53851  0.665824  0.0873024  
CSPS-CFR  0.746271  0.760573  -0.0125066  0.0878107  0.748405  0.190105  0.165837  -0.0116363  0.760279  0.689537  0.117924  
CFPS-CFR  0.722426  0.745816  0.0978195  0.0812728  0.728405  0.0794852  0.224448  0.089022  0.747527  0.67699  0.0794832  
CFPS-CFR_EX+IN  0.374661  0.141513  0.234037  0.250604  0.12684  0.261031  0.115489  0.120401  0.123163  0.113334  0.258518  
TIPS-CFR_EX+IN  0.38272  0.164532  -0.0287172  0.253031  0.159523  -0.0235756  -0.00221868  -0.00162694  0.152111  0.133216  -0.0269276  
BEHAV-CFR  0.306176  0.715629  0.105355  0.0887927  0.361269  0.0873067  0.0871467  0.0976838  0.563483  0.669023  0.0873044  
t = 6
CFR  0.168843  0.189645  0.366743  0.037062  0.187806  0.350286  0.165467  0.202509  0.163427  0.142475  0.350456  
CFR_EX+IN  0.183036  0.130479  0.174868  -0.0887261  0.188243  0.149782  0.153846  0.159189  0.154415  0.170398  0.333649  
CFR_IN  0.190668  0.677681  0.0805305  0.0654173  0.178827  0.0622817  -0.0599936  0.0709228  0.535171  0.298803  0.062267  
A-CFR_IN  0.226222  0.376948  0.0951529  0.0802681  0.227176  0.0843436  0.0797528  0.0920026  -0.039111  0.0589324  0.0842948  
BPS-CFR  0.179649  0.340973  0.346318  0.0291424  0.197424  -0.0873713  0.151022  0.154261  0.134037  0.184978  -0.101405  
TIPS-CFR  0.165257  0.0158692  0.099117  0.0800776  0.582868  0.0823084  0.172595  0.0906769  0.550247  0.269303  0.0822597  
CSPS-CFR  0.795972  0.813613  0.13396  0.0845556  0.791488  -0.0168153  0.106684  0.137684  0.809799  0.310241  0.100911  
CFPS-CFR  0.0441583  0.0572225  0.0904457  0.0704819  0.0051102  0.0719992  -0.0747886  0.0809573  0.0479741  0.287755  0.0719688  
CFPS-CFR_EX+IN  0.406989  0.174623  0.159356  0.166326  0.134897  -0.0810201  0.144713  0.146408  0.128394  0.264279  -0.0550829  
TIPS-CFR_EX+IN  0.432854  0.214652  0.0915161  0.143293  0.195901  0.104488  0.104214  0.114068  0.0884473  0.116022  0.101917  
BEHAV-CFR  0.1746  0.215181  0.0991239  0.0800971  0.591668  0.082328  0.0379724  0.0906899  0.456577  0.272069  0.0822792  
t = 7
CFR  0.186211  0.553222  -0.0830349  0.0704396  0.547658  -0.0371636  0.419965  -0.138035  0.275949  0.407941  0.0853362  
CFR_EX+IN  -0.189316  -0.0806126  0.318379  0.044195  0.0899378  -0.189372  0.295166  -0.173441  0.0351485  0.178114  0.0528551  
CFR_IN  0.505473  0.720096  0.0643919  0.035613  0.522117  0.0370094  0.0174005  0.048545  0.703569  0.178272  0.0370004  
A-CFR_IN  0.143674  0.304571  0.0737125  0.0519423  0.0299922  0.0558636  0.0635381  0.0626569  0.137997  0.0898458  0.0558236  
BPS-CFR  -0.170897  0.393764  -0.0807552  0.064823  0.132856  -0.171349  0.290726  -0.121808  -0.0902132  0.0972236  -0.19807  
TIPS-CFR  0.380384  0.607328  0.0741444  0.0601768  0.583943  0.0543279  0.0368353  0.0613191  0.629976  0.14646  0.0542895  
CSPS-CFR  0.122169  0.292492  0.0597981  0.063592  0.294441  -0.0100086  -0.0548822  0.0311712  0.272821  0.181017  0.0776246  
CFPS-CFR  0.53522  0.594278  0.0724068  0.0493215  0.560839  0.0466779  0.0270949  0.057217  0.59236  0.149321  0.0466561  
CFPS-CFR_EX+IN  0.219682  -0.124765  0.319852  0.0359227  -0.0709395  -0.193805  0.281841  -0.146329  -0.056568  0.0739788  -0.218525  
TIPS-CFR_EX+IN  0.0106513  -0.117387  0.131179  0.015176  -0.0948542  0.152665  0.162536  0.174578  -0.0639625  0.0865622  0.145697  
BEHAV-CFR  0.191902  0.238341  0.0741523  0.0602141  0.598431  0.0543619  0.0726307  0.0613382  0.643334  0.15972  0.0543235  
t = 8
CFR  0.142729  -0.0195085  0.111919  0.136005  0.00786648  0.14752  0.450885  0.217535  0.430762  0.360628  0.0773458  
CFR_EX+IN  0.292852  -0.0535275  0.426206  0.191527  0.0839702  0.206014  0.492068  0.216948  0.00183939  -0.00214168  0.130829  
CFR_IN  0.140139  0.433394  0.0931493  0.0369898  0.499247  0.0387604  -0.0259098  0.0514445  0.482494  -0.0910429  0.0387505  
A-CFR_IN  0.0680538  0.15905  0.13747  0.0797432  -0.0580916  0.0792898  0.0745495  0.0988679  0.158647  0.105365  0.0792426  
BPS-CFR  0.235674  0.0713598  -0.117085  0.12707  0.0958473  0.230589  0.474595  0.15445  -0.0381966  0.00206541  0.23942  
TIPS-CFR  0.0788983  -0.0182842  0.135646  0.0775996  -0.06599  0.0794695  0.0562545  0.0976449  -0.0889856  -0.0260882  0.0794256  
CSPS-CFR  -0.136491  -0.140156  0.185734  0.0778141  -0.0987212  0.105761  0.0200526  0.117284  0.0712606  0.0170627  0.062934  
CFPS-CFR  -0.0178839  -0.0278214  0.12758  0.0668623  0.057376  0.0685033  0.03061  0.0856844  -0.000799532  0.2621  0.0684786  
CFPS-CFR_EX+IN  -0.0117673  -0.096077  0.381108  0.000713663  -0.0704812  0.24097  0.152882  0.183959  0.0124894  0.0631506  0.246784  
TIPS-CFR_EX+IN  0.0309398  -0.0141756  0.353514  0.0579642  -0.0234284  0.401899  0.492421  0.163162  0.0621084  0.052151  0.470088  
BEHAV-CFR  0.143706  0.0833767  0.135654  0.0776396  -0.0740454  0.0795075  0.0697451  0.0976667  -0.0912753  -0.0312651  0.0794635  
t = 9
CFR  0.0984355  -0.00475206  0.177171  0.214198  -0.00476629  0.0911687  0.041291  0.240394  0.140447  0.0443029  0.0708453  
CFR_EX+IN  0.258491  0.0310459  0.305615  0.306235  0.144038  0.255459  0.110571  0.268611  -0.0190013  0.0330045  0.144379  
CFR_IN  0.0241525  0.00116739  0.1  0.0343321  -0.087336  0.037781  -0.01882  0.1  0.0745891  0.00686252  0.0377572  
A-CFR_IN  -0.0462459  -0.0106492  0.156348  0.0899247  -0.123844  0.0949848  0.0851548  0.155413  0.135905  0.0757081  0.0948841  
BPS-CFR  0.257472  -0.154637  0.229038  0.25516  0.081976  0.281011  0.110851  0.26707  0.0157074  0.0344808  0.290438  
TIPS-CFR  0.164439  -0.0749198  0.153427  0.0867392  -0.106103  0.090215  -0.000355853  0.155478  -0.126033  0.104907  0.0901304  
CSPS-CFR  0.149736  0.0894079  0.201403  0.0967363  0.0891277  0.180584  0.0706296  0.207317  0.113318  0.111605  0.138165  
CFPS-CFR  -0.0494101  -0.0789162  0.1  0.035464  -0.0780147  0.0353873  -0.024119  0.1  -0.0891861  0.00902413  0.0353322  
CFPS-CFR_EX+IN  0.216504  0.0749623  0.390895  0.00551439  0.00649513  0.29158  0.104705  0.277718  0.0388996  0.083483  0.296757  
TIPS-CFR_EX+IN  0.253492  0.138118  0.579472  0.109283  0.111843  0.46826  0.465317  0.593057  0.0595706  -0.0464787  0.447121  
BEHAV-CFR  0.219098  0.0462921  0.153447  0.0868262  -0.121993  0.0902866  0.043734  0.155525  -0.132811  0.113053  0.090202  
t = 10
CFR  0.081174  0.0376626  0.195476  0.328251  0.0366018  0.0660713  0.0966667  0.0787495  -0.0261766  -0.0325974  0.0593127  
CFR_EX+IN  0.175079  0.0585483  0.136978  0.361979  0.088945  0.162422  0.0641763  0.0791614  0.0178882  0.0177824  0.183288  
CFR_IN  -0.0422125  -0.036333  0.1  0.1  -0.135054  0.1  0.1  0.1  -0.0626051  0.112393  0.1  
A-CFR_IN  -0.173606  -0.146872  0.1  0.1  -0.193722  0.1  0.1  0.1  0.0880276  0.120276  0.1  
BPS-CFR  0.170987  -0.0413783  0.279037  0.346931  0.075  0.215096  0.0575519  0.0557204  0.025329  0.0114548  0.218173  
TIPS-CFR  0.237603  0.0101366  0.1  0.1  -0.0483288  0.1  0.0991704  0.1  -0.0665924  0.16573  0.1  
CSPS-CFR  0.304507  0.304918  0.1  0.1  0.264019  0.100745  0.1  0.1  0.103016  0.163887  0.1  
CFPS-CFR  0.0654254  0.0473195  0.1  0.1  0.0402056  0.1  0.1  0.1  0.0274463  0.0590992  0.1  
CFPS-CFR_EX+IN  0.386291  0.0966186  0.196423  0.105066  0.050512  0.229436  0.131976  0.0796261  0.0297152  0.0116514  0.229876  
TIPS-CFR_EX+IN  0.396003  0.185363  0.397311  0.0775607  0.156224  0.26161  0.264947  0.495156  0.0207519  -0.15321  0.247295  
BEHAV-CFR  0.266565  -0.0605976  0.1  0.1  -0.0496437  0.1  0.1  0.1  -0.0651159  0.162375  0.1  
t = 11
CFR  0.0762937  0.146499  0.156874  0.35096  0.155976  0.0855077  0.124234  -0.299159  -0.00660077  0.00599448  0.132536  
CFR_EX+IN  0.0433293  0.0821302  0.00696403  0.372949  -0.0154073  -0.267657  0.124154  -0.325771  0.0405938  0.0157262  0.0723148  
