learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 259.5)  (-12.3294, 82)  (-12.3294, 80)  (-12.3294, 84)  (-12.3294, 88)  (-12.3294, 83)  (-12.3294, 82)  (-12.3294, 84)  (-12.3294, 82)  (-12.3294, 83)  (-12.3294, 83)  
CFR_IN  (17.9974, 24)  (18.1236, 57)  (18.3814, 49.5)  (18.5697, 47)  (18.003, 26)  (18.3777, 47)  (18.3332, 50)  (18.3777, 48)  (18.1283, 48)  (18.129, 49)  (18.3739, 40)  
A-EFR_IN  (18.0106, 26)  (18.1464, 55)  (18.5697, 47)  (18.7751, 37.5)  (18.0162, 19)  (18.5702, 40)  (18.4943, 42)  (18.5702, 36)  (18.1515, 45)  (18.1521, 44)  (18.5707, 39)  
BPS-EFR  (17.5659, 20)  (17.6931, 47)  (18.003, 39)  (18.0162, 31)  (17.5902, 14)  (18.0681, 37)  (18.027, 33)  (18.0677, 30)  (17.7232, 37)  (17.7258, 38)  (18.1014, 33)  
TIPS-EFR  (18.0625, 28)  (18.189, 57)  (18.3777, 50)  (18.5702, 42)  (18.0681, 24)  (18.3739, 38)  (18.3293, 41)  (18.3739, 39)  (18.1937, 48)  (18.1944, 45)  (18.3701, 39)  
CSPS-EFR  (18.0214, 27)  (18.1374, 56)  (18.3332, 47)  (18.4943, 43)  (18.027, 20)  (18.3293, 36)  (18.2816, 37.5)  (18.3293, 36)  (18.1421, 55)  (18.1428, 56)  (18.324, 47)  
CFPS-EFR  (18.0621, 27)  (18.1886, 56)  (18.3777, 49)  (18.5702, 37)  (18.0677, 20)  (18.3739, 38)  (18.3293, 41)  (18.3739, 49)  (18.1933, 55)  (18.194, 57)  (18.3701, 51)  
CFPS-EFR_EX+IN  (17.6994, 26)  (17.8268, 53)  (18.1283, 42)  (18.1515, 40)  (17.7232, 19)  (18.1937, 41)  (18.1421, 50)  (18.1933, 46)  (17.8562, 54.5)  (17.8588, 52)  (18.2362, 49)  
TIPS-EFR_EX+IN  (17.7021, 26)  (17.8294, 54)  (18.129, 44)  (18.1521, 41)  (17.7258, 21)  (18.1944, 42)  (18.1428, 54)  (18.194, 51)  (17.8588, 54)  (17.8614, 55)  (18.2369, 53)  
BEHAV-EFR  (18.0957, 28)  (18.2315, 57)  (18.3739, 43)  (18.5707, 39)  (18.1014, 21)  (18.3701, 40)  (18.324, 54)  (18.3701, 53)  (18.2362, 57)  (18.2369, 59)  (18.3664, 53)  
t = 3
CFR  (19.3083, 10.5)  (19.3767, 37)  (19.5083, 37)  (19.6314, 42)  (19.3317, 15)  (19.6077, 43)  (19.4843, 40)  (19.5838, 41)  (19.3978, 44)  (19.3983, 42)  (19.6354, 40)  
CFR_EX+IN  (19.3767, 18)  (19.4464, 51)  (19.6131, 49)  (19.7173, 47)  (19.4029, 20)  (19.7074, 48)  (19.546, 47)  (19.68, 48)  (19.4713, 49)  (19.4726, 48)  (19.7236, 46)  
CFR_IN  (19.5083, 18)  (19.6131, 49)  (20.1059, 47)  (20.1176, 45)  (19.538, 20)  (20.114, 45)  (20.0222, 45)  (20.1103, 43)  (19.6319, 42)  (19.6331, 40)  (20.1202, 36)  
A-EFR_IN  (19.6314, 19)  (19.7173, 49)  (20.1176, 43)  (20.1851, 36.5)  (19.6597, 14)  (20.1213, 39)  (20.0497, 39)  (20.1213, 35)  (19.7391, 40)  (19.7404, 41)  (20.1241, 36)  
BPS-EFR  (19.3317, 15)  (19.4029, 44)  (19.538, 41)  (19.6597, 32)  (19.3552, 10)  (19.6372, 37)  (19.5119, 30)  (19.6133, 30)  (19.4241, 33)  (19.4247, 32)  (19.6622, 30)  
