learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
TIPS-CFR_EX+IN  7.72597  7.48999  8.43609  6.35369  7.60663  8.27335  7.56598  8.45606  7.38993  7.38976  
t = 5
CFR  8.14326  8.1725  6.09988  6.13841  8.29418  7.40563  8.43128  7.7359  8.19918  8.19969  
CFR_EX+IN  8.29186  8.38119  9.17743  6.14731  8.55693  10.5148  8.55158  8.75702  8.46394  8.46632  
CFR_IN  2.31566  2.51053  10.1409  3.65208  2.32686  10.0992  2.39526  10.5701  2.43956  2.58804  
A-CFR_IN  2.00931  2.02635  6.92199  3.6277  1.98861  7.95445  2.01068  7.67597  2.02639  2.02504  
BPS-CFR  8.49995  8.5957  9.94799  6.26337  8.66217  9.45365  8.699  9.46307  8.61831  8.62016  
TIPS-CFR  2.41376  2.55796  10.0888  4.23533  2.27862  10.2812  2.40899  10.2083  2.40836  2.70889  
CSPS-CFR  8.60067  8.67441  7.86052  6.48719  8.74346  7.96597  8.78863  8.44638  8.7066  8.70859  
CFPS-CFR  2.36593  2.53604  10.0193  4.37976  2.33448  10.354  2.50617  9.67131  2.42703  2.66234  
CFPS-CFR_EX+IN  8.19313  8.44793  9.46617  6.3257  8.45723  9.00232  8.45663  9.81726  8.54673  8.54962  
TIPS-CFR_EX+IN  8.19529  8.45163  9.22258  6.84507  8.4604  9.59855  8.45983  8.98604  8.55033  8.55322  
t = 6
CFR  9.66419  9.59295  7.18541  6.18327  9.66747  8.11944  9.73774  7.91931  9.60703  9.60814  
CFR_EX+IN  8.75004  9.72718  8.97366  6.23944  8.85503  11.8784  8.80507  8.87082  9.83017  9.83287  
CFR_IN  2.30522  2.4274  9.84435  5.09407  2.22839  9.42505  2.3904  9.68581  2.48054  2.64446  
A-CFR_IN  2.03083  2.07872  8.32724  3.95491  1.98619  9.4378  2.02373  7.7203  2.05889  2.02967  
BPS-CFR  9.73517  9.91118  10.4275  6.31936  9.77052  10.0512  9.76706  10.9241  9.90252  9.90404  
TIPS-CFR  2.35033  2.37795  10.0889  4.58362  2.24718  9.75892  2.39958  10.5816  2.36257  2.63783  
CSPS-CFR  9.81271  9.94325  7.50529  6.64727  9.83156  8.49573  9.82172  9.08077  9.92768  9.92964  
CFPS-CFR  2.26648  2.41744  9.77801  5.44175  2.28782  9.3951  2.46444  9.4836  2.34677  2.65402  
CFPS-CFR_EX+IN  8.64271  8.57322  9.67457  6.24038  8.7464  8.94811  8.70022  10.4142  8.65349  8.65836  
TIPS-CFR_EX+IN  8.64449  8.5758  7.71931  6.99173  8.74857  9.37531  8.70216  9.04193  8.65581  8.66069  
t = 7
CFR  10.1941  10.248  7.81496  6.05009  10.2625  7.77026  10.2948  7.95785  10.2023  10.2016  
CFR_EX+IN  9.407  9.40649  9.82028  6.0764  9.54901  12.5524  9.51626  10.1881  8.96696  8.96867  
CFR_IN  2.23528  2.25532  12.3113  5.42912  2.10961  13.0775  2.53778  11.9657  2.2628  2.55103  
A-CFR_IN  2.03011  2.0835  8.60704  4.07268  2.01762  9.0906  2.03403  8.22388  2.08058  2.02751  
BPS-CFR  10.1958  9.82226  12.2435  6.10949  10.2955  11.7047  10.2884  12.6291  9.7357  9.73416  
TIPS-CFR  2.2741  2.15212  11.8706  5.29208  2.15934  11.1952  2.39457  11.6066  2.30848  2.52228  
CSPS-CFR  10.2939  9.92548  8.68389  5.99378  10.3823  9.63068  10.3766  9.18034  9.83789  9.83754  
CFPS-CFR  2.21002  2.26103  11.567  5.07837  2.16966  13.4233  2.3731  11.2165  2.20918  2.55196  
CFPS-CFR_EX+IN  9.32582  9.44575  11.2468  6.39944  9.47619  9.17939  9.43055  11.7446  9.02238  9.02549  
TIPS-CFR_EX+IN  9.32777  9.4489  9.40973  6.42138  9.47854  10.5311  9.4324  10.9099  9.02414  9.02726  
t = 8
CFR  10.5211  8.57011  8.4682  6.03709  10.8223  9.62291  10.8773  9.14769  8.35493  8.35749  
CFR_EX+IN  10.9574  10.2224  11.0962  6.74293  10.3918  12.6917  10.4814  10.9211  8.23168  8.23978  
CFR_IN  2.20967  2.15592  14.6697  5.46175  2.12001  11.8834  2.60333  11.7596  2.15084  2.4564  
A-CFR_IN  2.05036  2.09337  8.52485  4.16661  2.05436  9.07927  2.05856  8.48752  2.10873  2.09053  
BPS-CFR  10.6413  8.36216  12.4906  5.68394  10.7914  12.0857  10.8098  13.2624  8.00971  8.0152  
TIPS-CFR  2.18126  2.15078  17.0315  4.83829  2.11849  12.6191  2.34445  18.2825  2.21172  2.38866  
CSPS-CFR  10.7631  9.07895  9.04054  6.16002  10.8299  10.9572  10.8439  11.032  8.95396  8.95581  
CFPS-CFR  2.14828  2.23138  16.7911  5.25608  2.12115  13.4585  2.39511  13.2651  2.15139  2.38223  
CFPS-CFR_EX+IN  10.8244  10.6323  12.385  5.74297  10.2405  9.9192  10.3251  12.4218  8.8367  8.84115  
