learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
PI  -0.00227982  0.0487118  0.184171  0.191527  0.184215  0.183934  0.183934  -7.97973e-16  -0.290299  0.120833  
greed_punisher  -0.453614  -0.506132  -0.51958  -0.542985  -0.519381  -0.518833  -0.518833  0.695313  -6.245e-17  -0.104167  
FP  0.118911  0.125505  0.119025  0.125575  0.119216  0.118671  0.118671  0.197917  0.208724  -4.44089e-16  
BR  0.206825  0.211022  0.206912  0.210915  0.206956  0.20723  0.20723  0.695312  0.608464  0.158333  
t = 4
CFR  -4.89192e-16  0.0454353  6.52256e-16  0.045321  0.000568251  -0.00242831  -0.00242831  0.517982  0.623294  0.0555691  
A-CFR  -0.0448971  -8.74301e-16  -0.0448211  8.04912e-16  -0.0442744  -0.0471822  -0.0471822  0.53562  0.628847  -0.0122829  
CFR_IN  -3.22659e-16  0.0454353  5.55112e-16  0.045321  0.000568251  -0.00242831  -0.00242831  0.517982  0.623294  0.0555691  
A-CFR_IN  -0.0448971  -3.19189e-16  -0.0448211  8.74301e-16  -0.0442744  -0.0471822  -0.0471822  0.53562  0.628847  -0.0122829  
BPS-CFR  -0.000502784  0.0449588  -0.000568984  0.0447808  5.96745e-16  -0.00300059  -0.00300059  0.526418  0.625237  0.0611115  
TIPS-CFR  0.00248333  0.0479692  0.0024351  0.0478077  0.00300543  4.64906e-16  4.54498e-16  0.530927  0.623221  0.0644051  
IPS-CFR  0.00248333  0.0479692  0.0024351  0.0478077  0.00300543  4.33681e-16  4.30211e-16  0.530927  0.623221  0.0644051  
PI  0.133895  0.17509  0.15151  0.187205  0.152027  0.149853  0.149853  -4.16334e-16  -0.417708  0.0625  
greed_punisher  -0.579264  -0.518285  -0.49272  -0.539589  -0.493005  -0.489841  -0.489841  1.06146  0  -0.233333  
FP  0.0980881  0.13507  0.0980984  0.134931  0.0987781  0.0958423  0.0958423  0.495833  0.533333  -4.996e-16  
BR  0.170569  0.198157  0.170687  0.197716  0.170725  0.170007  0.170007  1.06146  0.927083  0.15  
t = 5
CFR  -4.03323e-16  0.076162  5.0307e-16  0.0758044  0.000407749  -0.00217627  -0.00217627  0.397896  0.10123  0.0279044  
A-CFR  -0.0789593  -7.84095e-16  -0.0783745  6.17562e-16  -0.0779651  -0.0807918  -0.0807918  0.393613  0.102738  -0.00461281  
CFR_IN  -5.23019e-16  0.076162  4.09395e-16  0.0758044  0.000407749  -0.00217627  -0.00217627  0.397896  0.10123  0.0279044  
A-CFR_IN  -0.0789593  -2.98372e-16  -0.0783745  6.03684e-16  -0.0779651  -0.0807918  -0.0807918  0.393613  0.102738  -0.00461281  
BPS-CFR  -0.000399089  0.0758762  -0.000404963  0.0755202  5.52509e-16  -0.00258208  -0.00258208  0.39723  0.102051  0.030155  
TIPS-CFR  0.00220067  0.0782569  0.00216375  0.0778697  0.00257171  5.1608e-16  4.89626e-16  0.396883  0.100701  0.034489  
IPS-CFR  0.00220067  0.0782569  0.00216375  0.0778697  0.00257171  5.0307e-16  4.89626e-16  0.396883  0.100701  0.034489  
PI  0.128875  0.18957  0.13041  0.192246  0.130948  0.128029  0.128029  -2.91434e-16  -0.460156  0.06875  
greed_punisher  -0.619583  -0.478763  -0.620652  -0.511383  -0.621216  -0.613769  -0.613769  0.677604  -3.46945e-16  -0.164583  
FP  0.06947  0.155675  0.069655  0.155408  0.0703092  0.0669468  0.0669468  0.470312  0.144531  -3.60822e-16  
BR  0.147958  0.195065  0.148075  0.194673  0.148118  0.14698  0.14698  0.677604  0.526823  0.15  
t = 6
CFR  -4.0766e-17  0.0834274  4.54498e-16  0.0827289  0.00027988  -0.00109569  -0.00109569  0.290149  0.588437  0.0503302  
A-CFR  -0.0858594  -5.06539e-16  -0.0847176  3.81639e-16  -0.0843865  -0.0862658  -0.0862658  0.286156  0.594322  0.0283415  
CFR_IN  7.89299e-17  0.0834274  4.04191e-16  0.0827289  0.00027988  -0.00109569  -0.00109569  0.290149  0.588437  0.0503302  
A-CFR_IN  -0.0858594  -2.28983e-16  -0.0847176  4.02456e-16  -0.0843865  -0.0862658  -0.0862658  0.286156  0.594322  0.0283415  
BPS-CFR  -0.000275451  0.0831624  -0.000276574  0.0824717  3.69496e-16  -0.00136765  -0.00136765  0.287735  0.591785  0.0490842  
