learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  20.2038  20.1076  20.0183  20.1106  16.8338  14.8358  20.0264  20.0258  20.0216  20.0254  
CFR+  20.0028  20.307  20.0093  20.1005  16.8219  14.442  20.0144  20.0124  20.0103  20.0105  
A-CFR  20.0128  20.1077  20.2115  20.1108  16.8341  14.3463  20.0272  20.0266  20.0224  20.0263  
A-CFR+  19.9995  20.0945  20.0057  20.3113  16.8197  14.4092  20.0125  20.0108  20.0086  20.0099  
PGPI(10000/U)  20.0188  20.1143  20.0219  20.1152  16.4346  13.0083  20.0053  19.9999  19.9932  19.9903  
PI  19.8853  20.0853  19.8914  20.0899  16.8136  2.87481  19.962  19.979  19.9796  19.995  
CFR_IN  20.0774  20.1725  20.0816  20.1745  16.8833  14.9202  20.242  20.0952  20.0888  20.0926  
CFR+_IN  20.0437  20.1397  20.0507  20.1429  16.8456  14.3647  20.0608  20.2388  20.0544  20.0552  
A-CFR_IN  20.0775  20.1725  20.0818  20.1745  16.8833  14.2131  20.0936  20.0952  20.2273  20.0926  
A-CFR+_IN  20.0436  20.1384  20.0483  20.1421  16.8414  14.4357  20.0577  20.0615  20.0539  20.2281  
BR  20.384  20.4782  20.3885  20.4808  17.128  18.692  20.3923  20.3907  20.3874  20.3884  
