learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFR_IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
A-CFR_IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
BPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
TIPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CSPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFPS-CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
TIPS-CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
t = 1
CFR  0.0327571  0.0263609  -0.0367183  -0.0367183  0.0327571  -0.0367183  -0.0367183  -0.0367183  0.0263609  0.0263609  
CFR_EX+IN  0.0380097  0.0315912  -0.0320859  -0.0320859  0.0380097  -0.0320859  -0.0320859  -0.0320859  0.0315912  0.0315912  
CFR_IN  0.0847732  0.0791927  0.02  0.02  0.0847732  0.02  0.02  0.02  0.0791927  0.0791927  
A-CFR_IN  0.0847732  0.0791927  0.02  0.02  0.0847732  0.02  0.02  0.02  0.0791927  0.0791927  
BPS-CFR  0.0327571  0.0263609  -0.0367183  -0.0367183  0.0327571  -0.0367183  -0.0367183  -0.0367183  0.0263609  0.0263609  
TIPS-CFR  0.0847732  0.0791927  0.02  0.02  0.0847732  0.02  0.02  0.02  0.0791927  0.0791927  
CSPS-CFR  0.0847732  0.0791927  0.02  0.02  0.0847732  0.02  0.02  0.02  0.0791927  0.0791927  
CFPS-CFR  0.0847732  0.0791927  0.02  0.02  0.0847732  0.02  0.02  0.02  0.0791927  0.0791927  
CFPS-CFR_EX+IN  0.0380097  0.0315912  -0.0320859  -0.0320859  0.0380097  -0.0320859  -0.0320859  -0.0320859  0.0315912  0.0315912  
TIPS-CFR_EX+IN  0.0380097  0.0315912  -0.0320859  -0.0320859  0.0380097  -0.0320859  -0.0320859  -0.0320859  0.0315912  0.0315912  
t = 2
CFR  0.0466885  0.0469672  0.0620861  0.0500194  0.0475537  0.0727616  0.0665981  0.0666437  0.0484819  0.0527999  
CFR_EX+IN  0.0470233  0.0480544  0.0666857  0.0508449  0.0479858  0.0714741  0.065472  0.0687138  0.0497992  0.054632  
CFR_IN  0.0568573  0.0598497  0.0881751  0.0932117  0.0590515  0.0932117  0.100375  0.0905881  0.0632082  0.0686868  
A-CFR_IN  0.0443043  0.056943  0.0996298  0.104666  0.0455528  0.104666  0.112763  0.102043  0.0591014  0.0626094  
BPS-CFR  0.0475968  0.0475453  0.0645241  0.0529919  0.0484196  0.074823  0.0689921  0.0689269  0.0489554  0.0530074  
TIPS-CFR  0.0636638  0.0782498  0.0996298  0.104666  0.0661519  0.104666  0.112763  0.102043  0.082394  0.089091  
CSPS-CFR  0.0610489  0.0749245  0.101552  0.107094  0.0631981  0.107094  0.114423  0.104212  0.0785348  0.0843738  
CFPS-CFR  0.0601991  0.0685803  0.0939024  0.098939  0.0625361  0.098939  0.106569  0.0963154  0.0723185  0.078388  
CFPS-CFR_EX+IN  0.0483075  0.0491399  0.0705067  0.0553021  0.0492176  0.0749915  0.0693492  0.0724108  0.0507595  0.055259  
TIPS-CFR_EX+IN  0.0498306  0.0504566  0.0764108  0.0619051  0.0506243  0.0805586  0.0753435  0.0781802  0.0518402  0.055725  
t = 3
CFR  0.0610324  0.0878358  0.134282  0.0739142  0.0526878  0.123224  0.132537  0.130044  0.0857224  0.0649222  
CFR_EX+IN  0.0431612  0.0680586  0.145559  0.092359  0.0352728  0.238383  0.105313  0.118436  0.0508976  0.03544  
CFR_IN  -0.00454578  -0.0147353  0.127105  0.128422  -0.0121507  0.128422  0.173165  0.130662  0.0137247  0.243502  
A-CFR_IN  0.0639708  0.0655305  0.121487  0.102928  0.0662132  0.102928  0.127166  0.0885402  0.212563  0.391237  
BPS-CFR  0.0725217  0.0963694  0.136542  0.0858636  0.0652312  0.120707  0.137934  0.131629  0.0930417  0.0692696  
TIPS-CFR  0.00256861  0.174159  0.121487  0.102921  -0.000971403  0.102921  0.168607  0.0885402  0.344018  0.543433  
CSPS-CFR  -0.00186054  0.011468  0.129856  0.116894  -0.0104651  0.118173  0.67801  0.126076  0.141814  0.273411  
CFPS-CFR  -0.00169204  0.0036637  0.120312  0.151162  -0.00811628  0.151162  0.172031  0.124538  0.0768119  0.263341  
CFPS-CFR_EX+IN  0.0519619  0.0884423  0.114818  -0.019216  0.0464784  -0.00581629  0.0856709  0.0583589  0.0738082  0.0742743  
TIPS-CFR_EX+IN  0.075978  0.103022  0.0277365  -0.12195  0.0759561  -0.17473  -0.0309089  -0.0175775  0.0796092  0.0801944  
t = 4
CFR  0.0802919  0.0498061  -0.206164  -0.153878  0.123044  -0.22847  -0.244336  -0.218341  0.0638411  0.157286  
CFR_EX+IN  0.113257  0.0899902  -0.224615  -0.0458928  0.145782  0.159141  -0.0215102  -0.143509  0.156101  0.169718  
CFR_IN  0.433082  0.450383  0.041498  0.0556588  0.441616  0.0557628  0.0153456  0.0462074  0.40306  0.0824121  
A-CFR_IN  0.358371  0.126292  0.0215055  0.0428018  0.437376  0.0429652  0.033757  0.0519459  -0.102218  -0.128305  
BPS-CFR  0.0566442  0.0383959  -0.205883  -0.224286  0.0939002  -0.217559  -0.23646  -0.215938  0.0474754  0.145979  
TIPS-CFR  0.451826  0.66162  0.0213922  0.0426663  0.431005  0.0428297  0.0438853  0.050815  -0.0382112  -0.115252  
CSPS-CFR  0.426163  0.118376  0.128765  0.043058  0.422347  0.0629555  0.140849  0.073849  0.105934  0.0478701  
CFPS-CFR  0.441286  0.26024  0.0329811  0.0217153  0.438961  0.0232857  0.0313806  0.0369308  0.236456  0.0755003  
CFPS-CFR_EX+IN  0.103997  0.0482626  -0.203181  0.132367  0.132009  0.255182  -0.178022  -0.144706  0.104688  0.0772927  
TIPS-CFR_EX+IN  0.0681595  -0.0508118  -0.136677  0.0831302  0.078028  0.282664  -0.142044  -0.14593  0.0300287  0.00317218  
t = 5
CFR  0.0630755  0.0568465  0.114658  0.141111  0.0613007  0.165215  0.124449  0.129295  0.0482281  0.0345362  
CFR_EX+IN  0.0899249  0.0588955  0.10845  0.0264254  0.0897138  0.448028  0.0122874  0.156808  0.0600723  -0.0151066  
CFR_IN  -0.00375262  -0.0179006  0.0361636  0.025754  -0.00826054  0.0245165  -0.070851  0.0302578  -0.0896504  -0.155659  
A-CFR_IN  -0.141739  -0.0729986  0.0407546  0.0224493  -0.106338  0.0201211  0.0249763  0.0236843  -0.00714968  -0.261197  
BPS-CFR  0.0648432  0.0717838  0.127193  0.181939  0.0573506  0.140972  0.105276  0.130203  0.0629174  0.0388497  
TIPS-CFR  -0.00865126  0.183785  0.0422353  0.0248858  -0.0236875  0.0225579  -0.142448  0.0257275  0.0282145  -0.0411846  
CSPS-CFR  -0.0266609  0.0809576  0.177773  0.0267858  -0.0389762  0.16064  0.139187  0.158513  -0.17418  -0.180396  
CFPS-CFR  -0.0102275  -0.0373522  0.0383275  0.0371917  -0.00894314  0.035507  -0.0928328  0.0320327  -0.138985  -0.164864  
CFPS-CFR_EX+IN  0.0908015  0.0711476  0.123518  0.0694199  0.086882  0.197581  0.198366  0.214389  0.0587357  0.078551  
TIPS-CFR_EX+IN  0.0790994  0.130244  0.17687  0.205741  0.0760447  0.225222  0.204952  0.223812  0.0769544  0.0631497  
t = 6
CFR  0.0845352  0.212781  0.230798  0.133708  0.070753  0.166611  0.246037  0.242106  0.304864  0.207563  
CFR_EX+IN  -0.144598  0.0841709  0.221268  0.0419523  -0.103341  0.527903  0.0370298  0.108276  0.14541  -0.0844957  
CFR_IN  -0.0607679  -0.061951  0.0431941  0.0350091  -0.0550859  0.0282635  -0.14478  0.0315243  -0.0952082  -0.136961  
A-CFR_IN  -0.137346  -0.0386116  0.0426754  0.0187994  -0.0733541  0.0186652  0.035806  0.0309817  -0.0238742  -0.128318  
BPS-CFR  0.095664  0.109025  0.224232  0.111164  0.0771022  0.13629  0.198494  0.156006  0.264805  0.208322  
TIPS-CFR  -0.0530425  0.119103  0.0516626  0.0194192  -0.0409544  0.0192898  -0.110398  0.036627  0.100572  0.00424907  
CSPS-CFR  -0.0822815  0.061667  0.241398  0.0370033  -0.0807043  0.098308  0.126031  0.225367  -0.133975  -0.158891  
CFPS-CFR  -0.0617523  -0.00174321  0.0503515  0.0463114  -0.0440435  0.0392657  -0.122318  0.0383382  -0.0505986  -0.111489  
CFPS-CFR_EX+IN  -0.205991  -0.0131949  0.188741  0.0579037  -0.224229  -0.0750659  0.285581  0.140394  0.0816991  0.20931  
TIPS-CFR_EX+IN  -0.121086  0.0642522  0.280277  0.0591347  -0.153473  0.105997  0.264453  0.277092  0.00953461  0.0479231  
t = 7
CFR  -0.00239809  0.00907426  0.0624462  -0.0355524  0.0281515  0.0553601  0.0688993  0.0608193  -0.0230495  0.269556  
CFR_EX+IN  -0.00860684  -0.0142052  0.0731336  -0.0421856  0.0149046  0.093254  0.0543081  0.0243131  0.00374382  0.250353  
CFR_IN  0.0249509  0.00975289  0.0572669  0.0891439  0.0165059  -0.0170053  -0.0569601  0.000602144  -0.0011421  0.0542831  
A-CFR_IN  0.0144063  -0.00237955  -0.00226153  0.0291655  0.0509078  0.02807  -0.0358255  -0.0249554  0.0827178  -0.104305  
BPS-CFR  -0.051882  -0.0136681  0.0566053  -0.0474217  -0.0556607  0.0420844  0.077734  0.0472361  -0.0312722  -0.00892225  
TIPS-CFR  0.0350012  0.211085  0.0988968  0.0300562  0.0238383  0.0290424  -0.02345  0.0498996  -0.0535975  0.00449968  
CSPS-CFR  0.01616  0.0436232  0.153385  0.076404  0.00536684  0.107958  0.0874628  0.156797  0.0893685  0.0729269  
CFPS-CFR  0.0334567  0.0435604  0.0968609  0.0958944  0.0194257  0.0213585  -0.0647897  0.0363389  0.0762175  0.0550515  
CFPS-CFR_EX+IN  0.00915312  0.0118149  0.0424896  -0.0332958  0.0333109  0.0365659  0.073244  -0.00609015  0.00487676  -0.0154675  
TIPS-CFR_EX+IN  -0.238668  -0.0066796  0.134057  0.00959927  -0.0753116  0.0597697  0.0730081  0.144853  0.0542877  0.0343582  
t = 8
CFR  0.0103962  -0.0273377  -0.0696193  -0.0634209  -0.0163241  -0.0466662  -0.0612882  -0.0360376  -0.0583605  -0.162079  
CFR_EX+IN  0.0840607  0.0164361  -0.0614281  -6.4622e-05  0.0391316  -0.198895  0.00560565  -0.0471575  -0.0210971  0.216484  
CFR_IN  0.159029  0.101043  0.0709542  0.0342292  0.103282  -0.0594381  -0.0439745  0.0423452  0.0783865  0.197348  
A-CFR_IN  0.123669  0.0263451  0.0661178  0.0208021  0.0903818  0.00742632  0.00726332  0.0312445  0.106895  -0.0108672  
BPS-CFR  0.0377825  0.0131065  -0.0637204  -0.0397036  -0.000810483  -0.0644765  -0.0652885  -0.061109  -0.0368546  -0.0875994  
TIPS-CFR  0.0873396  0.301011  0.199866  0.0326007  0.0810194  0.0188761  -0.0373476  0.102544  -0.0444589  0.0950998  
CSPS-CFR  0.136875  0.0544936  0.161667  0.0693758  0.0805365  0.152051  0.0348762  0.129058  0.22212  0.218867  
CFPS-CFR  0.139261  0.0850307  0.0849705  0.0419093  0.0892717  -0.00732711  -0.00863329  0.0562979  0.10687  0.199033  
CFPS-CFR_EX+IN  0.123736  0.080072  -0.0399293  -0.0202435  0.0976461  0.0890295  -0.109141  -0.0454391  0.0228052  -0.0706139  
