learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CSPS-EFR  (-0.0267701, 4)  (-0.0415944, 8)  (3.21409e-16, 5)  (4.22312e-16, 9)  (-0.0267701, 7)  (2.11543e-16, 12)  (0, 15)  (3.40491e-16, 9)  (-0.0415944, 12)  (-0.0415944, 11)  (3.49815e-16, 9)  
CFPS-EFR  (-0.0709352, 4)  (-0.0890381, 8)  (-1.9082e-17, 5)  (8.18211e-17, 9)  (-0.0709352, 7)  (-1.28948e-16, 12)  (-2.92833e-16, 15)  (-3.08149e-32, 9)  (-0.0890381, 12)  (-0.0890381, 11)  (9.32414e-18, 9)  
CFPS-EFR_EX+IN  (-0.0077521, 4)  (5.66676e-17, 8)  (0.338877, 5)  (0.338877, 9)  (-0.0077521, 7)  (0.338877, 12)  (0.233345, 15)  (0.338877, 9)  (-8.09538e-18, 13)  (6.93889e-17, 11)  (0.338877, 9)  
TIPS-EFR_EX+IN  (-0.0077521, 4)  (-1.61908e-17, 8)  (0.338877, 5)  (0.338877, 9)  (-0.0077521, 7)  (0.338877, 12)  (0.233345, 14)  (0.338877, 9)  (-7.97973e-17, 12)  (-1.15648e-18, 11)  (0.338877, 9)  
BEHAV-EFR  (-0.0709352, 4)  (-0.0890381, 8)  (-2.84061e-17, 5)  (7.2497e-17, 9)  (-0.0709352, 7)  (-1.38272e-16, 12)  (-3.02157e-16, 15)  (-9.32414e-18, 9)  (-0.0890381, 13)  (-0.0890381, 11)  (4.93038e-32, 9)  
BR  (1, 2)  (1, 5)  (1, 3)  (1, 6)  (1, 4)  (1, 8)  (1, 10)  (1, 6)  (1, 8)  (1, 8)  (1, 6)  
t = 2
CFR  (-5.77338e-18, 33)  (0.00431364, 46)  (0.347107, 27)  (0.215208, 42)  (0.000198956, 53)  (0.347107, 39)  (0.290256, 47)  (0.347107, 42)  (0.00470442, 61)  (0.00452807, 59)  (0.347107, 38)  
CFR_EX+IN  (-0.00220204, 31)  (-1.43115e-17, 46)  (0.333228, 26)  (0.213539, 44)  (-0.00206186, 53)  (0.333228, 37)  (0.272135, 47)  (0.333228, 43)  (0.000336561, 61)  (9.93148e-05, 60)  (0.333228, 40)  
CFR_IN  (0.245116, 31)  (0.177802, 46)  (-4.62593e-18, 26)  (0.0158131, 44)  (0.246729, 54)  (-5.81514e-10, 37)  (-0.00707037, 48)  (1.45864e-11, 42)  (0.178146, 61)  (0.176489, 60)  (-3.54415e-08, 40)  
