learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
CFR_EX+IN  -0.00561651  -5.20417e-18  0.0414705  0.112707  -0.00139361  0.0530978  0.0361158  0.0425913  0.00152596  0.000239984  -0.0424395  
CFR_IN  0.19969  0.183066  2.27682e-18  0.160335  0.199878  -0.00748499  0.128376  -0.00499359  0.189234  0.194339  -0.0560265  
A-CFR_IN  0.133818  0.166872  0.130937  6.93889e-18  0.128444  0.132869  -0.0561216  0.0953142  0.147528  0.153123  0.115856  
BPS-CFR  -0.00509352  0.0110605  0.0425337  -0.00936156  3.75405e-18  0.0617126  0.0610242  0.0490713  0.0112718  0.0101132  -0.0188458  
TIPS-CFR  0.204032  0.176361  0.00767552  0.162483  0.204962  -2.08167e-17  0.123343  0.0025849  0.188997  0.18527  -0.0502606  
CSPS-CFR  0.162237  0.194144  -0.0780042  0.128534  0.16825  -0.0834565  0  -0.0828084  0.164798  0.162962  -0.0692976  
CFPS-CFR  0.200313  0.183298  0.00507146  0.162434  0.200458  -0.00255823  0.122642  7.48099e-18  0.189385  0.194058  -0.0524059  
CFPS-CFR_EX+IN  -0.00999827  -0.000499854  0.00018644  0.120156  -0.00578998  0.0140534  0.0324583  0.00150622  -1.73472e-18  -0.00100618  -0.0524314  
TIPS-CFR_EX+IN  -0.00816849  0.000627423  0.0050843  0.103877  -0.00425198  0.0176848  0.0356227  0.00680207  0.00106218  -7.48099e-18  -0.0509393  
BEHAV-CFR  0.205404  0.176188  0.0794342  0.163495  0.205162  0.0696049  0.140874  0.0731987  0.181196  0.180106  6.07153e-18  
t = 4
CFR  -1.16552e-18  0.0299285  0.280503  0.321035  0.00189838  0.354738  0.255864  0.294799  0.0202201  0.0211217  1  
CFR_EX+IN  2.13566e-05  -9.54098e-18  0.343513  0.335486  0.00375198  0.341319  0.194234  0.341224  0.00627029  0.00418934  0.363748  
CFR_IN  0.193726  0.167679  -4.62819e-18  0.127221  0.195208  -0.000356759  0.170275  0.00288438  0.132247  0.166247  0.0133657  
A-CFR_IN  0.0357822  -0.0589618  -0.0257849  -2.08167e-17  0.021104  -0.0470926  -0.00058195  -0.0472883  -0.0734092  -0.0640335  -0.0188976  
BPS-CFR  -0.000155566  0.0334133  0.282805  0.300342  -4.66207e-18  0.355291  0.261754  0.294885  0.0209502  0.0223083  1  
TIPS-CFR  0.228431  0.161099  0.00437872  0.134902  0.232129  -2.27682e-18  0.168917  0.0066024  0.141297  0.143189  0.00861029  
CSPS-CFR  0.294202  0.174334  -0.0489224  0.055245  0.315741  -0.046413  2.31274e-17  -0.048175  0.190737  0.199931  -0.00509821  
CFPS-CFR  0.191819  0.166664  -0.00260133  0.133881  0.192724  -0.00260346  0.167896  2.30393e-18  0.1322  0.169907  0.0116375  
CFPS-CFR_EX+IN  -0.00651777  -8.66483e-05  0.31421  0.321249  -0.00332098  0.310302  0.180148  0.304457  -4.22839e-18  0.000685774  0.350571  
TIPS-CFR_EX+IN  -0.00471169  0.000976246  0.31827  0.323298  -0.00201961  0.312336  0.188144  0.305538  2.74212e-05  9.1073e-18  0.346934  
BEHAV-CFR  0.333925  0.274254  0.0034451  0.158705  0.340215  -0.0025263  0.0762578  0.00478804  0.261751  0.241344  -1.73472e-18  
t = 5
CFR  -8.94467e-18  0.0539332  0.296035  0.391049  0.010012  0.329762  0.744218  0.252586  0.0258753  0.0275108  0.422945  
CFR_EX+IN  0.0375317  -3.90313e-18  0.331372  0.181014  0.0651577  0.321635  0.459545  0.300273  0.0256568  0.0154433  0.302332  
CFR_IN  0.293562  0.399215  2.1684e-18  0.0646076  0.312047  0.00213976  0.138275  -0.00267925  0.311525  0.345428  0.0682775  
A-CFR_IN  0.140785  0.135172  0.0548602  -3.46945e-18  0.0712148  0.021625  0.0787915  0.0503139  0.117746  0.127826  0.125573  
BPS-CFR  -0.00119003  0.0677208  0.290099  0.296103  1.30104e-18  0.328615  0.809655  0.256405  0.0332432  0.0329741  0.422091  
TIPS-CFR  0.344833  0.431707  0.000723348  0.0331575  0.367791  1.38778e-17  0.139736  -0.00108795  0.39812  0.405564  0.064082  
CSPS-CFR  0.749582  0.481004  0.0619679  0.00960084  0.768888  0.0544481  -3.46945e-18  0.0585455  0.463612  0.504339  -0.0136412  
CFPS-CFR  0.279729  0.365872  0.00322053  0.0783444  0.305933  0.00372731  0.143256  9.32414e-18  0.28499  0.307244  0.0712102  
CFPS-CFR_EX+IN  0.00265206  0.0224288  0.310735  0.178992  0.0170077  0.326887  0.438823  0.291716  0  -0.000935787  0.295024  
TIPS-CFR_EX+IN  0.00780386  0.0191682  0.339374  0.165085  0.0210028  0.330258  0.494746  0.316307  0.00192158  9.54098e-18  0.290397  
BEHAV-CFR  0.260596  0.351578  6.2125e-05  0.0776583  0.262187  -0.0162354  0.105285  -0.00828607  0.340009  0.309614  5.20417e-18  
t = 6
CFR  -6.83047e-18  0.17262  0.438441  0.455527  0.0195202  0.463292  1  0.419582  0.0329586  0.0409953  0.128451  
CFR_EX+IN  0.135639  2.42861e-17  0.354396  0.55584  0.257958  0.393749  0.934854  0.346143  0.216497  0.153061  0.161657  
CFR_IN  0.448282  0.483077  1.04083e-17  0.191516  0.474284  0.0186742  0.204573  0.0113621  0.43947  0.439673  0.152092  
A-CFR_IN  0.363652  0.118794  0.111881  6.93889e-18  0.226785  0.0226461  0.0324804  0.0998664  0.122159  0.118797  0.205981  
BPS-CFR  0.0309525  0.30283  0.444589  0.414449  -8.67362e-18  0.474404  1  0.420336  0.130042  0.117499  0.123498  
TIPS-CFR  0.529525  0.573782  -0.0146126  0.0994223  0.564151  -6.93889e-18  0.195308  -0.00901006  0.532544  0.544963  0.140715  
CSPS-CFR  0.95029  0.868109  0.19049  0.129543  0.955779  0.141109  -8.67362e-18  0.17007  0.870864  0.874878  0.0505036  
CFPS-CFR  0.492552  0.511483  -0.00787784  0.220266  0.52205  0.012202  0.212412  6.93889e-18  0.521871  0.483467  0.146193  
CFPS-CFR_EX+IN  0.0245171  0.200908  0.326376  0.525582  0.0916118  0.381907  0.945169  0.327678  -3.46945e-18  0.0028766  0.119692  
TIPS-CFR_EX+IN  0.0354108  0.149217  0.393507  0.549701  0.0915596  0.396313  0.958926  0.375318  0.00189081  1.09504e-17  0.115112  
BEHAV-CFR  0.550933  0.566912  -0.0330062  0.207592  0.556369  -0.0335438  0.0657811  -0.03247  0.56374  0.529399  -4.33681e-18  
t = 7
CFR  -8.13152e-18  0.626499  0.463683  0.551386  0.123832  0.469199  1  0.442037  0.0643708  0.0845565  0.395483  
CFR_EX+IN  0.841462  9.54098e-18  0.356978  0.224286  0.921994  0.436243  1  0.354051  0.76124  0.681964  0.241122  
CFR_IN  0.569008  0.595984  -1.73472e-18  0.30348  0.610975  0.00290325  0.269155  0.0016967  0.576355  0.552107  0.113275  
A-CFR_IN  0.52663  0.264843  0.307789  -1.04083e-17  0.41173  0.121863  0.140928  0.300473  0.262674  0.320385  0.218309  
BPS-CFR  0.148512  0.706509  0.482788  0.529567  4.33681e-18  0.488271  1  0.454785  0.512274  0.480184  0.406595  
TIPS-CFR  0.582604  0.661454  0.0221163  0.16206  0.619428  -9.1073e-18  0.254565  0.012532  0.61866  0.632608  0.112271  
CSPS-CFR  0.95029  0.950547  0.414272  0.158913  0.956778  0.289295  -5.20417e-18  0.341202  0.955989  0.94071  0.0498854  
CFPS-CFR  0.571823  0.704233  0.0116031  0.335372  0.60905  0.0053232  0.270611  6.07153e-18  0.758479  0.621327  0.100855  
CFPS-CFR_EX+IN  0.0442238  0.624916  0.347168  0.280982  0.5791  0.404548  1  0.364319  3.46945e-18  0.0132369  0.221765  
TIPS-CFR_EX+IN  0.101852  0.549852  0.419805  0.209142  0.547063  0.416687  1  0.368962  0.0106108  0  0.239529  
BEHAV-CFR  0.481827  0.592411  0.10387  0.270474  0.457277  0.100665  0.101476  0.0876725  0.507965  0.453123  -8.67362e-18  
t = 8
CFR  4.33681e-18  0.807985  0.518872  0.445552  0.536863  0.480436  1  0.467285  0.0619645  0.16284  0.524498  
CFR_EX+IN  0.945736  0  0.392749  0.0779341  0.983111  0.44164  1  0.399542  0.898145  0.877984  0.452468  
CFR_IN  0.729395  0.723463  1.73472e-18  0.379738  0.744677  0.0215495  0.365175  0.0174321  0.751121  0.611299  0.286064  
A-CFR_IN  0.620684  0.327588  0.52008  -1.38778e-17  0.576813  0.244982  0.290634  0.51163  0.386144  0.329667  0.22941  
BPS-CFR  0.586909  0.833811  0.550657  0.504415  -8.67362e-18  0.514491  1  0.496109  0.809665  0.75678  0.531381  
TIPS-CFR  0.645114  0.697175  0.0298749  0.195285  0.677131  -6.93889e-18  0.295296  0.00883065  0.636222  0.632029  0.288938  
CSPS-CFR  0.95029  0.950547  0.557674  0.179227  0.956778  0.447229  -5.20417e-18  0.481862  0.955989  0.940707  0.0463175  
CFPS-CFR  0.657035  0.786927  0.0387915  0.433752  0.695974  0.0262242  0.352904  -1.34441e-17  0.874663  0.723593  0.258964  
CFPS-CFR_EX+IN  0.106195  0.883786  0.459436  0.0278564  0.926626  0.393399  1  0.406259  1.73472e-18  0.0480964  0.428646  
TIPS-CFR_EX+IN  0.221639  0.829791  0.484492  0.18423  0.911825  0.408227  1  0.409391  0.0623573  5.20417e-18  0.55622  
BEHAV-CFR  0.423429  0.502009  0.291612  0.325364  0.408534  0.249552  0.153368  0.219086  0.357958  0.33671  -2.92735e-18  
t = 9
CFR  1.38778e-17  0.824067  0.562935  0.506838  0.969281  0.475907  1  0.51512  0.109015  0.408659  0.577481  
CFR_EX+IN  0.939962  1.38778e-17  0.474013  0.0792932  0.972168  0.428931  1  0.428612  0.932248  0.92958  0.558774  
CFR_IN  0.883067  0.825209  -3.46945e-18  0.546259  0.658184  0.0910739  0.444006  0.103281  0.74504  0.537751  0.534191  
A-CFR_IN  0.734901  0.213403  0.624989  -6.93889e-18  0.564106  0.316868  0.409469  0.608507  0.290554  0.23747  0.274768  
BPS-CFR  0.826438  0.840274  0.604537  0.408102  -8.67362e-19  0.512421  1  0.556236  0.905838  0.878615  0.580165  
TIPS-CFR  0.700193  0.709993  0.0856233  0.327151  0.724232  -5.20417e-18  0.358041  0.0480955  0.587133  0.561415  0.512769  
CSPS-CFR  0.95029  0.950547  0.691753  0.230061  0.956778  0.581246  -5.20417e-18  0.636519  0.956239  0.940707  0.114379  
CFPS-CFR  0.772559  0.815418  0.110753  0.711935  0.814541  0.044903  0.404709  3.46945e-18  0.900235  0.789156  0.454929  
CFPS-CFR_EX+IN  0.202607  0.975896  0.557005  0.0765927  0.932002  0.387568  1  0.430042  3.46945e-18  0.225721  0.508636  
TIPS-CFR_EX+IN  0.534013  0.935395  0.571063  0.171307  0.93866  0.393957  1  0.445186  0.277377  -3.46945e-18  0.562058  
BEHAV-CFR  0.447989  0.42354  0.608765  0.24602  0.432468  0.482583  0.108989  0.44935  0.457998  0.390246  -8.67362e-18  
t = 10
CFR  -8.67362e-19  0.840104  0.592078  0.535591  0.992962  0.498056  1  0.564782  0.287505  0.316282  0.628337  
CFR_EX+IN  0.943357  2.77556e-17  0.554219  0.0854994  0.964697  0.426006  1  0.445667  0.93817  0.947844  0.598996  
CFR_IN  0.712832  0.836358  -8.67362e-19  0.635927  0.459581  0.222853  0.535962  0.153449  0.780107  0.555571  0.935183  
A-CFR_IN  0.756629  0.177877  0.680901  -6.93889e-18  0.548934  0.499994  0.334317  0.64042  0.220584  0.20211  0.276103  
BPS-CFR  0.949279  0.846686  0.645954  0.301715  -2.60209e-18  0.530885  1  0.610541  1  0.975251  0.625731  
TIPS-CFR  0.767672  0.723836  0.160812  0.45169  0.760814  -6.93889e-18  0.511222  0.048717  0.56442  0.531131  0.888738  
CSPS-CFR  0.95029  0.950547  0.774604  0.331992  0.956778  0.67701  -1.38778e-17  0.725511  0.956239  0.940707  0.193112  
