learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
t = 0
CFR  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
A-CFR  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
CFR_IN  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
A-CFR_IN  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
BPS-CFR  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
TIPS-CFR  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
IPS-CFR  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
PI  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
greed_punisher  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
FP  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  -1.38778e-17  
BR  0.6875  0.6875  0.6875  0.6875  0.6875  0.6875  0.6875  0.6875  0.6875  0.6875  
t = 1
CFR  5.55112e-17  5.55112e-17  6.245e-16  6.245e-16  6.245e-16  6.245e-16  6.245e-16  -0.138889  -0.361111  -0.138889  
A-CFR  5.55112e-17  5.55112e-17  6.245e-16  6.245e-16  6.245e-16  6.245e-16  6.245e-16  -0.138889  -0.361111  -0.138889  
CFR_IN  1.66533e-16  1.66533e-16  2.91434e-16  2.91434e-16  2.91434e-16  2.91434e-16  2.91434e-16  -0.138889  -0.361111  -0.138889  
A-CFR_IN  1.66533e-16  1.66533e-16  2.91434e-16  2.91434e-16  2.91434e-16  2.91434e-16  2.91434e-16  -0.138889  -0.361111  -0.138889  
BPS-CFR  1.66533e-16  1.66533e-16  2.77556e-16  2.77556e-16  2.77556e-16  2.77556e-16  2.77556e-16  -0.138889  -0.361111  -0.138889  
TIPS-CFR  1.66533e-16  1.66533e-16  2.77556e-16  2.77556e-16  2.77556e-16  2.77556e-16  2.77556e-16  -0.138889  -0.361111  -0.138889  
IPS-CFR  1.66533e-16  1.66533e-16  2.77556e-16  2.77556e-16  2.77556e-16  2.77556e-16  2.77556e-16  -0.138889  -0.361111  -0.138889  
PI  0.125  0.125  0.125  0.125  0.125  0.125  0.125  4.16334e-17  -0.194444  4.16334e-17  
greed_punisher  0.305556  0.305556  0.305556  0.305556  0.305556  0.305556  0.305556  0.277778  -2.94903e-17  0.277778  
FP  0.125  0.125  0.125  0.125  0.125  0.125  0.125  4.16334e-17  -0.194444  4.16334e-17  
BR  0.305556  0.305556  0.305556  0.305556  0.305556  0.305556  0.305556  0.277778  0.204861  0.277778  
t = 2
CFR  9.71445e-17  0.00683594  3.19189e-16  0.00683594  0.000269333  -0.000283207  -0.000283207  -0.152086  0.196098  -0.149794  
A-CFR  -0.00683594  8.32667e-17  -0.00683594  2.498e-16  -0.0065666  -0.00711914  -0.00711914  -0.153537  0.210339  -0.162109  
CFR_IN  1.11022e-16  0.00683594  1.52656e-16  0.00683594  0.000269333  -0.000283207  -0.000283207  -0.152086  0.196098  -0.149794  
A-CFR_IN  -0.00683594  5.55112e-17  -0.00683594  1.38778e-16  -0.0065666  -0.00711914  -0.00711914  -0.153537  0.210339  -0.162109  
BPS-CFR  -0.000269333  0.0065666  -0.000269333  0.0065666  1.11022e-16  -0.00055254  -0.00055254  -0.152113  0.196374  -0.150111  
TIPS-CFR  0.000283207  0.00711914  0.000283207  0.00711914  0.00055254  8.32667e-17  8.32667e-17  -0.152014  0.197638  -0.149451  
IPS-CFR  0.000283207  0.00711914  0.000283207  0.00711914  0.00055254  8.32667e-17  8.32667e-17  -0.152014  0.197638  -0.149451  
PI  0.067844  0.0712619  0.241455  0.241455  0.241455  0.241455  0.241455  -2.94903e-17  -0.489583  0.0972222  
greed_punisher  -0.197795  -0.197795  -0.457614  -0.454197  -0.45748  -0.457756  -0.457756  0.204861  0  -0.194444  
FP  0.147  0.150418  0.0891656  0.0925836  0.0893002  0.089024  0.089024  -0.0625  0.0694444  -6.93889e-18  
BR  0.246012  0.246012  0.241455  0.241455  0.241455  0.241455  0.241455  0.204861  0.645833  0.152778  
t = 3
CFR  -1.38778e-17  0.018254  1.94289e-16  0.018254  0.000322477  -0.00247239  -0.00247239  0.227566  -0.06935  0.0554883  
A-CFR  -0.018254  0  -0.018254  2.91434e-16  -0.0179315  -0.0207264  -0.0207264  0.1759  -0.0692788  0.0347555  
CFR_IN  -1.80411e-16  0.018254  1.94289e-16  0.018254  0.000322477  -0.00247239  -0.00247239  0.227566  -0.06935  0.0554883  
A-CFR_IN  -0.018254  1.38778e-17  -0.018254  2.91434e-16  -0.0179315  -0.0207264  -0.0207264  0.1759  -0.0692788  0.0347555  
