learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
BPS-CFR  1.78821  1.72234  3.91857  0.150028  1.9274  2.1712  3.11774  3.84588  1.95146  1.71792  
TIPS-CFR  1.37112  1.36117  2.15181  0.165085  1.42118  2.08967  2.26765  2.01009  1.56231  1.44789  
CSPS-CFR  1.47477  1.31924  2.71923  0.165085  1.43021  2.07931  2.43021  2.66767  1.53286  1.33886  
CFPS-CFR  1.40499  1.49811  3.02854  0.165085  1.4067  2.05095  2.91161  2.88021  1.52238  1.47426  
CFPS-CFR_EX+IN  1.77739  1.70955  3.87248  0.148442  1.91669  2.17181  3.12712  3.74218  1.93859  1.7041  
TIPS-CFR_EX+IN  1.83808  1.77001  3.87584  0.14402  1.97889  2.15976  3.13148  3.71245  2.00114  1.7681  
BR  3.33274  3.26434  4.63953  0.973996  3.61876  2.78386  3.44598  4.89378  3.76505  3.32711  
t = 5
CFR  1.83709  1.70919  3.36102  0.501039  1.64754  2.87868  2.31679  3.53677  1.54869  1.97198  
CFR_EX+IN  1.93997  1.7556  3.38871  0.491517  1.6975  2.87845  2.31622  3.54258  1.56453  1.96072  
CFR_IN  2.04582  2.08512  2.85773  0.272983  1.8634  2.50762  2.5004  2.81069  1.87543  2.29977  
A-CFR_IN  1.51375  1.58689  1.86178  0.196641  1.63594  1.62334  1.6595  1.77479  1.66571  1.13095  
BPS-CFR  2.10489  1.96566  3.33091  0.43124  1.87935  2.94857  2.33225  3.57016  1.80046  2.18396  
TIPS-CFR  1.56711  1.48505  2.43952  0.25463  1.4542  2.2228  2.29529  2.6904  1.23577  1.60703  
CSPS-CFR  1.43659  1.17576  2.47356  0.490027  1.30381  2.71145  2.17288  2.87856  1.79777  1.33722  
CFPS-CFR  2.01288  2.07204  2.60414  0.264486  1.83125  2.53247  2.45446  2.72843  1.90801  2.2816  
CFPS-CFR_EX+IN  2.08806  1.9462  3.34402  0.440113  1.8879  2.93864  2.32855  3.5661  1.78256  2.17464  
TIPS-CFR_EX+IN  2.0253  1.89468  3.06268  0.371531  1.83293  2.80832  2.3393  3.49021  1.73591  1.95062  
BR  3.00675  2.86581  4.10744  0.93734  3.29288  3.18943  2.94626  4.00858  3.35826  3.36616  
t = 6
CFR  1.52478  1.72751  2.92161  0.744942  2.25755  2.37658  2.06297  3.2017  2.1016  2.06458  
CFR_EX+IN  1.4969  1.67625  2.94256  0.752406  2.15473  2.38216  2.05941  3.21594  1.99454  1.91921  
CFR_IN  1.29967  1.67565  2.97499  0.418063  1.73005  2.14709  2.18365  2.93256  1.86509  1.81811  
A-CFR_IN  1.1733  1.28757  1.90874  0.264886  1.48256  1.38119  1.68802  2.05825  1.29668  1.42626  
BPS-CFR  1.51183  1.70232  2.93883  0.674329  2.01411  2.42413  2.06868  3.20584  1.84362  1.87715  
TIPS-CFR  1.1953  1.57693  2.71863  0.422231  1.52943  2.11731  2.35485  2.95114  1.46295  1.58535  
CSPS-CFR  1.26442  1.67087  2.75325  0.633108  1.60623  2.08599  2.09355  2.27765  1.64484  1.80045  
CFPS-CFR  1.31549  1.65936  3.04777  0.410173  1.76269  2.13817  2.30554  2.84394  1.87837  1.82293  
CFPS-CFR_EX+IN  1.46042  1.66741  2.98802  0.709758  1.98643  2.41981  2.06348  3.21078  1.81215  1.83946  
TIPS-CFR_EX+IN  1.37196  1.63211  3.00508  0.623687  1.91394  2.36761  2.0436  3.15867  1.74812  1.78205  
BR  2.0572  2.34835  3.807  0.880455  2.9446  2.91001  2.81841  3.87724  2.81594  2.72674  
t = 7
CFR  1.66791  1.67251  3.10218  0.881636  1.51791  1.66066  1.84831  2.4913  1.53975  2.20648  
CFR_EX+IN  1.70464  1.74963  3.1421  0.851377  1.51219  1.66057  1.81334  2.48862  1.49638  2.13553  
CFR_IN  1.62519  1.84103  3.10371  0.666477  1.27288  1.85122  1.84772  2.56874  1.39956  1.91708  
A-CFR_IN  1.03497  1.23669  1.93718  0.299315  1.10871  1.40406  1.30224  1.65045  1.06896  1.47037  
BPS-CFR  1.66923  1.74688  3.20898  0.873279  1.42905  1.60829  1.83255  2.48145  1.42003  1.83469  
TIPS-CFR  1.44582  1.61735  3.04009  0.667005  1.00311  1.72148  1.79644  2.31219  1.1907  1.79168  
CSPS-CFR  1.70084  1.98471  3.01844  0.456261  1.30751  1.90159  1.87129  2.14179  1.23517  1.93547  
CFPS-CFR  1.58916  1.8224  3.20959  0.660992  1.22287  1.8566  1.81976  2.43574  1.35945  1.84468  
CFPS-CFR_EX+IN  1.67963  1.76914  3.29096  0.849596  1.3749  1.6094  1.81022  2.47715  1.34177  1.7995  
