learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
BR  0.462799  0.525484  0.99997  0.941987  0.467195  0.999969  0.99831  0.999964  0.509454  0.540682  0.999969  
t = 3
CFR  4.06576e-18  -0.00151471  0.28383  0.433565  0.00515076  0.224418  0.249554  0.279338  0.000848136  -0.00101544  0.228843  
CFR_EX+IN  0.00219131  2.14672e-17  0.240506  0.411387  0.0075184  0.182426  0.235967  0.235941  0.00197573  0.00143217  0.1862  
CFR_IN  0.025384  0.00237203  -2.08167e-17  0.241816  0.03265  -0.0585018  0.0575978  -0.00499344  0.00346814  0.0215199  -0.0559734  
A-CFR_IN  0.129722  0.0828147  0.267634  -1.59595e-16  0.104651  0.121992  -0.0925632  0.257572  0.0760639  0.0609562  0.12439  
BPS-CFR  -0.00501174  -0.00450505  0.281451  0.434023  3.75405e-18  0.222902  0.251035  0.277006  -0.00230461  -0.00395824  0.227308  
TIPS-CFR  0.178822  0.0318727  0.0818391  0.199164  0.190177  -8.67362e-19  0.0232663  0.0756497  0.0325427  0.0308848  0.00312092  
CSPS-CFR  0.106967  0.0332161  0.151169  0.253676  0.114354  0.0529987  6.93889e-18  0.144208  0.038311  0.0295057  0.0566213  
CFPS-CFR  0.0587629  0.0236836  0.00507077  0.23586  0.0669532  -0.0549105  0.0521294  -2.13588e-17  0.0241597  0.0346315  -0.0523495  
CFPS-CFR_EX+IN  -0.00130476  -0.00193879  0.238657  0.411767  0.00390538  0.181185  0.237271  0.234124  5.52943e-18  -0.00056287  0.18494  
TIPS-CFR_EX+IN  0.000256852  0.000121074  0.240283  0.414363  0.00546684  0.183742  0.24454  0.235825  0.0024805  4.55365e-18  0.187518  
BEHAV-CFR  0.189196  0.0490919  0.0794272  0.205953  0.199642  -0.00305689  0.0075042  0.0731675  0.0487344  0.0445276  1.30104e-17  
BR  0.294361  0.256038  0.980654  0.946964  0.299422  0.976886  0.934202  0.979941  0.262352  0.26192  0.977982  
t = 4
CFR  -1.16552e-18  0.00390129  0.16428  0.228952  0.00357736  0.138643  0.207712  0.160774  0.00778672  0.00460471  0.15051  
CFR_EX+IN  -0.0105836  1.53279e-17  0.141328  0.196648  -0.00754372  0.11453  0.186574  0.1384  0.00223221  0.000241589  0.126874  
CFR_IN  -0.0612067  0.00341119  -7.74798e-17  0.062018  -0.0567138  -0.00340766  -0.0198965  0.000169776  -0.00904966  0.00490701  0.00448496  
A-CFR_IN  0.0456334  0.064462  -0.00219154  6.93889e-18  0.0509169  -0.00712238  0.0401614  -0.00301773  0.0623279  0.046408  0.00725963  
BPS-CFR  -0.00282776  0.00138196  0.165189  0.232382  -4.66207e-18  0.139441  0.208414  0.161725  0.00476588  0.00172959  0.151134  
TIPS-CFR  -0.0118378  0.0200924  0.0225279  0.145728  0.00611178  -1.12757e-17  -0.0408746  0.0232939  0.0110224  0.0135062  0.00635357  
CSPS-CFR  -0.0035229  0.0131873  0.0748777  0.139604  2.54331e-05  0.0609974  1.38778e-17  0.076688  0.00749378  0.0101437  0.0671754  
CFPS-CFR  -0.0706186  -0.00437083  -0.000406374  0.0815582  -0.0666507  -0.00482132  -0.0189727  -1.191e-16  -0.0162648  -0.00293931  0.00486919  
CFPS-CFR_EX+IN  -0.0130077  -0.0016615  0.142752  0.203009  -0.0105097  0.113971  0.176499  0.139808  7.91468e-18  -0.00167322  0.127881  
TIPS-CFR_EX+IN  -0.00940979  0.00125781  0.148704  0.218143  -0.00766377  0.120444  0.183953  0.146284  0.00346122  1.23599e-17  0.131654  
BEHAV-CFR  0.0405913  0.0466307  0.016834  0.150782  0.0519784  -0.00858696  -0.0220816  0.0165984  0.0183771  0.0333398  -1.21431e-17  
BR  0.245469  0.185522  0.868125  0.725432  0.236535  0.897924  0.724144  0.866626  0.200884  0.17678  0.899343  
t = 5
CFR  -8.94467e-18  0.00523852  0.143181  0.0528138  0.00456644  0.124284  0.036646  0.139084  0.0071622  0.0216205  0.0918163  
CFR_EX+IN  -0.000973259  -5.42101e-19  0.124099  0.0366269  0.00228237  0.105568  0.0310331  0.120068  0.00427577  0.0216879  0.0754831  
CFR_IN  0.0347569  -0.00873066  -2.55872e-17  -0.0194724  0.0322999  0.0109323  0.0183764  -0.00108413  0.0383647  0.0899326  -0.00123625  
A-CFR_IN  0.100946  0.0951159  0.0744997  6.93889e-18  0.0976643  0.133342  0.0770528  0.0712224  0.107784  0.107451  0.126344  
BPS-CFR  -0.00298137  0.00250685  0.143331  0.0546913  1.30104e-18  0.123833  0.0366969  0.139251  0.000645248  0.0107178  0.0910525  
TIPS-CFR  0.0145764  0.00858686  0.00921653  -0.00872498  0.0232787  -1.60462e-17  0.00485576  0.00571836  0.0100555  0.0205965  -0.0113008  
CSPS-CFR  0.00711909  0.00424352  0.0301954  -0.00286041  0.0037466  0.0440352  -1.0842e-18  0.0261253  0.010243  0.0301573  0.023237  
CFPS-CFR  0.036078  0.00550858  0.0015469  -0.0180143  0.0322815  0.0142888  0.0167304  -4.77049e-18  0.0381371  0.0670385  0.000170643  
CFPS-CFR_EX+IN  -0.00271086  9.00302e-05  0.124444  0.0373999  -0.000630454  0.106895  0.0379452  0.12043  8.67362e-18  0.0112171  0.0761869  
TIPS-CFR_EX+IN  0.00149065  0.00667203  0.132228  0.0456048  0.00257856  0.117273  0.040244  0.128246  -0.000513512  -1.21431e-17  0.087935  
BEHAV-CFR  0.0202915  0.0177015  0.0125645  0.0024756  0.0151491  0.00903058  0.00112288  0.0102318  0.0177005  0.0238193  -1.04083e-17  
BR  0.130568  0.188216  0.627879  0.683824  0.158726  0.690763  0.581974  0.605432  0.207419  0.26578  0.675222  
t = 6
CFR  -6.83047e-18  0.00152634  -0.0195721  0.0630548  0.00278057  0.00823521  0.0370223  -0.0166684  0.0120071  0.0163142  0.0391492  
CFR_EX+IN  -0.000267478  9.54098e-18  -0.0241999  0.0383302  0.0015994  0.0122135  0.0250294  -0.0217101  0.00317147  -0.00385485  0.0392396  
CFR_IN  -0.0185063  0.00934486  -8.67362e-18  0.0129977  -0.0119468  0.0296205  0.0594584  0.00238348  -0.068217  -0.109672  0.0378313  
A-CFR_IN  0.0635928  0.0574268  0.0274281  9.1073e-18  0.0583959  0.0391402  0.122014  0.0393413  0.0203258  -0.0177884  0.0499873  
BPS-CFR  -0.00108678  -0.00424266  -0.0182335  0.0628355  -8.67362e-18  0.00916446  0.0444978  -0.0153436  0.0089352  0.0153976  0.0394625  
TIPS-CFR  0.0329258  0.0043292  -0.00899567  0.0211787  0.051825  -5.20417e-18  0.0242468  -0.00662086  -0.0237291  -0.054789  0.0159055  
CSPS-CFR  -0.00287166  -0.00596245  -0.0116507  0.0279418  -0.00433905  -0.0211946  -1.73472e-18  -0.00952364  -0.0113591  -0.0288271  -0.00232734  
