learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
TIPS-CFR_EX+IN  5.66226  5.66219  4.95954  0.771509  5.66225  6.01954  3.41598  5.12754  5.66219  5.66218  
t = 5
CFR  7.71992  7.5917  4.74551  1.0631  6.74486  4.63899  2.04259  4.76134  6.66435  7.47602  
CFR_EX+IN  7.62299  7.49057  4.83112  1.67017  6.71438  6.19827  2.68763  5.90831  6.6293  7.4242  
CFR_IN  10.3569  10.1835  8.17921  1.17066  10.1174  5.61747  4.11117  6.55772  10.4295  9.83412  
A-CFR_IN  1.72189  1.97108  4.83647  1.48355  1.48068  3.62829  2.44042  4.16229  1.40933  1.52377  
BPS-CFR  7.6723  7.54725  4.33127  1.24372  6.71065  4.57758  2.79824  4.33953  6.61705  7.80679  
TIPS-CFR  7.40887  7.15936  5.89254  1.0606  7.61045  6.00835  4.60491  6.0859  7.31542  6.47272  
CSPS-CFR  4.75779  4.36809  6.2503  2.06639  4.87669  5.52523  4.40456  6.46925  5.21635  4.98895  
CFPS-CFR  10.4238  9.56057  9.35818  1.23176  10.0433  6.85413  4.3381  7.55442  10.0755  9.94983  
CFPS-CFR_EX+IN  7.60023  7.47268  4.74054  0.986547  6.71367  6.10767  2.82504  4.55075  6.61946  7.77199  
TIPS-CFR_EX+IN  7.45889  7.32326  5.49951  1.67245  6.21634  6.1435  2.91788  4.93319  6.12238  7.31308  
t = 6
CFR  8.62464  8.5202  4.90468  1.66583  8.1865  4.34484  3.24508  5.22711  8.14569  8.52051  
CFR_EX+IN  8.5098  8.40132  4.94642  1.95064  8.18504  6.17357  3.63536  5.84343  8.16192  8.466  
CFR_IN  9.82087  9.24071  5.59487  1.20343  9.80686  5.39439  6.76175  8.23179  9.33361  9.76335  
A-CFR_IN  1.68383  3.45632  4.76612  1.32785  2.26183  2.51729  4.20067  3.76288  2.07144  2.61066  
BPS-CFR  5.92968  4.67205  5.10092  1.52659  5.41367  5.28469  3.76824  5.01523  5.41235  4.43818  
TIPS-CFR  8.29987  8.12837  6.61544  2.19002  7.09262  6.80441  6.82721  5.66944  8.52023  8.99424  
CSPS-CFR  3.39821  4.47551  5.15  1.35963  3.49069  7.26865  5.00111  4.91548  3.95646  5.11938  
CFPS-CFR  9.40157  9.72318  6.44552  1.85686  9.54762  6.17196  6.82096  7.29459  9.49571  10.2585  
CFPS-CFR_EX+IN  5.9248  4.77774  5.18558  2.06129  5.41461  7.20347  3.77277  4.68229  5.4131  4.44519  
TIPS-CFR_EX+IN  6.6292  6.53239  5.43245  1.48299  7.47896  5.58387  3.50332  4.37786  7.41479  7.08746  
t = 7
CFR  9.18287  9.13152  4.75906  1.63277  4.43579  4.67536  2.655  5.35842  4.39505  8.29977  
CFR_EX+IN  9.12463  9.06243  4.97772  2.03139  4.31273  4.13391  3.0672  4.74981  4.2242  8.26756  
CFR_IN  9.84862  9.60562  7.58795  1.75667  10.0868  4.6705  5.85134  6.39955  9.59464  9.96678  
A-CFR_IN  3.05043  4.20363  4.34715  1.07529  2.30738  2.48643  3.78716  3.79181  3.72422  3.45645  
BPS-CFR  7.42667  6.56647  5.61536  1.36764  5.02562  5.05687  3.09332  4.84009  5.02578  6.59216  
TIPS-CFR  10.324  10.2929  7.13383  1.70293  10.4042  7.09461  5.87119  6.62877  10.3599  10.8192  
CSPS-CFR  2.559  2.76388  6.27758  1.78952  2.3465  6.82582  5.08901  6.86267  3.26555  3.10247  
CFPS-CFR  9.24266  10.3809  6.48001  2.18302  8.88541  6.29246  6.68882  7.65638  10.088  8.56724  
CFPS-CFR_EX+IN  7.37778  5.76297  5.02144  1.81498  5.0256  6.45739  2.90107  4.6578  5.02575  6.64828  
TIPS-CFR_EX+IN  7.47081  7.47253  4.99377  1.34593  3.65343  5.67511  4.21092  4.83726  3.58846  6.97752  
t = 8
CFR  7.90967  7.81503  5.73267  1.40518  5.28241  5.72674  2.97772  5.1894  5.23198  4.37364  
