learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
CFR_IN  0.755833  0.723698  3.46945e-18  -0.509166  0.755136  0.0169414  -0.0545674  -0.0236409  0.723608  0.723557  0.0154742  
A-CFR_IN  0.275012  0.36436  0.509166  0  0.309059  0.531545  0.509052  0.517674  0.360613  0.388736  0.135894  
BPS-CFR  -0.0892692  -0.243042  -0.755136  -0.309059  0  -0.748192  -0.587031  -0.750778  -0.153316  -0.150725  -0.722143  
TIPS-CFR  0.749088  0.561853  -0.0169414  -0.531545  0.748192  -3.46945e-17  0.0116233  -0.0191951  0.516248  0.579428  0.0126267  
CSPS-CFR  0.598471  0.519048  0.0545674  -0.509052  0.587031  -0.0116233  -1.38778e-17  0.0200221  0.507681  0.414298  -0.074163  
CFPS-CFR  0.751674  0.722372  0.0236409  -0.517674  0.750778  0.0191951  -0.0200221  1.04083e-17  0.722005  0.721911  0.00363714  
CFPS-CFR_EX+IN  0.0910644  -0.0703779  -0.723608  -0.360613  0.153316  -0.516248  -0.507681  -0.722005  1.38778e-17  0.00150969  -0.502062  
TIPS-CFR_EX+IN  0.0888804  -0.0776233  -0.723557  -0.388736  0.150725  -0.579428  -0.414298  -0.721911  -0.00150969  1.38778e-17  -0.614797  
BEHAV-CFR  0.723922  0.56784  -0.0154742  -0.135894  0.722143  -0.0126267  0.074163  -0.00363714  0.502062  0.614797  1.04083e-17  
t = 4
CFR  1.38778e-17  0.0754471  -0.360619  -0.000234913  -0.0536805  -0.407806  0.0623043  -0.406291  0.00759321  0.00814677  -0.205863  
CFR_EX+IN  -0.0754471  4.25007e-17  -0.529975  -0.159627  -0.122808  -0.512157  -0.128717  -0.561745  -0.0746435  -0.067653  -0.449976  
CFR_IN  0.360619  0.529975  1.38778e-17  0.271159  0.365295  -0.120554  -0.0921747  -0.0150626  0.530338  0.513799  -0.111219  
A-CFR_IN  0.000234913  0.159627  -0.271159  0  0.214608  -0.298541  -0.248838  -0.393358  0.155363  0.124335  0.0775257  
BPS-CFR  0.0536805  0.122808  -0.365295  -0.214608  2.77556e-17  -0.424076  0.103001  -0.42146  0.0566472  0.057607  -0.308975  
TIPS-CFR  0.407806  0.512157  0.120554  0.298541  0.424076  0  0.152881  0.0773423  0.599617  0.660102  -0.0746651  
CSPS-CFR  -0.0623043  0.128717  0.0921747  0.248838  -0.103001  -0.152881  2.08167e-17  -0.113417  -0.00642726  0.194267  -0.232915  
CFPS-CFR  0.406291  0.561745  0.0150626  0.393358  0.42146  -0.0773423  0.113417  -1.38778e-17  0.543846  0.562707  0.0207338  
CFPS-CFR_EX+IN  -0.00759321  0.0746435  -0.530338  -0.155363  -0.0566472  -0.599617  0.00642726  -0.543846  1.30104e-17  -0.00088831  -0.639232  
TIPS-CFR_EX+IN  -0.00814677  0.067653  -0.513799  -0.124335  -0.057607  -0.660102  -0.194267  -0.562707  0.00088831  -1.38778e-17  -0.48457  
BEHAV-CFR  0.205863  0.449976  0.111219  -0.0775257  0.308975  0.0746651  0.232915  -0.0207338  0.639232  0.48457  -3.46945e-18  
t = 5
CFR  1.38778e-17  0.0864452  -0.249864  -0.0850689  -0.0358761  -0.0648653  0.0888405  -0.304395  0.0720508  0.0640754  -0.40521  
CFR_EX+IN  -0.0864452  -1.38778e-17  -0.343222  0.0640167  -0.136621  -0.473912  -0.0181926  -0.390967  -0.0364399  -0.0331623  -0.496273  
