learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(1)  PGPI(100/sqrt(T))  PI  
CFR  8.76035e-19  0.00804061  0.473723  0.442274  0.648923  0.382883  0.544813  
CFR+  -0.0116656  2.64545e-19  0.456491  0.424325  0.648914  0.373854  0.493142  
A-CFR  -0.0366419  -0.0404871  4.85723e-19  0.319668  0.594438  0.299268  0.507581  
A-CFR+  -0.115113  -0.0949275  0.415484  -1.97325e-19  0.60099  0.297355  0.418286  
PGPI(1)  -0.421774  -0.441597  -0.248622  -0.292028  -1.06252e-18  -0.222934  -0.0495547  
PGPI(100/sqrt(T))  -0.206414  -0.215892  0.194954  0.117646  0.288166  -6.27418e-19  0.295264  
PI  -0.129782  -0.0285992  0.392801  0.381999  0.650632  0.350054  0  
BR  0.650191  0.323581  0.605117  0.530336  0.658654  0.459974  0.9675  
