learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.4917e-17  0.000225746  0.0580341  0.0546977  0.1991  0.393805  0.000271836  0.000195275  0.0600595  0.0553863  
CFR+  -0.00132947  -1.71805e-17  0.0568418  0.0543515  0.197856  0.386959  -0.00154401  -1.25367e-05  0.0584147  0.0549678  
A-CFR  -0.0221603  -0.0086776  1.96268e-17  -0.000817807  0.145586  0.337918  -0.0244591  -0.0073771  -0.00117187  -0.000794279  
A-CFR+  -0.02356  -0.00890283  -0.00663957  2.40294e-17  0.151005  0.33026  -0.0261992  -0.00759273  -0.00316844  -0.00107289  
PGPI(0.1/U)  -0.0645308  -0.0562042  -0.0779295  -0.0751441  2.95826e-17  0.223122  -0.0652629  -0.0558072  -0.0803886  -0.0749369  
PI  -0.0514911  -0.00224517  -0.0134407  0.0452621  0.174856  2.42215e-17  -0.0163969  -0.00142184  0.0305619  0.050773  
CFR_IN  7.29392e-05  0.000225746  0.0580341  0.0546977  0.1991  0.393805  1.93497e-16  0.000195275  0.0600595  0.0553863  
CFR+_IN  -0.00132947  -7.30081e-06  0.0568418  0.0543515  0.197856  0.386959  -0.00154401  9.86327e-17  0.0584147  0.0549678  
A-CFR_IN  -0.0221603  -0.0086776  -0.00555791  -0.000817807  0.145586  0.337918  -0.0244591  -0.0073771  1.89801e-16  -0.000794279  
A-CFR+_IN  -0.02356  -0.00890283  -0.00663957  -0.00100976  0.151005  0.33026  -0.0261992  -0.00759273  -0.00316844  9.06367e-17  
BR  0.117483  0.0080749  0.196108  0.107031  0.232868  0.692444  0.126599  0.00912043  0.19917  0.107251  
