learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFPS-EFR_EX+IN  (-0.0117649, 2)  (2.31296e-18, 7)  (0.0670391, 21)  (0.0670391, 19)  (-0.0117649, 3)  (0.0670391, 22)  (0.0670391, 30)  (0.0670391, 20)  (-2.31296e-18, 7)  (-2.31296e-18, 9)  (0.0670391, 25)  
TIPS-EFR_EX+IN  (-0.0117649, 2)  (2.31296e-18, 6)  (0.0670391, 22)  (0.0670391, 19)  (-0.0117649, 3)  (0.0670391, 23)  (0.0670391, 30)  (0.0670391, 20)  (0, 6)  (-2.31296e-18, 9)  (0.0670391, 24)  
BEHAV-EFR  (-0.0679328, 4)  (-0.0580506, 6)  (2.02384e-17, 22)  (-7.39557e-32, 20)  (-0.0679328, 4)  (-6.07153e-17, 23)  (-9.25186e-18, 31)  (3.98986e-17, 21)  (-0.0580506, 6)  (-0.0580506, 9)  (7.39557e-32, 24)  
t = 2
CFR  (2.31296e-17, 19)  (0.0195088, 30)  (0.122225, 29)  (0.122216, 31)  (4.56929e-06, 17)  (0.120496, 29)  (0.118483, 33)  (0.122225, 30)  (0.0195092, 35)  (0.0183451, 36)  (0.104897, 43)  
CFR_EX+IN  (-0.0159906, 18)  (6.93889e-18, 46)  (0.09289, 43)  (0.0928846, 42)  (-0.0159871, 27)  (0.0920095, 45)  (0.0922574, 46)  (0.0928898, 39)  (4.08003e-07, 52)  (-0.000570743, 53)  (0.0769005, 46)  
CFR_IN  (0.00434, 19)  (0.0132297, 48)  (1.04083e-17, 42.5)  (-4.63338e-07, 43)  (0.00434265, 27)  (1.26977e-07, 45)  (0.00124669, 62)  (-1.86415e-08, 42)  (0.0132303, 44)  (0.0132279, 42)  (5.24906e-06, 41)  
A-EFR_IN  (-8.94828e-05, 18)  (0.0110726, 47)  (5.26386e-07, 45)  (-3.46945e-18, 42.5)  (-8.68993e-05, 26)  (6.72019e-07, 45)  (0.00113997, 54)  (5.05502e-07, 43)  (0.0110732, 46)  (0.0110708, 43)  (6.23268e-06, 43)  
BPS-EFR  (-4.46787e-06, 19)  (0.0195076, 46)  (0.122225, 42)  (0.122217, 44)  (1.96602e-17, 26)  (0.120497, 41)  (0.118483, 47)  (0.122225, 42)  (0.0195079, 47)  (0.0183439, 44)  (0.104897, 43)  
TIPS-EFR  (0.00534304, 19)  (0.0137738, 49)  (-1.23202e-07, 44)  (-5.7439e-07, 43)  (0.00534571, 28)  (-1.61908e-17, 45.5)  (0.00124639, 53)  (-1.41412e-07, 47)  (0.0137744, 45)  (0.013772, 46)  (5.03338e-06, 42)  
CSPS-EFR  (-0.000234743, 18)  (0.0102588, 47)  (2.77008e-06, 43)  (1.3384e-06, 48)  (-0.000232425, 27)  (3.13979e-06, 45)  (-7.51714e-18, 59)  (2.71699e-06, 42)  (0.0102593, 45)  (0.0102574, 48)  (1.39705e-05, 40)  
CFPS-EFR  (0.00433981, 19)  (0.0132297, 46)  (1.87213e-08, 43)  (-4.46859e-07, 43)  (0.00434246, 27)  (1.46362e-07, 44)  (0.00124673, 60)  (-3.46945e-18, 42.5)  (0.0132303, 45)  (0.0132278, 45)  (5.28404e-06, 42)  
CFPS-EFR_EX+IN  (-0.0159921, 19)  (-3.97367e-07, 49)  (0.0928901, 42)  (0.0928847, 42)  (-0.0159887, 26)  (0.0920096, 45)  (0.0922577, 48)  (0.0928899, 44)  (1.96602e-17, 51.5)  (-0.000571115, 51)  (0.0769008, 43)  
TIPS-EFR_EX+IN  (-0.0148718, 21)  (0.000582374, 46)  (0.0928897, 40)  (0.0928843, 42)  (-0.0148683, 27)  (0.0920091, 43)  (0.0922566, 47)  (0.0928894, 43)  (0.000582802, 49)  (2.54426e-17, 51)  (0.0768998, 42)  
BEHAV-EFR  (0.0220718, 27)  (0.0271805, 48)  (-3.00478e-06, 42)  (-3.17219e-06, 42)  (0.0220747, 27)  (-2.96967e-06, 45)  (0.00123945, 54)  (-3.01291e-06, 46)  (0.0271812, 46)  (0.0271784, 42)  (-1.85037e-17, 43.5)  
t = 3
CFR  (-4.62607e-18, 32.5)  (0.0633325, 35)  (0.164817, 42)  (0.153363, 40)  (0.00141538, 29)  (0.166043, 43)  (0.135544, 47)  (0.165148, 46)  (0.0642828, 42)  (0.0637105, 52)  (0.169886, 61)  
CFR_EX+IN  (-0.0458871, 29)  (1.15645e-17, 59)  (0.0970559, 57)  (0.0840379, 60)  (-0.0445037, 44)  (0.0981104, 65)  (0.0697757, 66)  (0.0971378, 59)  (0.000879851, 64)  (0.00024858, 65)  (0.100427, 60)  
CFR_IN  (0.0123645, 32)  (0.0173851, 54)  (4.62593e-18, 51.5)  (0.0055553, 58)  (0.0130233, 44)  (-0.000949231, 57)  (0.0532791, 62)  (9.46496e-05, 50)  (0.0175243, 51)  (0.0170081, 54)  (0.00161027, 57)  
