learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFPS-EFR  (-0.746667, 5)  (-0.730435, 6)  (-8.88178e-16, 8)  (-8.88178e-16, 8)  (-0.746667, 7)  (0, 7)  (-0.742549, 7)  (0, 7)  (-0.730435, 7)  (-0.730435, 8)  (-8.88178e-16, 7)  
CFPS-EFR_EX+IN  (-0.0162319, 5)  (4.44089e-16, 6)  (0.730435, 8)  (0.730435, 8)  (-0.0162319, 7)  (0.730435, 8)  (-0.0121142, 7)  (0.730435, 8)  (0, 7)  (0, 8)  (0.730435, 7)  
TIPS-EFR_EX+IN  (-0.0162319, 6)  (4.44089e-16, 6)  (0.730435, 8)  (0.730435, 8)  (-0.0162319, 7)  (0.730435, 8)  (-0.0121142, 7)  (0.730435, 8)  (0, 7)  (0, 8)  (0.730435, 7)  
BEHAV-EFR  (-0.746667, 5)  (-0.730435, 6)  (0, 8)  (0, 8)  (-0.746667, 7)  (1.11022e-15, 8)  (-0.742549, 7)  (1.11022e-15, 7)  (-0.730435, 7)  (-0.730435, 8)  (0, 7)  
BR  (2.57885, 2)  (2.57811, 2)  (3.06667, 3)  (3.06667, 3)  (2.57885, 3)  (3.06667, 4)  (2.5292, 3)  (3.06667, 3)  (2.57811, 3)  (2.57811, 3)  (3.06667, 3)  
t = 2
CFR  (0, 8)  (-0.0134148, 7)  (0.102675, 9)  (1.40712, 7)  (0.0258926, 9)  (0.11663, 9)  (0.0548123, 9)  (0.117502, 9)  (0.0116129, 10)  (0.0102578, 10)  (0.175408, 9)  
CFR_EX+IN  (0.0139099, 8)  (0, 8)  (0.10883, 9)  (1.43038, 8)  (0.0408955, 11)  (0.123471, 10)  (0.0628605, 11)  (0.12439, 10)  (0.0260085, 11)  (0.0244987, 12)  (0.186782, 9)  
CFR_IN  (0.0401007, 8)  (0.0201868, 8)  (-2.22045e-16, 9)  (1.36927, 8)  (0.0823558, 10)  (0.0253805, 9)  (0.0529686, 10)  (0.0267354, 10)  (0.0605286, 10)  (0.0573848, 11)  (0.124365, 9)  
A-EFR_IN  (-1.84371, 7)  (-1.87028, 8)  (-1.36927, 9)  (0, 7)  (-1.78972, 10)  (-1.34782, 9)  (-1.82722, 10)  (-1.34648, 9)  (-1.81929, 10)  (-1.82342, 11)  (-1.25254, 8)  
