learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFR_IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
A-CFR_IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
BPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
TIPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CSPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFPS-CFR  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
CFPS-CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
TIPS-CFR_EX+IN  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  -0.171347  
BR  1.27701  1.27701  1.27701  1.27701  1.27701  1.27701  1.27701  1.27701  1.27701  1.27701  
t = 1
CFR  0.0331238  0.0269957  -0.0309922  -0.0309922  0.0331238  -0.0309922  -0.0309922  -0.0309922  0.0269957  0.0269957  
CFR_EX+IN  0.0385746  0.0324522  -0.0256361  -0.0256361  0.0385746  -0.0256361  -0.0256361  -0.0256361  0.0324522  0.0324522  
CFR_IN  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
A-CFR_IN  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
BPS-CFR  0.0331238  0.0269957  -0.0309922  -0.0309922  0.0331238  -0.0309922  -0.0309922  -0.0309922  0.0269957  0.0269957  
TIPS-CFR  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
CSPS-CFR  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
CFPS-CFR  0.0859857  0.0803938  0.025  0.025  0.0859857  0.025  0.025  0.025  0.0803938  0.0803938  
CFPS-CFR_EX+IN  0.0385746  0.0324522  -0.0256361  -0.0256361  0.0385746  -0.0256361  -0.0256361  -0.0256361  0.0324522  0.0324522  
TIPS-CFR_EX+IN  0.0385746  0.0324522  -0.0256361  -0.0256361  0.0385746  -0.0256361  -0.0256361  -0.0256361  0.0324522  0.0324522  
BR  0.125477  0.121969  0.1  0.1  0.125477  0.1  0.1  0.1  0.121969  0.121969  
t = 2
CFR  0.0411241  0.0429069  0.0392231  0.0332278  0.0413613  0.0332278  0.0378803  0.0364196  0.0438556  0.0488644  
CFR_EX+IN  0.0428427  0.0447615  0.0439634  0.0389088  0.0431348  0.0389088  0.0435329  0.0416024  0.0459315  0.0523163  
CFR_IN  0.0495649  0.0554726  0.0805031  0.0883465  0.0500999  0.0883465  0.0908322  0.0841813  0.0577319  0.0708157  
A-CFR_IN  0.0588153  0.0622767  0.095184  0.103027  0.059205  0.103027  0.106015  0.0988621  0.0636635  0.072804  
BPS-CFR  0.0421915  0.0443571  0.0425045  0.0366668  0.042435  0.0366668  0.0413387  0.0397762  0.0453441  0.0503092  
TIPS-CFR  0.0681174  0.0741527  0.095184  0.103027  0.0689576  0.103027  0.106015  0.0988621  0.0771923  0.0924711  
CSPS-CFR  0.0670014  0.0730636  0.0980296  0.107104  0.067744  0.107104  0.109952  0.102307  0.0758958  0.0903903  
CFPS-CFR  0.0574529  0.0636352  0.0878436  0.0956869  0.0580271  0.0956869  0.0984235  0.0915217  0.0661436  0.0800066  
CFPS-CFR_EX+IN  0.0448487  0.047419  0.0489248  0.044052  0.0451555  0.044052  0.0487448  0.0466511  0.0486714  0.0551824  
TIPS-CFR_EX+IN  0.049338  0.0536756  0.0564601  0.0518323  0.0497962  0.0518323  0.0566535  0.0543043  0.0553998  0.0632623  
BR  0.136528  0.152591  0.171762  0.39616  0.140596  0.39616  0.403006  0.279343  0.165035  0.239527  
t = 3
CFR  0.0857178  0.111854  0.0971153  0.276961  0.116335  0.276961  0.737399  0.0996391  0.152961  0.253998  
CFR_EX+IN  0.0868066  0.11181  0.117629  0.261601  0.11802  0.261601  0.844847  0.137549  0.159223  0.249351  
CFR_IN  0.0747891  0.0831738  0.223955  0.233328  0.0987424  0.233328  1.37447  0.232349  0.10962  0.163371  
A-CFR_IN  0.156226  0.247905  0.23099  0.239872  0.188976  0.239872  0.536739  0.239134  0.241658  0.22803  
BPS-CFR  0.0819771  0.105472  0.109721  0.300591  0.1109  0.300591  0.825817  0.112163  0.1471  0.245916  
TIPS-CFR  0.0615382  0.0592113  0.23099  0.239872  0.0810591  0.239872  1.34909  0.239134  0.0999384  0.163745  
CSPS-CFR  0.0675139  0.0649847  0.231283  0.241408  0.0869631  0.24009  1.55145  0.239389  0.106997  0.169838  
CFPS-CFR  0.0676682  0.0713963  0.22992  0.239079  0.0887133  0.239079  1.41362  0.238206  0.113152  0.186102  
CFPS-CFR_EX+IN  0.0829981  0.106469  0.131905  0.290904  0.112276  0.290904  0.944958  0.155758  0.152462  0.241196  
TIPS-CFR_EX+IN  0.0759272  0.0929258  0.153807  0.329401  0.102413  0.329401  1.10523  0.182597  0.138918  0.222975  
BR  0.337714  0.455251  0.739737  0.819072  0.453757  0.819072  2.81525  0.801122  0.612562  0.890263  
t = 4
CFR  0.0636225  0.0553992  0.278927  0.289265  0.0610462  0.289277  0.269199  0.264946  0.0553237  0.0744359  
CFR_EX+IN  0.0661209  0.0553813  0.239753  0.253772  0.0622249  0.253786  0.270314  0.233202  0.0556414  0.0715977  
CFR_IN  0.069289  0.0629443  0.133967  0.133319  0.066671  0.133335  0.222312  0.133413  0.059742  0.0118853  
A-CFR_IN  0.116168  0.116528  0.132847  0.132957  0.100316  0.132972  0.323659  0.132915  0.104645  0.0325788  
BPS-CFR  0.0670127  0.0574741  0.232593  0.245507  0.0635488  0.24552  0.269191  0.21993  0.0576737  0.0733529  
TIPS-CFR  0.0830286  0.0697601  0.132837  0.132946  0.0754847  0.132961  0.182382  0.132905  0.0684647  0.00458706  
CSPS-CFR  0.08777  0.0722148  0.132826  0.132917  0.0796714  0.132932  0.269445  0.132882  0.0711558  0.0420794  
CFPS-CFR  0.0745464  0.0647014  0.133405  0.13314  0.0692024  0.133155  0.222804  0.133165  0.0629653  0.0148024  
CFPS-CFR_EX+IN  0.070537  0.0588168  0.203631  0.219993  0.0657844  0.220008  0.269317  0.19854  0.0593122  0.0745152  
TIPS-CFR_EX+IN  0.0759361  0.0622108  0.168966  0.18911  0.0701197  0.189126  0.26923  0.166976  0.0639849  0.0691235  
BR  0.135402  0.134374  0.721489  0.724443  0.135166  0.724448  1.23381  0.723584  0.140021  0.173832  
t = 5
CFR  0.0800937  0.0714515  0.0825479  0.0362144  0.0776273  0.0370972  0.46476  0.0663517  0.0729841  0.0952574  
CFR_EX+IN  0.0866949  0.0758419  0.0745281  0.0360153  0.0833388  0.0368386  0.46503  0.0560308  0.0786856  0.101996  
CFR_IN  0.100647  0.086791  0.0340285  0.0196755  0.0955734  0.0166657  0.461658  0.0332174  0.0806462  0.0832193  
A-CFR_IN  0.129637  0.132132  0.0325216  0.0343046  0.111214  0.0351305  0.503451  0.0315909  0.12753  0.0907866  
BPS-CFR  0.0860804  0.0755595  0.0659744  0.0217173  0.0828314  0.0225649  0.414323  0.0505513  0.0775048  0.100054  
TIPS-CFR  0.107898  0.0959565  0.0324986  0.0333767  0.105317  0.0342041  0.321555  0.0311562  0.0985294  0.10438  
CSPS-CFR  0.113186  0.0990762  0.0317403  0.0316283  0.109745  0.0326131  0.335934  0.0302468  0.102983  0.11455  
CFPS-CFR  0.106116  0.0901739  0.0347045  0.0320845  0.0993301  0.0318793  0.459112  0.0338658  0.0925853  0.106579  
CFPS-CFR_EX+IN  0.0928248  0.0814194  0.0606108  0.0242457  0.0895909  0.0250503  0.415878  0.0422999  0.0840456  0.10553  
TIPS-CFR_EX+IN  0.0997691  0.0896158  0.0509065  0.0165934  0.0973682  0.0173935  0.40088  0.0336  0.0922941  0.103227  
BR  0.156258  0.158776  0.332627  0.333629  0.16588  0.333977  0.949631  0.331656  0.194433  0.331952  
t = 6
CFR  0.110435  0.0938824  0.10025  0.0426197  0.105444  0.0559706  0.280831  0.0797769  0.0978531  0.112424  
CFR_EX+IN  0.116407  0.101872  0.0957291  0.0414798  0.112798  0.0548613  0.275947  0.0721497  0.109612  0.116801  
CFR_IN  0.133344  0.112916  0.0287359  0.0265869  0.131271  0.0400351  0.330819  0.0320732  0.101679  0.0915806  
A-CFR_IN  0.151879  0.135619  0.00173805  0.0283312  0.127755  0.0417693  0.439271  0.0196938  0.131974  0.0889707  
BPS-CFR  0.11726  0.0998751  0.0982681  0.0390413  0.112464  0.0523812  0.327815  0.0786038  0.104649  0.121281  
TIPS-CFR  0.12764  0.112697  0.00150208  0.0135021  0.128067  0.0269785  0.299371  0.00552872  0.126765  0.121944  
CSPS-CFR  0.134079  0.128029  0.00118407  -0.00424985  0.132084  0.00927686  0.265468  0.0048585  0.135566  0.117803  
CFPS-CFR  0.133154  0.115131  0.0187152  0.0269718  0.132249  0.040416  0.317676  0.027596  0.125301  0.109566  
CFPS-CFR_EX+IN  0.122147  0.107779  0.0942629  0.0388997  0.118894  0.05227  0.290198  0.0710518  0.115198  0.123962  
TIPS-CFR_EX+IN  0.126066  0.113738  0.0926337  0.039535  0.122327  0.0528965  0.265832  0.0704732  0.120673  0.124428  
BR  0.278424  0.281878  0.262641  0.266688  0.318656  0.280215  0.807132  0.27404  0.379558  0.46494  
t = 7
CFR  0.150801  0.11887  0.0299363  -0.0166739  0.145464  -0.021084  0.0262621  -0.00088617  0.148867  0.142109  
CFR_EX+IN  0.156166  0.12862  0.0420852  -0.0226788  0.149504  -0.0270825  0.0233227  -0.00418017  0.158981  0.140261  
CFR_IN  0.160785  0.14274  0.0127981  -0.0318308  0.156911  -0.0361831  0.0819103  -0.01548  0.114541  -0.0047211  
A-CFR_IN  0.183067  0.12926  -0.028456  -0.0490018  0.151261  -0.0533407  0.231223  -0.0367933  0.120014  0.0737535  
BPS-CFR  0.161593  0.126576  0.0263034  -0.0176471  0.155476  -0.0220615  0.105294  -0.00225087  0.158823  0.146529  
TIPS-CFR  0.159184  0.125338  -0.0280696  -0.049908  0.156826  -0.0542453  0.161937  -0.0387822  0.103734  0.143642  
CSPS-CFR  0.167375  0.147335  -0.0289127  -0.0519195  0.162046  -0.0562552  0.150878  -0.0398083  0.170699  0.20759  
CFPS-CFR  0.159092  0.138667  -0.00323911  -0.0385307  0.15575  -0.0428775  0.0610216  -0.0236075  0.120413  0.0959496  
CFPS-CFR_EX+IN  0.164389  0.133583  0.0388496  -0.0225675  0.157509  -0.0269775  0.0919212  -0.00506469  0.163968  0.141176  
TIPS-CFR_EX+IN  0.170299  0.136551  0.0356232  -0.0194023  0.165162  -0.0238193  0.0943725  -0.00518584  0.160674  0.166574  
BR  0.465774  0.428188  0.133645  0.14955  0.525696  0.145263  0.549185  0.149946  0.584805  0.638102  
t = 8
CFR  0.234977  0.168382  0.05  0.0465263  0.216114  0.0437407  0.219356  0.0328646  0.207223  0.0264697  
CFR_EX+IN  0.241073  0.175725  0.05  0.042266  0.217863  0.0394739  0.205384  0.0449505  0.209554  0.0872294  
CFR_IN  0.218856  0.163072  0.05  0.0419699  0.209634  0.0392715  0.0908239  0.0392447  0.105022  0.393826  
A-CFR_IN  0.236513  0.168128  0.05  0.0317239  0.195296  0.0290301  0.197796  0.027743  0.202465  0.226477  
BPS-CFR  0.245236  0.174879  0.05  0.046933  0.225705  0.0441395  0.199066  0.0307444  0.215482  0.0400684  
TIPS-CFR  0.206215  0.0908376  0.05  0.033993  0.193136  0.0312816  0.219294  0.026557  0.0860573  0.261052  
