learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFR_IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
A-CFR_IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
BPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
TIPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CSPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFPS-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
CFPS-CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
TIPS-CFR_EX+IN  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
BEHAV-CFR  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  0.0202949  
t = 1
CFR  0.382081  0.380594  0.338152  0.338152  0.382081  0.338152  0.338152  0.338152  0.380594  0.380594  0.338152  
CFR_EX+IN  0.379749  0.378215  0.335048  0.335048  0.379749  0.335048  0.335048  0.335048  0.378215  0.378215  0.335048  
CFR_IN  0.381885  0.377052  0.3  0.3  0.381885  0.3  0.3  0.3  0.377052  0.377052  0.3  
A-CFR_IN  0.381885  0.377052  0.3  0.3  0.381885  0.3  0.3  0.3  0.377052  0.377052  0.3  
BPS-CFR  0.382081  0.380594  0.338152  0.338152  0.382081  0.338152  0.338152  0.338152  0.380594  0.380594  0.338152  
TIPS-CFR  0.381885  0.377052  0.3  0.3  0.381885  0.3  0.3  0.3  0.377052  0.377052  0.3  
CSPS-CFR  0.381885  0.377052  0.3  0.3  0.381885  0.3  0.3  0.3  0.377052  0.377052  0.3  
CFPS-CFR  0.381885  0.377052  0.3  0.3  0.381885  0.3  0.3  0.3  0.377052  0.377052  0.3  
CFPS-CFR_EX+IN  0.379749  0.378215  0.335048  0.335048  0.379749  0.335048  0.335048  0.335048  0.378215  0.378215  0.335048  
TIPS-CFR_EX+IN  0.379749  0.378215  0.335048  0.335048  0.379749  0.335048  0.335048  0.335048  0.378215  0.378215  0.335048  
BEHAV-CFR  0.381885  0.377052  0.3  0.3  0.381885  0.3  0.3  0.3  0.377052  0.377052  0.3  
t = 2
CFR  3.40052  3.46935  3.24593  1.08586  3.51201  3.26664  3.24946  3.27822  3.55984  3.6724  3.17862  
CFR_EX+IN  3.43924  3.50731  3.27045  1.08938  3.55073  3.2907  3.27361  3.30264  3.59805  3.71095  3.20736  
CFR_IN  2.05344  2.15111  3.48155  1.10311  2.146  3.48748  3.38124  3.52035  2.23091  2.33292  3.45965  
A-CFR_IN  1.27145  1.3235  1.84021  0.396137  1.33781  1.84277  1.84426  1.86573  1.38058  1.45376  1.82475  
BPS-CFR  3.46369  3.53247  3.32375  1.12347  3.57518  3.34442  3.32683  3.35642  3.62301  3.73565  3.25547  
TIPS-CFR  2.05988  2.1574  3.48122  1.10665  2.1523  3.48701  3.37971  3.51992  2.23709  2.33897  3.45923  
CSPS-CFR  2.0546  2.15176  3.60238  1.11195  2.14673  3.6092  3.50192  3.64312  2.2312  2.33276  3.57602  
CFPS-CFR  2.06338  2.16143  3.50309  1.11361  2.15614  3.50901  3.40082  3.54203  2.2414  2.34363  3.48106  
CFPS-CFR_EX+IN  3.49055  3.55874  3.3372  1.12112  3.60211  3.35745  3.34003  3.36974  3.64959  3.76262  3.27326  
TIPS-CFR_EX+IN  3.5543  3.62264  3.4214  1.16129  3.66593  3.44164  3.42379  3.45436  3.71362  3.82681  3.35639  
BEHAV-CFR  2.04025  2.13641  3.45212  1.09631  2.13185  3.45791  3.3548  3.49057  2.21538  2.31634  3.4304  
t = 3
CFR  1.77236  1.77048  2.47376  1.46114  1.77071  2.05918  1.76632  2.21676  1.76966  1.76923  1.8526  
CFR_EX+IN  1.77377  1.77186  2.31733  1.28889  1.77168  2.16091  1.8515  2.07065  1.77078  1.77017  1.85142  
CFR_IN  1.46179  1.51842  1.74898  1.06364  1.46385  1.77214  2.16308  1.74894  1.52048  1.52278  1.74894  
A-CFR_IN  1.87598  1.86722  2.11585  0.711548  1.90814  1.63817  2.4489  2.11597  1.87201  1.93333  2.11581  
BPS-CFR  1.77317  1.77173  2.46807  1.46113  1.77158  2.16231  1.76697  2.21021  1.7709  1.77042  1.85259  
TIPS-CFR  1.50766  1.41594  1.73943  1.06296  1.41642  1.72657  2.34307  1.79039  1.59842  1.50718  1.73939  
