learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
BEHAV-CFR  -0.0685334  0.0230962  -0.00201067  -0.166288  -0.00127917  -1.71044e-15  0.0183249  -0.00194472  0.10702  0.237581  2.44515e-06  
BR  1  1  0.989873  0.988201  1  0.987451  0.886253  0.989891  1  1  0.988042  
t = 3
CFR  -1.38778e-17  -0.0939993  0.430459  0.0100879  0.0405488  0.413181  -0.157748  0.436425  -0.0632185  -0.00458585  0.402974  
CFR_EX+IN  0.104844  1.38778e-16  0.482213  0.0563283  0.141279  0.467217  -0.158911  0.48844  0.0278414  0.0765623  0.452498  
CFR_IN  0.203435  0.273298  0.000297058  -0.298726  0.203068  0.024338  -0.0945879  0.0139979  0.269549  0.275187  0.0313886  
A-CFR_IN  -0.234215  -0.161502  0.312061  2.15106e-16  -0.231814  0.276218  0.127678  0.296059  -0.162901  -0.142988  0.250125  
BPS-CFR  -0.0487516  -0.123336  0.442957  0.0244001  0  0.41958  -0.156301  0.432162  -0.0876419  -0.026159  0.40785  
TIPS-CFR  0.19724  0.413546  0.00437855  -0.301863  0.196578  0.0002333  -0.111821  -0.00747061  0.407558  0.404867  -0.00507347  
CSPS-CFR  0.102839  0.273347  0.423517  -0.224084  0.11861  0.403778  4.85723e-17  0.420876  0.253392  0.210358  0.394923  
CFPS-CFR  0.202795  0.272311  -0.00324267  -0.29803  0.201818  0.00147229  -0.0967204  0.000111244  0.26776  0.271068  0.0072498  
CFPS-CFR_EX+IN  0.0501758  -0.0370579  0.485461  0.0679673  0.0980796  0.47056  -0.162914  0.485084  5.55112e-17  0.0558423  0.455952  
TIPS-CFR_EX+IN  -0.0794858  -0.135195  0.507171  0.0990839  -0.0123653  0.4794  -0.164721  0.487311  -0.0748095  6.93889e-17  0.472675  
BEHAV-CFR  0.199583  0.414517  -0.00118554  -0.286652  0.198469  -0.000544139  -0.108818  -0.0114131  0.408331  0.405296  0.000232324  
BR  0.996336  0.999251  0.977535  1  0.993752  0.972561  0.927324  0.977648  0.994774  0.915747  0.974463  
t = 4
CFR  1.38778e-17  -0.0582244  0.199907  -0.0750869  -0.0130519  -0.234963  -0.190897  0.0875921  -0.084445  -0.116034  -0.246683  
CFR_EX+IN  0.0408699  1.40513e-16  0.197885  -0.112831  0.0314844  -0.235169  -0.185014  0.0871751  -0.0242501  -0.0590336  -0.248403  
CFR_IN  0.51263  0.376933  0.000149475  -0.158026  0.508035  -0.0453078  -0.543972  -0.0635025  0.354029  0.322544  -0.0362199  
A-CFR_IN  0.034362  0.503364  0.0859513  1.22125e-15  0.14348  0.149249  -0.152131  0.0717459  0.49212  0.465687  0.0150769  
BPS-CFR  0.0139013  -0.0435753  0.197657  -0.0762632  2.77556e-17  -0.227292  -0.185147  0.0909638  -0.071036  -0.107124  -0.24585  
TIPS-CFR  0.513017  0.426848  0.11623  0.7984  0.510953  0.0010005  -0.116917  0.0511725  0.393414  0.368015  0.0249892  
CSPS-CFR  0.51263  0.727851  0.437927  0.178169  0.508035  -0.10741  5.55112e-17  0.254918  0.660809  0.59928  -0.173453  
CFPS-CFR  0.51263  0.382971  0.0398891  -0.130056  0.508035  0.019323  -0.221588  0.000163132  0.360141  0.327898  0.0172863  
CFPS-CFR_EX+IN  0.0516573  0.0271997  0.195505  -0.111806  0.0423589  -0.225662  -0.186588  0.0920056  -4.71845e-16  -0.0376339  -0.246704  
TIPS-CFR_EX+IN  0.073878  0.0591843  0.339753  0.0516146  0.0668651  -0.120034  -0.142998  0.103173  0.0351016  -3.1572e-16  -0.262915  
BEHAV-CFR  0.513185  0.420606  0.179404  0.798081  0.508555  0.0378223  -0.104612  0.117703  0.393191  0.370426  0.000690157  
BR  0.991328  0.998803  0.916705  1  0.992474  0.968445  0.923426  0.937551  0.998987  0.974739  0.912307  
t = 5
CFR  1.38778e-17  0.0322008  0.208028  0.00602107  -0.0205248  0.050482  0.0174255  -0.138091  0.00390229  -0.0483598  -0.00830124  
CFR_EX+IN  -0.0235918  4.16334e-17  0.184587  -0.0510914  -0.0381155  -0.0242652  0.0657763  -0.143221  -0.0284632  -0.0745778  0.00559775  
CFR_IN  -0.0509714  0.515694  1.38778e-16  -0.159218  -0.0442835  0.0567616  -0.256202  -0.114753  0.510039  0.431798  0.0404784  
A-CFR_IN  0.203929  0.719084  0.30752  2.33147e-15  0.281588  0.135927  -0.018091  0.0232405  0.697705  0.653576  0.0402853  
BPS-CFR  0.0150211  0.0499272  0.221026  0.108753  -5.55112e-17  0.432407  -0.0038651  -0.101208  0.0209299  -0.0338051  0.435034  
TIPS-CFR  0.169998  0.638969  0.197215  0.500433  0.177741  1.94289e-16  0.293625  0.0327789  0.664269  0.668785  -0.00289503  
CSPS-CFR  0.228774  0.713949  0.457358  0.051673  0.257917  0.613248  3.2873e-16  -0.115958  0.781856  0.791211  0.606051  
CFPS-CFR  -0.0491733  0.519461  0.125245  0.398459  -0.0421226  0.106354  0.280395  4.41869e-14  0.513155  0.437355  0.0284851  
CFPS-CFR_EX+IN  -0.00244696  0.036162  0.220794  0.123493  -0.0170404  0.428685  0.0374561  -0.100379  1.11022e-16  -0.0514573  0.442562  
TIPS-CFR_EX+IN  0.0603487  0.0954336  0.198  0.301371  0.050861  0.561101  -0.0533509  -0.108255  0.063858  -1.38778e-17  0.633054  
BEHAV-CFR  0.148052  0.639322  0.213546  0.443772  0.154189  -0.0356751  0.273168  0.089648  0.664351  0.618975  -4.25617e-06  
BR  0.956329  0.975547  0.914607  1  0.967866  0.965971  0.943991  0.948027  0.979009  0.913094  0.964739  
t = 6
CFR  0  0.00433899  0.679299  0.281359  -0.0262398  0.37758  0.340841  0.566165  -0.0305936  -0.164129  0.363564  
CFR_EX+IN  -0.039925  0  0.681607  0.32219  -0.0626551  0.354585  0.334695  0.586211  -0.0355193  -0.168728  0.357467  
CFR_IN  0.363016  0.550272  -2.77556e-17  0.513009  0.358211  0.123592  0.409991  -0.0350775  0.508956  0.265107  0.0460796  
A-CFR_IN  0.484756  0.552111  0.578326  1.88738e-15  0.439174  0.485412  0.0563324  0.398646  0.52969  0.3984  0.361767  
BPS-CFR  0.0273971  0.013702  0.746786  0.221029  -1.38778e-17  0.624766  0.331488  0.595193  -0.0208618  -0.14193  0.402043  
TIPS-CFR  0.550282  0.517606  0.102141  0.13583  0.549641  3.07046e-16  0.531068  0.0267578  0.504134  0.400222  -0.0623926  
CSPS-CFR  0.541621  0.48731  0.834102  0.396427  0.538428  0.814159  -5.55112e-16  0.854953  0.498409  0.295256  0.525466  
CFPS-CFR  0.479672  0.547159  0.0654764  0.188061  0.46805  0.0835301  0.5696  -5.20759e-10  0.51661  0.309542  0.02356  
CFPS-CFR_EX+IN  0.0132832  0.0516655  0.741158  0.242246  -0.0170254  0.631537  0.331739  0.606597  -6.13614e-05  -0.129596  0.415053  
TIPS-CFR_EX+IN  0.191349  0.178455  0.766643  0.251149  0.142175  0.775577  0.292934  0.607599  0.119638  6.245e-17  0.384615  
BEHAV-CFR  0.549013  0.55111  0.273857  0.135739  0.542647  0.0102907  0.511765  0.0413248  0.548775  0.440714  -2.33763e-08  
BR  0.883422  0.940452  0.950207  1  0.917736  0.948193  0.839051  0.971628  0.951421  0.894819  0.908802  
t = 7
CFR  -2.77556e-17  -0.0632551  -0.062021  0.308075  -0.0119461  0.0847064  0.100306  0.170691  -0.0654576  -0.14943  0.330875  
CFR_EX+IN  0.0403852  -1.38778e-17  -0.0281415  0.329712  0.0212834  0.112736  0.127023  0.185647  -0.0240101  -0.127325  0.332356  
CFR_IN  0.381958  -0.0605955  2.1311e-07  0.381228  0.243728  -0.474455  -0.315803  -0.026837  -0.161543  0.0629427  -0.0252225  
A-CFR_IN  0.213586  0.126414  0.290296  3.77476e-15  0.167717  -0.383012  0.344825  0.197026  0.176963  0.163235  -0.0462568  
