learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
TIPS-CFR_EX+IN  19.3803  19.4601  19.9177  20.0203  19.4114  19.9231  19.7352  19.9214  19.4974  19.499  19.9242  
BEHAV-CFR  19.505  19.5721  20.1202  20.1856  19.5437  20.1284  19.9347  20.1246  19.6265  19.6286  20.1346  
BR  19.9751  20.0843  20.3274  20.4731  20.0092  20.3669  20.1613  20.3629  20.1102  20.1107  20.4027  
t = 4
CFR  19.7442  19.8261  20.167  20.1768  19.7882  20.1749  19.984  20.175  19.8802  19.8794  20.1777  
CFR_EX+IN  19.79  19.8813  20.2332  20.2358  19.8394  20.2415  20.0384  20.2416  19.9387  19.9375  20.2442  
CFR_IN  19.8304  19.9155  20.3555  20.3415  19.9001  20.3655  20.1407  20.3655  20.0018  20.0006  20.3685  
A-CFR_IN  19.8499  19.9281  20.3518  20.3453  19.9108  20.3596  20.1371  20.3594  20.0065  20.0051  20.365  
BPS-CFR  19.7585  19.8446  20.1753  20.1839  19.8048  20.1847  19.9959  20.1849  19.9008  19.8999  20.1866  
TIPS-CFR  19.8304  19.9155  20.3624  20.3444  19.9001  20.3736  20.1481  20.3736  20.0018  20.0006  20.3761  
CSPS-CFR  19.8159  19.9039  20.3329  20.3333  19.8875  20.3417  20.107  20.3417  19.9953  19.994  20.3442  
CFPS-CFR  19.8305  19.9155  20.3624  20.3444  19.9001  20.3736  20.1481  20.3736  20.0018  20.0006  20.3761  
CFPS-CFR_EX+IN  19.8013  19.8955  20.2384  20.2421  19.8518  20.2484  20.049  20.2486  19.9531  19.9519  20.2501  
TIPS-CFR_EX+IN  19.8027  19.8968  20.2426  20.2433  19.853  20.2527  20.052  20.2528  19.954  19.9528  20.2543  
BEHAV-CFR  19.8304  19.9155  20.3668  20.3456  19.9001  20.3772  20.1537  20.3772  20.0018  20.0006  20.3804  
BR  20.2152  20.2892  20.4553  20.5077  20.241  20.4943  20.2528  20.4943  20.3171  20.3156  20.5253  
t = 5
CFR  20.0351  20.1337  20.2931  20.2909  20.0589  20.311  20.1265  20.3112  20.1488  20.1472  20.3172  
CFR_EX+IN  20.0764  20.1801  20.3354  20.334  20.099  20.3603  20.1743  20.3605  20.1943  20.1922  20.3656  
CFR_IN  20.1353  20.2353  20.4063  20.4111  20.169  20.4576  20.26  20.4577  20.2637  20.2604  20.4545  
A-CFR_IN  20.1356  20.2369  20.3957  20.4026  20.1677  20.434  20.2266  20.423  20.2627  20.2594  20.4339  
BPS-CFR  20.0365  20.1357  20.3067  20.3065  20.0604  20.3361  20.1469  20.3363  20.1506  20.1491  20.3379  
TIPS-CFR  20.1353  20.2353  20.411  20.4202  20.169  20.4719  20.2646  20.472  20.2637  20.2604  20.468  
CSPS-CFR  20.1347  20.2354  20.3922  20.3987  20.1682  20.4388  20.2278  20.4388  20.2637  20.2604  20.4373  
CFPS-CFR  20.1353  20.2353  20.411  20.42  20.169  20.472  20.2647  20.472  20.2637  20.2604  20.4678  
CFPS-CFR_EX+IN  20.0775  20.1806  20.3456  20.3486  20.1002  20.3828  20.1906  20.383  20.1948  20.1927  20.3835  
TIPS-CFR_EX+IN  20.078  20.1803  20.3471  20.35  20.1001  20.384  20.1923  20.3842  20.1946  20.1925  20.3849  
BEHAV-CFR  20.1377  20.2271  20.4112  20.4221  20.1696  20.4714  20.2638  20.4715  20.2632  20.2595  20.4757  
BR  20.3341  20.4068  20.4796  20.5484  20.3415  20.5497  20.431  20.5497  20.4135  20.4114  20.5696  
t = 6
CFR  20.2608  20.345  20.3747  20.4085  20.268  20.4536  20.4029  20.4538  20.3497  20.3469  20.4502  
CFR_EX+IN  20.3051  20.3964  20.3995  20.4437  20.3114  20.4911  20.4473  20.4913  20.4013  20.3986  20.4884  
CFR_IN  20.2977  20.4764  20.4731  20.5344  20.3034  20.5951  20.5576  20.5952  20.4792  20.4774  20.5749  
A-CFR_IN  20.2962  20.4718  20.4625  20.5256  20.3039  20.5548  20.4883  20.5461  20.4746  20.4728  20.5276  
BPS-CFR  20.2612  20.3451  20.3975  20.4337  20.2685  20.4813  20.41  20.4815  20.3499  20.3471  20.4728  
TIPS-CFR  20.2949  20.4764  20.4873  20.5481  20.3034  20.6022  20.5575  20.6022  20.4792  20.4774  20.5777  
CSPS-CFR  20.298  20.4764  20.4616  20.5091  20.3035  20.5719  20.552  20.5719  20.4792  20.4774  20.569  
CFPS-CFR  20.2978  20.4764  20.4873  20.5481  20.3034  20.6022  20.5575  20.6022  20.4792  20.4774  20.5777  
CFPS-CFR_EX+IN  20.3052  20.3965  20.4202  20.4659  20.3115  20.5137  20.4491  20.5139  20.4013  20.3986  20.505  
TIPS-CFR_EX+IN  20.304  20.3961  20.4195  20.4663  20.3113  20.5135  20.4494  20.5137  20.4009  20.3982  20.5045  
BEHAV-CFR  20.2938  20.4692  20.495  20.5429  20.2993  20.6027  20.5573  20.6027  20.4792  20.4774  20.5498  
BR  20.4231  20.5129  20.5475  20.5988  20.428  20.6301  20.6127  20.6301  20.5157  20.5139  20.6242  
t = 7
CFR  20.4372  20.4912  20.4799  20.5332  20.4408  20.547  20.5116  20.5473  20.4942  20.4936  20.5529  
CFR_EX+IN  20.4678  20.5215  20.5086  20.5641  20.4711  20.5737  20.5537  20.5739  20.5248  20.5242  20.5753  
CFR_IN  20.4982  20.5405  20.5853  20.595  20.5002  20.6222  20.6135  20.6222  20.5422  20.5416  20.613  
A-CFR_IN  20.4982  20.5405  20.522  20.5972  20.5003  20.6021  20.5889  20.6111  20.5422  20.5416  20.6022  
BPS-CFR  20.4372  20.4912  20.5015  20.5512  20.441  20.5617  20.5117  20.562  20.4942  20.4936  20.5605  
TIPS-CFR  20.4952  20.5405  20.5854  20.6014  20.5002  20.6222  20.6135  20.6222  20.5422  20.5416  20.6162  
CSPS-CFR  20.4982  20.5405  20.5642  20.5859  20.5002  20.6036  20.6146  20.6037  20.5422  20.5416  20.6099  
CFPS-CFR  20.4982  20.5405  20.5853  20.5972  20.5002  20.6222  20.6135  20.6222  20.5422  20.5416  20.6162  
